,,Aberdeenshire,Scotland
Aberchirder,AB54,Aberdeenshire,Scotland
Aberdeen,AB1,Aberdeenshire,Scotland
Aboyne,AB34,Aberdeenshire,Scotland
Affleck,,Aberdeenshire,Scotland
Alford,AB33,Aberdeenshire,Scotland
Allanaquoich,AB35,Aberdeenshire,Scotland
Allt an Dubh loch,,Aberdeenshire,Scotland
Allt Clais an t-Sabhail,,Aberdeenshire,Scotland
Allt Darrarie,,Aberdeenshire,Scotland
Altens,,Aberdeenshire,Scotland
Annochie,,Aberdeenshire,Scotland
Aquhythie,,Aberdeenshire,Scotland
Arbuthnott,AB30,Aberdeenshire,Scotland
Ardallie,AB42,Aberdeenshire,Scotland
Ardlawhill,,Aberdeenshire,Scotland
Ardo,AB41,Aberdeenshire,Scotland
Ardonald,,Aberdeenshire,Scotland
Ardoyne,AB52,Aberdeenshire,Scotland
Arthrath,AB41,Aberdeenshire,Scotland
Auchattie,AB31,Aberdeenshire,Scotland
Auchenblae,AB30,Aberdeenshire,Scotland
Auchendryne,,Aberdeenshire,Scotland
Auchleven,AB52,Aberdeenshire,Scotland
Auchnagatt,AB41,Aberdeenshire,Scotland
Auldyoch,,Aberdeenshire,Scotland
Backburn,AB54,Aberdeenshire,Scotland
Backhill,AB53,Aberdeenshire,Scotland
Backhill of Clackriach,AB42,Aberdeenshire,Scotland
Backhill of Fortrie,,Aberdeenshire,Scotland
Baddock Burn,,Aberdeenshire,Scotland
Badenscoth,AB51,Aberdeenshire,Scotland
Badentoy Park,,Aberdeenshire,Scotland
Bainshole,AB54,Aberdeenshire,Scotland
Balblair,,Aberdeenshire,Scotland
Balgaveny,,Aberdeenshire,Scotland
Balhalgardy,AB51,Aberdeenshire,Scotland
Ballater,AB35,Aberdeenshire,Scotland
Ballochan,AB31,Aberdeenshire,Scotland
Ballogie,AB34,Aberdeenshire,Scotland
Balmedie,AB23,Aberdeenshire,Scotland
Balnagask,,Aberdeenshire,Scotland
Balnamoon,DD9,Aberdeenshire,Scotland
Balthangie,AB53,Aberdeenshire,Scotland
Banchory,AB31,Aberdeenshire,Scotland
Banchory-Devenick,,Aberdeenshire,Scotland
Banff,AB45,Aberdeenshire,Scotland
Bankhead,AB33,Aberdeenshire,Scotland
Barthol Chapel,AB51,Aberdeenshire,Scotland
Belfatton,,Aberdeenshire,Scotland
Belhelvie,AB23,Aberdeenshire,Scotland
Bellabeg,AB36,Aberdeenshire,Scotland
Belnacraig,,Aberdeenshire,Scotland
Benholm,DD10,Aberdeenshire,Scotland
Bennachie,,Aberdeenshire,Scotland
Benthoul,,Aberdeenshire,Scotland
Berefold,,Aberdeenshire,Scotland
Bervie Water,,Aberdeenshire,Scotland
Bieldside,,Aberdeenshire,Scotland
Birse,AB34,Aberdeenshire,Scotland
Birsemore,AB34,Aberdeenshire,Scotland
Black Water,,Aberdeenshire,Scotland
Blackburn,,Aberdeenshire,Scotland
Blackdog,AB23,Aberdeenshire,Scotland
Blackhill,AB42,Aberdeenshire,Scotland
Blackhouse,,Aberdeenshire,Scotland
Blacklaw,,Aberdeenshire,Scotland
Blacktop,,Aberdeenshire,Scotland
Boddam,AB42,Aberdeenshire,Scotland
Bogie,,Aberdeenshire,Scotland
Bogniebrae,AB54,Aberdeenshire,Scotland
Bograxie,AB51,Aberdeenshire,Scotland
Bogton,AB53,Aberdeenshire,Scotland
Bonnykelly,AB53,Aberdeenshire,Scotland
Bonnyton,AB52,Aberdeenshire,Scotland
Boyndie,AB45,Aberdeenshire,Scotland
Braegarie,,Aberdeenshire,Scotland
Braemar,AB35,Aberdeenshire,Scotland
Braeside,,Aberdeenshire,Scotland
Brathens,AB31,Aberdeenshire,Scotland
Brideswell,AB54,Aberdeenshire,Scotland
Bridge of Alford,AB33,Aberdeenshire,Scotland
Bridge of Canny,AB31,Aberdeenshire,Scotland
Bridge of Don,AB23,Aberdeenshire,Scotland
Bridge of Feugh,AB31,Aberdeenshire,Scotland
Bridge of Gairn,AB35,Aberdeenshire,Scotland
Bridge of Muchalls,,Aberdeenshire,Scotland
Bridgefield,,Aberdeenshire,Scotland
Bridgend,AB35,Aberdeenshire,Scotland
Broadsea,AB43,Aberdeenshire,Scotland
Brodiesord,,Aberdeenshire,Scotland
Broomfield,AB41,Aberdeenshire,Scotland
Brownhill,AB41,Aberdeenshire,Scotland
Brucklebog,,Aberdeenshire,Scotland
Buchan Ness,,Aberdeenshire,Scotland
Buchanhaven,AB42,Aberdeenshire,Scotland
Bucksburn,,Aberdeenshire,Scotland
Burgh Muir,,Aberdeenshire,Scotland
Burn of Boyne,,Aberdeenshire,Scotland
Burn of Canny,,Aberdeenshire,Scotland
Burnhead,,Aberdeenshire,Scotland
Bush,,Aberdeenshire,Scotland
Cairnbulg,AB43,Aberdeenshire,Scotland
Cairnhill,AB41,Aberdeenshire,Scotland
Cairnie,AB54,Aberdeenshire,Scotland
Cairnleith Crofts,,Aberdeenshire,Scotland
Cairnorrie,AB41,Aberdeenshire,Scotland
Calladrum,,Aberdeenshire,Scotland
Cammachmore,,Aberdeenshire,Scotland
Castleton,AB45,Aberdeenshire,Scotland
Catterline,,Aberdeenshire,Scotland
