,,Angus,Scotland
Aberlemno,DD8,Angus,Scotland
Acharn,,Angus,Scotland
Airlie,,Angus,Scotland
Arbirlot,DD11,Angus,Scotland
Arbroath,DD11,Angus,Scotland
Ascreavie,DD8,Angus,Scotland
Auchinleish,,Angus,Scotland
Auchmithie,DD11,Angus,Scotland
Auchnacree,DD8,Angus,Scotland
Balcathie,,Angus,Scotland
Balfield,DD9,Angus,Scotland
Balintore,,Angus,Scotland
Balkeerie,DD8,Angus,Scotland
Balkiellie,,Angus,Scotland
Balmashanner,,Angus,Scotland
Balnaboth,DD8,Angus,Scotland
Balnamoon,DD9,Angus,Scotland
Bankhead,,Angus,Scotland
Barnhead,DD10,Angus,Scotland
Barry,DD7,Angus,Scotland
Birkhill,DD2,Angus,Scotland
Boddin,,Angus,Scotland
Bonnington Smiddy,,Angus,Scotland
Bonnyton,DD10,Angus,Scotland
Bowriefauld,,Angus,Scotland
Boysack,DD11,Angus,Scotland
Brae of Pert,,Angus,Scotland
Braehead of Lunan,,Angus,Scotland
Braes of Coul,,Angus,Scotland
Brechin,DD9,Angus,Scotland
Brewlands Bridge,,Angus,Scotland
Bridge of Craigisla,PH11,Angus,Scotland
Bridge of Dun,DD10,Angus,Scotland
Bridgefoot,,Angus,Scotland
Bridgend,DD9,Angus,Scotland
Bridgend of Lintrathen,DD8,Angus,Scotland
Bucklerheads,DD5,Angus,Scotland
Buddon Ness,,Angus,Scotland
Cadger Path,,Angus,Scotland
Cairncross,,Angus,Scotland
Caldhame,DD8,Angus,Scotland
Careston,DD9,Angus,Scotland
Carmyllie,DD11,Angus,Scotland
Carnegie,,Angus,Scotland
Carnoustie,DD7,Angus,Scotland
Carsegownie,,Angus,Scotland
Castleton,DD8,Angus,Scotland
Chapelton,DD11,Angus,Scotland
Charleston,DD2,Angus,Scotland
Clayholes,,Angus,Scotland
Cliffburn,,Angus,Scotland
Clova,DD8,Angus,Scotland
Colliston,DD11,Angus,Scotland
Cononsyth,DD11,Angus,Scotland
Cortachy,DD8,Angus,Scotland
Cotton of Brighty,,Angus,Scotland
Cotton of Gardyne,,Angus,Scotland
Craichie,DD8,Angus,Scotland
Craigend,,Angus,Scotland
Craigmill,,Angus,Scotland
Craigo,DD10,Angus,Scotland
Craigton,DD5,Angus,Scotland
Crosston,,Angus,Scotland
Cruick Water,,Angus,Scotland
Dalhally,,Angus,Scotland
Dalmore,,Angus,Scotland
Dalvanie,,Angus,Scotland
Dean Water,,Angus,Scotland
Delnamer,,Angus,Scotland
Deuchar,,Angus,Scotland
Douglastown,DD8,Angus,Scotland
Dronley,DD2,Angus,Scotland
Drumgley,DD8,Angus,Scotland
Drummygar,,Angus,Scotland
Drumsturdy,DD5,Angus,Scotland
Dun,,Angus,Scotland
Dunkenny,,Angus,Scotland
Dunnichen,DD8,Angus,Scotland
Dykehead,DD8,Angus,Scotland
Eassie,,Angus,Scotland
East Balmirmer,,Angus,Scotland
East Denside,,Angus,Scotland
East Haven,DD7,Angus,Scotland
East Mains,,Angus,Scotland
East Mains of Burnside,,Angus,Scotland
East March,DD4,Angus,Scotland
East Nevay,,Angus,Scotland
Easter Knox,DD11,Angus,Scotland
Easter Lednathie,DD8,Angus,Scotland
Easter Meathie,,Angus,Scotland
Edzell,DD9,Angus,Scotland
Elliot,,Angus,Scotland
Farnell,DD9,Angus,Scotland
Fern,DD8,Angus,Scotland
Ferryden,DD10,Angus,Scotland
Finavon,DD8,Angus,Scotland
Firth Muir of Boysack,,Angus,Scotland
Folda,PH11,Angus,Scotland
Forfar,DD8,Angus,Scotland
Fowlis,DD2,Angus,Scotland
Freuchies,,Angus,Scotland
Friockheim,DD11,Angus,Scotland
Gallowfauld,DD8,Angus,Scotland
Gateside,DD8,Angus,Scotland
Glamis,DD8,Angus,Scotland
Glendamff Burn,,Angus,Scotland
Glenmarkie Lodge,,Angus,Scotland
Glenogil,DD8,Angus,Scotland
Glenprosen Village,,Angus,Scotland
Gowanbank,,Angus,Scotland
Greens of Gardyne,,Angus,Scotland
Greystone,DD11,Angus,Scotland
Guildy,,Angus,Scotland
Guthrie,DD8,Angus,Scotland
Hatton of Ogilvie,,Angus,Scotland
Hayhillock,DD11,Angus,Scotland
Hayshead,,Angus,Scotland
Hillend,,Angus,Scotland
Hillside,DD10,Angus,Scotland
Hodgeton,,Angus,Scotland
Holemill,,Angus,Scotland
Inchbare,DD9,Angus,Scotland
Inchbraoch (Rossie Island),,Angus,Scotland
Ingliston,,Angus,Scotland
Inverarity,DD8,Angus,Scotland
Inverkeilor,DD11,Angus,Scotland
Isla,,Angus,Scotland
Kellas,DD5,Angus,Scotland
Kingsmuir,DD8,Angus,Scotland
Kinnell,DD11,Angus,Scotland
Kirkhill,DD10,Angus,Scotland
Kirkton,DD3,Angus,Scotland
Kirkton of Auchterhouse,DD3,Angus,Scotland
Kirkton of Craig,DD10,Angus,Scotland
Kirkton of Glenisla,PH11,Angus,Scotland
Kirkton of Kingoldrum,DD8,Angus,Scotland
Kirkton of Menmuir,DD9,Angus,Scotland
Kirkton of Monikie,DD5,Angus,Scotland
Kirriemuir,DD8,Angus,Scotland
Leightonhill,,Angus,Scotland
Leoch,DD3,Angus,Scotland
Letham,DD8,Angus,Scotland
Leysmill,DD11,Angus,Scotland
Liff,DD2,Angus,Scotland
Linns,,Angus,Scotland
Little Brechin,DD9,Angus,Scotland
Logie,DD10,Angus,Scotland
Logie Pert,DD10,Angus,Scotland
Lunan,DD11,Angus,Scotland
Lunan Water,,Angus,Scotland
Lunanhead,DD8,Angus,Scotland
Lundie,DD2,Angus,Scotland
Luther Water,,Angus,Scotland
Mains of Ardestie,DD5,Angus,Scotland
Mains of Balgavies,,Angus,Scotland
Mains of Melgund,DD9,Angus,Scotland
Mains of Usan,,Angus,Scotland
Marcus,DD8,Angus,Scotland
Marykirk,,Angus,Scotland
Maryton,DD10,Angus,Scotland
Marywell,DD11,Angus,Scotland
Memus,DD8,Angus,Scotland
Middle Brighty,,Angus,Scotland
Middleton,DD11,Angus,Scotland
Mill of Brighty,,Angus,Scotland
Mill of Marcus,,Angus,Scotland
Milldens,DD8,Angus,Scotland
Milton of Finavon,,Angus,Scotland
Milton of Ogilvie,,Angus,Scotland
Moatmill,,Angus,Scotland
Monifieth,DD5,Angus,Scotland
Monikie,DD5,Angus,Scotland
Montrose,DD10,Angus,Scotland
Mosston,DD11,Angus,Scotland
Moulzie,,Angus,Scotland
Muir of Pert,,Angus,Scotland
Muirdrum,DD7,Angus,Scotland
Muirhead,DD2,Angus,Scotland
Muirhouses,,Angus,Scotland
Murroes,DD5,Angus,Scotland
Nether Dysart,,Angus,Scotland
Nether Handwick,DD8,Angus,Scotland
Netherton,DD9,Angus,Scotland
Newbigging,DD4,Angus,Scotland
Newlandhead,,Angus,Scotland
Newton of Boysack,,Angus,Scotland
Newtonmill,DD9,Angus,Scotland
Newtyle,PH12,Angus,Scotland
Noranside,DD8,Angus,Scotland
North Craigo,,Angus,Scotland
North Dronley,,Angus,Scotland
North Esk,,Angus,Scotland
North Nevay,,Angus,Scotland
North Water Bridge,,Angus,Scotland
Northmuir,DD8,Angus,Scotland
Oathlaw,DD8,Angus,Scotland
Old Balkello,,Angus,Scotland
Old Montrose,,Angus,Scotland
Over Finlarg,,Angus,Scotland
Padanaram,DD8,Angus,Scotland
Panbride,DD7,Angus,Scotland
Pickerton,,Angus,Scotland
Pitmuies,DD8,Angus,Scotland
Pitpointie,,Angus,Scotland
Pitreuchie,,Angus,Scotland
Presnerb,,Angus,Scotland
Prosen Water,,Angus,Scotland
Redford,DD11,Angus,Scotland
Rescobie,DD8,Angus,Scotland
Rossie Island (Inchbraoch),,Angus,Scotland
Rottal,DD8,Angus,Scotland
Roundyhill,,Angus,Scotland
Ruthven,PH12,Angus,Scotland
Scurdie Ness,,Angus,Scotland
South Esk,,Angus,Scotland
South Kingennie,,Angus,Scotland
Southmuir,DD8,Angus,Scotland
St Vigeans,DD11,Angus,Scotland
Suttieside,,Angus,Scotland
Tannadice,DD8,Angus,Scotland
Tarfside,DD9,Angus,Scotland
Tealing,,Angus,Scotland
Templehall,,Angus,Scotland
Templeton,,Angus,Scotland
Thornton,DD8,Angus,Scotland
Tigerton,DD9,Angus,Scotland
Tillyloss,,Angus,Scotland
Todhills,DD4,Angus,Scotland
Trinity,DD9,Angus,Scotland
Upper Handwick,,Angus,Scotland
Water of Mark,,Angus,Scotland
Water of Saughs,,Angus,Scotland
Water of Unich,,Angus,Scotland
Waulkmill,,Angus,Scotland
Waulkmills,,Angus,Scotland
Wellbank,DD5,Angus,Scotland
West Balmirmer,,Angus,Scotland
West Denside,,Angus,Scotland
West Hills,,Angus,Scotland
West Muir,DD9,Angus,Scotland
West Water,,Angus,Scotland
Wester Eggie,,Angus,Scotland
Wester Foffarty,,Angus,Scotland
Wester Meathie,,Angus,Scotland
Westfield,,Angus,Scotland
Westmuir,DD8,Angus,Scotland
Whigstreet,DD8,Angus,Scotland
White Water,,Angus,Scotland
Whitehills,,Angus,Scotland
Wilsonhall,,Angus,Scotland
Woodville Feus,,Angus,Scotland
Wreaths,,Angus,Scotland
