,,Ayrshire,Scotland
Afton Water,,Ayrshire,Scotland
Ailsa Craig,,Ayrshire,Scotland
Alloway,KA7,Ayrshire,Scotland
Allt Tigh an Shiorriam,,Ayrshire,Scotland
Altonhill,KA3,Ayrshire,Scotland
Annbank,KA6,Ayrshire,Scotland
Ardrossan,KA22,Ayrshire,Scotland
Auchencairn,DG7,Ayrshire,Scotland
Auchencar,,Ayrshire,Scotland
Auchenharvie,KA20,Ayrshire,Scotland
Auchenhew,,Ayrshire,Scotland
Auchentiber,KA13,Ayrshire,Scotland
Auchinleck,KA18,Ayrshire,Scotland
Auchmillan,,Ayrshire,Scotland
Ayr,KA7,Ayrshire,Scotland
Back Rogerton,,Ayrshire,Scotland
Ballantrae,KA26,Ayrshire,Scotland
Balloch Lane,,Ayrshire,Scotland
Balmichael,,Ayrshire,Scotland
Bankglen,,Ayrshire,Scotland
Barassie,KA10,Ayrshire,Scotland
Barbieston,,Ayrshire,Scotland
Barcraigs Reservoir,,Ayrshire,Scotland
Barr,KA26,Ayrshire,Scotland
Barrhill,KA26,Ayrshire,Scotland
Barrmill,KA15,Ayrshire,Scotland
Barshare,,Ayrshire,Scotland
Beansburn,KA3,Ayrshire,Scotland
Beith,KA14,Ayrshire,Scotland
Bellfield,KA1,Ayrshire,Scotland
Bellsbank,KA6,Ayrshire,Scotland
Belmont,KA7,Ayrshire,Scotland
Belston,KA6,Ayrshire,Scotland
Benlister Burn,,Ayrshire,Scotland
Benlister Water,,Ayrshire,Scotland
Bennan Head,,Ayrshire,Scotland
Bennane Head,,Ayrshire,Scotland
Bennecarrigan,,Ayrshire,Scotland
Benslie,,Ayrshire,Scotland
Beoch Lane,,Ayrshire,Scotland
Birchburn,,Ayrshire,Scotland
Black Garpel,,Ayrshire,Scotland
Black Water,,Ayrshire,Scotland
Blackwaterfoot,KA27,Ayrshire,Scotland
Blairbeg,,Ayrshire,Scotland
Blairland,,Ayrshire,Scotland
Bogend,KA1,Ayrshire,Scotland
Bonnyton,KA1,Ayrshire,Scotland
Bourtreehill,KA11,Ayrshire,Scotland
Braehead,KA8,Ayrshire,Scotland
Brodick,KA27,Ayrshire,Scotland
Broomlands,KA11,Ayrshire,Scotland
Brown Head,,Ayrshire,Scotland
Burnfoot,,Ayrshire,Scotland
Burnhead,DG7,Ayrshire,Scotland
Burnhouse,KA15,Ayrshire,Scotland
Burnside,KA18,Ayrshire,Scotland
Burnton,KA18,Ayrshire,Scotland
Busbiehill,,Ayrshire,Scotland
Carnick Lane,,Ayrshire,Scotland
Castlehill,KA7,Ayrshire,Scotland
Catacol,,Ayrshire,Scotland
Catrine,KA5,Ayrshire,Scotland
Cladach,,Ayrshire,Scotland
Clauchlands,,Ayrshire,Scotland
Clauchlands Point,,Ayrshire,Scotland
Coalhall,,Ayrshire,Scotland
Cock of Arran,,Ayrshire,Scotland
Collennan,,Ayrshire,Scotland
Colmonell,KA26,Ayrshire,Scotland
Connel Park,KA18,Ayrshire,Scotland
Cordon,,Ayrshire,Scotland
Corrie,KA27,Ayrshire,Scotland
Corriecravie,KA27,Ayrshire,Scotland
Coylton,KA6,Ayrshire,Scotland
Craigens,,Ayrshire,Scotland
Craigie,KA1,Ayrshire,Scotland
Craufurdland Water,,Ayrshire,Scotland
Cree,,Ayrshire,Scotland
Cronberry,KA18,Ayrshire,Scotland
Crookedholm,KA1,Ayrshire,Scotland
Crosshill,KA19,Ayrshire,Scotland
Crosshouse,KA2,Ayrshire,Scotland
Crossroads,KA1,Ayrshire,Scotland
Culroy,KA19,Ayrshire,Scotland
Cumnock,KA18,Ayrshire,Scotland
Cunninghamhead,KA3,Ayrshire,Scotland
Dailly,KA26,Ayrshire,Scotland
Dalblair,KA18,Ayrshire,Scotland
Dalgarven,KA13,Ayrshire,Scotland
Dalmellington,KA6,Ayrshire,Scotland
Dalmilling,KA8,Ayrshire,Scotland
Dalry,KA24,Ayrshire,Scotland
Dalrymple,KA6,Ayrshire,Scotland
Darvel,KA17,Ayrshire,Scotland
Dippen,,Ayrshire,Scotland
Dippin Head,,Ayrshire,Scotland
Dipple,KA26,Ayrshire,Scotland
Doon,,Ayrshire,Scotland
Doonfoot,KA7,Ayrshire,Scotland
Doura,KA11,Ayrshire,Scotland
Drakemyre,KA24,Ayrshire,Scotland
Dreghorn,KA11,Ayrshire,Scotland
Drongan,KA6,Ayrshire,Scotland
Drumadoon Point,,Ayrshire,Scotland
Drybridge,KA11,Ayrshire,Scotland
Dubs Burn,,Ayrshire,Scotland
Duisk,,Ayrshire,Scotland
Dundonald,KA2,Ayrshire,Scotland
Dunlop,KA3,Ayrshire,Scotland
Dunure,KA7,Ayrshire,Scotland
Earlston,,Ayrshire,Scotland
East Bennan,,Ayrshire,Scotland
Elgin Burn,,Ayrshire,Scotland
Failford,KA5,Ayrshire,Scotland
Fairlie,KA29,Ayrshire,Scotland
Farland Head,,Ayrshire,Scotland
Fenwick,KA3,Ayrshire,Scotland
Fisherton,KA7,Ayrshire,Scotland
Forehill,KA7,Ayrshire,Scotland
Frognal,,Ayrshire,Scotland
Fullarton,KA12,Ayrshire,Scotland
Fullwood,KA3,Ayrshire,Scotland
Gabroc Hill,KA3,Ayrshire,Scotland
Galston,KA4,Ayrshire,Scotland
Garbh Allt,,Ayrshire,Scotland
Garleffin,,Ayrshire,Scotland
Garpel Burn,,Ayrshire,Scotland
