,,Berkshire,England
Aldermaston Soke,RG7,Berkshire,England
Aldermaston Wharf,RG7,Berkshire,England
Aldermmaston,,Berkshire,England
Aldworth,RG8,Berkshire,England
Altmore,,Berkshire,England
Amen Corner,,Berkshire,England
Anvilles,,Berkshire,England
Applehouse Hill,,Berkshire,England
Arborfield,RG2,Berkshire,England
Arborfield Cross,RG2,Berkshire,England
Arborfield Garrison,RG2,Berkshire,England
Ascot,SL5,Berkshire,England
Ashampstead,RG8,Berkshire,England
Ashampstead Green,,Berkshire,England
Ashmore Green,,Berkshire,England
Aston,RG9,Berkshire,England
Avington,RG17,Berkshire,England
Bagnor,RG20,Berkshire,England
Barkham,RG40,Berkshire,England
Beaumont,,Berkshire,England
Beech Hill,RG7,Berkshire,England
Beedon,RG20,Berkshire,England
Beedon Hill,,Berkshire,England
Beenham,RG7,Berkshire,England
Beenham Stocks,,Berkshire,England
Bigfrith,,Berkshire,England
Binfield,RG42,Berkshire,England
Birch Hill,,Berkshire,England
Bisham,SL7,Berkshire,England
Blacknest,,Berkshire,England
Blackwater,,Berkshire,England
Borough Marsh,,Berkshire,England
Bothampstead,,Berkshire,England
Bourne End,,Berkshire,England
Boveney,SL4,Berkshire,England
Bowsey Hill,,Berkshire,England
Boxford,RG20,Berkshire,England
Boyn Hill,,Berkshire,England
Bracknell,RG12,Berkshire,England
Bradfield,RG7,Berkshire,England
Brands Hill,,Berkshire,England
Bray,SL6,Berkshire,England
Bray Wick,SL6,Berkshire,England
Braywoodside,,Berkshire,England
Brightwalton,RG20,Berkshire,England
Brightwalton Green,,Berkshire,England
Brightwalton Holt,,Berkshire,England
Brimpton,RG7,Berkshire,England
Britwell,,Berkshire,England
Brookside,,Berkshire,England
Bucklebury,RG7,Berkshire,England
Bucklebury Alley,,Berkshire,England
Bullbrook,RG12,Berkshire,England
Burghfield,RG31,Berkshire,England
Burghfield Common,RG7,Berkshire,England
Burghfield Hill,RG7,Berkshire,England
Burnt Hill,,Berkshire,England
Cabbage Hill,,Berkshire,England
Calcot,RG31,Berkshire,England
Calcot Row,RG31,Berkshire,England
Catmore,RG20,Berkshire,England
Caversham,RG4,Berkshire,England
Caversham Heights,,Berkshire,England
Chaddleworth,RG20,Berkshire,England
Chalvey,,Berkshire,England
Chapel Row,RG7,Berkshire,England
Charvil,RG10,Berkshire,England
Chavey Down,,Berkshire,England
Cheapside,SL5,Berkshire,England
Chieveley,RG20,Berkshire,England
Cholsey,,Berkshire,England
