,,Buckinghamshire,England
Addington,MK18,Buckinghamshire,England
Adstock,MK18,Buckinghamshire,England
Akeley,MK18,Buckinghamshire,England
Alscot,,Buckinghamshire,England
Amersham,HP6,Buckinghamshire,England
Amersham Common,,Buckinghamshire,England
Amersham Old Town,,Buckinghamshire,England
Amersham on the Hill,,Buckinghamshire,England
Ashendon,HP18,Buckinghamshire,England
Asheridge,,Buckinghamshire,England
Ashley Green,HP5,Buckinghamshire,England
Askett,HP27,Buckinghamshire,England
Aspley Heath,,Buckinghamshire,England
Aston Abbotts,HP22,Buckinghamshire,England
Aston Clinton,HP22,Buckinghamshire,England
Aston Sandford,HP17,Buckinghamshire,England
Astrope,,Buckinghamshire,England
Astwood,,Buckinghamshire,England
Atterbury,,Buckinghamshire,England
Austenwood,,Buckinghamshire,England
Aylesbury,HP20,Buckinghamshire,England
Ballinger Bottom,,Buckinghamshire,England
Ballinger Bottom (South),,Buckinghamshire,England
Ballinger Common,HP16,Buckinghamshire,England
Barley End,,Buckinghamshire,England
Barton Hartshorn,MK18,Buckinghamshire,England
Beachampton,MK19,Buckinghamshire,England
Beacon Hill,,Buckinghamshire,England
Beaconsfield,HP9,Buckinghamshire,England
Beamond End,,Buckinghamshire,England
Beanhill,,Buckinghamshire,England
Bedgrove,HP21,Buckinghamshire,England
Bellingdon,HP5,Buckinghamshire,England
Bennett End,,Buckinghamshire,England
Berghers Hill,,Buckinghamshire,England
Biddlesden,NN13,Buckinghamshire,England
Bierton,HP22,Buckinghamshire,England
Bishopstone,HP17,Buckinghamshire,England
Blakelands,,Buckinghamshire,England
Bleak Hall,,Buckinghamshire,England
Bledlow,HP27,Buckinghamshire,England
Bledlow Ridge,HP14,Buckinghamshire,England
Bletchley,,Buckinghamshire,England
Boarstall,HP18,Buckinghamshire,England
Bockmer End,,Buckinghamshire,England
Bolter End,HP14,Buckinghamshire,England
Booker,HP12,Buckinghamshire,England
Botley,HP5,Buckinghamshire,England
