,,Clackmannanshire,Scotland
Alloa,FK10,Clackmannanshire,Scotland
Alva,FK12,Clackmannanshire,Scotland
Black Devon,,Clackmannanshire,Scotland
Branshill,,Clackmannanshire,Scotland
Cambus,FK10,Clackmannanshire,Scotland
Clackmannan,FK10,Clackmannanshire,Scotland
Coalsnaughton,FK13,Clackmannanshire,Scotland
Devon Village,,Clackmannanshire,Scotland
Devonside,FK13,Clackmannanshire,Scotland
Dollar,FK14,Clackmannanshire,Scotland
Dollarbeg,FK14,Clackmannanshire,Scotland
Fairfield,,Clackmannanshire,Scotland
Fishcross,,Clackmannanshire,Scotland
Forest Mill,FK10,Clackmannanshire,Scotland
Keilarsbrae,,Clackmannanshire,Scotland
Kennet,FK10,Clackmannanshire,Scotland
Kennetpans,FK10,Clackmannanshire,Scotland
Kilbagie,FK10,Clackmannanshire,Scotland
Lower Mains,,Clackmannanshire,Scotland
Menstrie,FK11,Clackmannanshire,Scotland
New Sauchie,FK10,Clackmannanshire,Scotland
Pool of Muckhart,FK14,Clackmannanshire,Scotland
Rumbling Bridge,,Clackmannanshire,Scotland
South Alloa,FK7,Clackmannanshire,Scotland
Tillicoultry,FK13,Clackmannanshire,Scotland
Tullibody,FK10,Clackmannanshire,Scotland
Yetts o' Muckhart,FK14,Clackmannanshire,Scotland
