,,Cornwall,England
Addington,,Cornwall,England
Alfardisworthy,EX22,Cornwall,England
Allen,,Cornwall,England
Allet,,Cornwall,England
Altarnun,PL15,Cornwall,England
Amalebra,TR20,Cornwall,England
Amalveor,,Cornwall,England
Anderton,,Cornwall,England
Angarrack,TR27,Cornwall,England
Angarrick,,Cornwall,England
Annet,,Cornwall,England
Anthony,,Cornwall,England
Antony Passage,,Cornwall,England
Ashton,PL17,Cornwall,England
Badgall,,Cornwall,England
Badharlick,,Cornwall,England
Bakesdown,,Cornwall,England
Baldhu,TR3,Cornwall,England
Ball,,Cornwall,England
Balwest,,Cornwall,England
Bangors,,Cornwall,England
Banns,,Cornwall,England
Barcelona,,Cornwall,England
Bareppa,,Cornwall,England
Barkla Shop,,Cornwall,England
Barripper,TR14,Cornwall,England
Bathpool,PL15,Cornwall,England
Beacon,,Cornwall,England
Bealbury,,Cornwall,England
Bealsmill,,Cornwall,England
Beeny,,Cornwall,England
Belowda,PL26,Cornwall,England
Bennacott,PL15,Cornwall,England
Berepper,TR12,Cornwall,England
Berriowbridge,,Cornwall,England
Bethany,,Cornwall,England
Bethel,,Cornwall,England
Bilberry,PL26,Cornwall,England
Billacott,,Cornwall,England
Biscovey,,Cornwall,England
Bissoe,TR4,Cornwall,England
Bissom,,Cornwall,England
Black Cross,TR8,Cornwall,England
Black Head,,Cornwall,England
Black Rock,,Cornwall,England
Blackwater,TR4,Cornwall,England
Blisland,PL30,Cornwall,England
Blowinghouse,,Cornwall,England
Blue Anchor,TR8,Cornwall,England
Blunts,PL12,Cornwall,England
Bocaddon,PL13,Cornwall,England
Bodellick,,Cornwall,England
Bodelva,,Cornwall,England
Bodieve,PL27,Cornwall,England
Bodiggo,,Cornwall,England
Bodilly,,Cornwall,England
Bodinnick,PL23,Cornwall,England
Bodmin,PL31,Cornwall,England
Bodmin Moor,,Cornwall,England
Boduel,,Cornwall,England
Bodwen,PL26,Cornwall,England
Bofarnel,,Cornwall,England
Bohetherick,,Cornwall,England
Bohortha,TR2,Cornwall,England
Bojewyan,TR19,Cornwall,England
Bokiddick,,Cornwall,England
Bolenowe,,Cornwall,England
Bolingey,TR6,Cornwall,England
Bolitho,,Cornwall,England
Bolventor,PL15,Cornwall,England
Boquio,,Cornwall,England
Borough,,Cornwall,England
Boscadjack,,Cornwall,England
Boscastle,PL35,Cornwall,England
Boscean,,Cornwall,England
Boscoppa,PL25,Cornwall,England
Boscreege,,Cornwall,England
Boskednan,,Cornwall,England
Boskenna,,Cornwall,England
Bosleake,,Cornwall,England
Boslowick,,Cornwall,England
Boslymon,,Cornwall,England
Bosoughan,,Cornwall,England
Bosporthennis,,Cornwall,England
Bossiney,PL34,Cornwall,England
Boswednack,,Cornwall,England
Boswin,,Cornwall,England
Boswinger,PL26,Cornwall,England
Boswyn,,Cornwall,England
Botallack,TR19,Cornwall,England
Botternell,,Cornwall,England
Bottoms,,Cornwall,England
Botusfleming,PL12,Cornwall,England
Bowithick,,Cornwall,England
Bowling Green,,Cornwall,England
Boyton,PL15,Cornwall,England
Braddock,,Cornwall,England
Bradford,EX22,Cornwall,England
Brane,TR19,Cornwall,England
Bray Shop,PL17,Cornwall,England
Brazacott,PL15,Cornwall,England
