,,County Antrim,Northern Ireland
Aghagallon,,County Antrim,Northern Ireland
Aghalee,,County Antrim,Northern Ireland
Ahoghill,,County Antrim,Northern Ireland
Aldergrove,BT29,County Antrim,Northern Ireland
Antrim,BT41,County Antrim,Northern Ireland
Armoy,BT53,County Antrim,Northern Ireland
Aughnadeagh,,County Antrim,Northern Ireland
Ballinderry,,County Antrim,Northern Ireland
Ballintoy,BT54,County Antrim,Northern Ireland
Ballybogy,BT53,County Antrim,Northern Ireland
Ballycarry,BT38,County Antrim,Northern Ireland
Ballycastle,BT54,County Antrim,Northern Ireland
Ballyclare,BT39,County Antrim,Northern Ireland
Ballyeaston,,County Antrim,Northern Ireland
Ballygalley,,County Antrim,Northern Ireland
Ballygelly,,County Antrim,Northern Ireland
Ballylesson,,County Antrim,Northern Ireland
Ballylumford,,County Antrim,Northern Ireland
Ballymena,BT42,County Antrim,Northern Ireland
Ballymoney,BT53,County Antrim,Northern Ireland
Ballynure,BT39,County Antrim,Northern Ireland
Ballyskeagh,,County Antrim,Northern Ireland
Ballyvoy,BT54,County Antrim,Northern Ireland
Balnamore,,County Antrim,Northern Ireland
Belfast,BT1,County Antrim,Northern Ireland
Belfast City,,County Antrim,Northern Ireland
Beltoy,,County Antrim,Northern Ireland
Bendooragh,,County Antrim,Northern Ireland
Broughshane,BT42,County Antrim,Northern Ireland
Buckna,,County Antrim,Northern Ireland
Bushmill,,County Antrim,Northern Ireland
Bushmills,BT57,County Antrim,Northern Ireland
Caddy,,County Antrim,Northern Ireland
Cape Castle,BT54,County Antrim,Northern Ireland
Carnalbanagh Sheddings,,County Antrim,Northern Ireland
Carncastle,,County Antrim,Northern Ireland
Carnlough,BT44,County Antrim,Northern Ireland
Carnmoney,,County Antrim,Northern Ireland
Carrickfergus,BT38,County Antrim,Northern Ireland
Castlecat,,County Antrim,Northern Ireland
Castlereagh,BT5,County Antrim,Northern Ireland
Causeway coast,,County Antrim,Northern Ireland
Clady,,County Antrim,Northern Ireland
Clogh,,County Antrim,Northern Ireland
Clogh Mills,BT44,County Antrim,Northern Ireland
Cloughmills,,County Antrim,Northern Ireland
Corkey,,County Antrim,Northern Ireland
Correen,,County Antrim,Northern Ireland
Craigs,,County Antrim,Northern Ireland
Crumlin,BT29,County Antrim,Northern Ireland
Cullybackey,BT42,County Antrim,Northern Ireland
Cushendall,BT44,County Antrim,Northern Ireland
Cushendum,,County Antrim,Northern Ireland
Cushendun,BT44,County Antrim,Northern Ireland
Damhead,,County Antrim,Northern Ireland
Derriaghy,BT17,County Antrim,Northern Ireland
Derrykeighan,,County Antrim,Northern Ireland
Dervock,BT53,County Antrim,Northern Ireland
Doagh,BT39,County Antrim,Northern Ireland
Drumbeg,,County Antrim,Northern Ireland
Drumnagreagh Port,,County Antrim,Northern Ireland
Dunadry,BT41,County Antrim,Northern Ireland
Dundrod,BT29,County Antrim,Northern Ireland
Dunloy,BT44,County Antrim,Northern Ireland
Dunmurry,BT17,County Antrim,Northern Ireland
Dunseverick,BT57,County Antrim,Northern Ireland
Eden,,County Antrim,Northern Ireland
Finvoy,,County Antrim,Northern Ireland
Five Corners,,County Antrim,Northern Ireland
Flatfield,,County Antrim,Northern Ireland
Galgorm,BT42,County Antrim,Northern Ireland
Garryduff,,County Antrim,Northern Ireland
Glarryford,BT44,County Antrim,Northern Ireland
Glenaan,,County Antrim,Northern Ireland
Glenariff,,County Antrim,Northern Ireland
Glenariff (or waterfoot),,County Antrim,Northern Ireland
Glenarm,BT44,County Antrim,Northern Ireland
Glenavy,BT29,County Antrim,Northern Ireland
Glengormely,,County Antrim,Northern Ireland
Glenoe,,County Antrim,Northern Ireland
Glenvale,,County Antrim,Northern Ireland
Glynn,BT40,County Antrim,Northern Ireland
Gracehill,,County Antrim,Northern Ireland
Greenisland,BT38,County Antrim,Northern Ireland
Hannahstown,BT17,County Antrim,Northern Ireland
Hillhall,BT27,County Antrim,Northern Ireland
Hyde Park,,County Antrim,Northern Ireland
Islandmagee,BT40,County Antrim,Northern Ireland
Kells,BT42,County Antrim,Northern Ireland
Killead,,County Antrim,Northern Ireland
Killinaboy,,County Antrim,Northern Ireland
Killybegs,,County Antrim,Northern Ireland
Kilraghts,,County Antrim,Northern Ireland
Kilwaughter,BT40,County Antrim,Northern Ireland
Kirkhills,,County Antrim,Northern Ireland
Knockaholet,,County Antrim,Northern Ireland
Lagavara,,County Antrim,Northern Ireland
Lambeg,BT27,County Antrim,Northern Ireland
Larne,BT40,County Antrim,Northern Ireland
Legoniel,,County Antrim,Northern Ireland
Lisburn,BT27,County Antrim,Northern Ireland
Loanends,,County Antrim,Northern Ireland
Loughguile,BT44,County Antrim,Northern Ireland
Maghaberry,,County Antrim,Northern Ireland
Magheraberry,,County Antrim,Northern Ireland
Magheramorne,BT40,County Antrim,Northern Ireland
Mallusk,,County Antrim,Northern Ireland
Martinstown,,County Antrim,Northern Ireland
Mazetown,,County Antrim,Northern Ireland
McLaughlins Corner,,County Antrim,Northern Ireland
Mill Town Millbrook,,County Antrim,Northern Ireland
Millford,,County Antrim,Northern Ireland
Moneyglass,,County Antrim,Northern Ireland
Monkstown,,County Antrim,Northern Ireland
Moorfields,,County Antrim,Northern Ireland
Moss-side,,County Antrim,Northern Ireland
Mosside,,County Antrim,Northern Ireland
Mossley,,County Antrim,Northern Ireland
Muckamore,BT41,County Antrim,Northern Ireland
Mullan Head,,County Antrim,Northern Ireland
Newferry,,County Antrim,Northern Ireland
Newtown-Crommelin,,County Antrim,Northern Ireland
Newtownabbey,BT39,County Antrim,Northern Ireland
Nutts Corner,BT29,County Antrim,Northern Ireland
Parkgate,BT39,County Antrim,Northern Ireland
Pharis,,County Antrim,Northern Ireland
Portballintrae,BT57,County Antrim,Northern Ireland
Portglenone,BT44,County Antrim,Northern Ireland
Portmuck,,County Antrim,Northern Ireland
Portrush,BT56,County Antrim,Northern Ireland
Quarrytown,,County Antrim,Northern Ireland
Randalstown,BT41,County Antrim,Northern Ireland
Rasharkin,BT44,County Antrim,Northern Ireland
