,,County Fermanagh,Northern Ireland
Aghanglack,,County Fermanagh,Northern Ireland
Ballinamallard,BT94,County Fermanagh,Northern Ireland
Belcoo,BT93,County Fermanagh,Northern Ireland
Belcoo east,,County Fermanagh,Northern Ireland
Bellanaleck,,County Fermanagh,Northern Ireland
Belleek,BT93,County Fermanagh,Northern Ireland
Bellek,,County Fermanagh,Northern Ireland
Blaney,,County Fermanagh,Northern Ireland
Boho,BT74,County Fermanagh,Northern Ireland
Brookeborough,BT94,County Fermanagh,Northern Ireland
Clabby,,County Fermanagh,Northern Ireland
Clonelly,,County Fermanagh,Northern Ireland
Clontivrin,,County Fermanagh,Northern Ireland
Cooneen,,County Fermanagh,Northern Ireland
Derrygonnelly,BT93,County Fermanagh,Northern Ireland
Derrylin,BT92,County Fermanagh,Northern Ireland
Devenish,,County Fermanagh,Northern Ireland
Donagh,,County Fermanagh,Northern Ireland
Drumskinny,,County Fermanagh,Northern Ireland
Ederney,,County Fermanagh,Northern Ireland
Enniskillen,BT74,County Fermanagh,Northern Ireland
Florececourt,,County Fermanagh,Northern Ireland
Florence Court,,County Fermanagh,Northern Ireland
Florencecourt,BT92,County Fermanagh,Northern Ireland
Garrison,BT93,County Fermanagh,Northern Ireland
Holywell,,County Fermanagh,Northern Ireland
Irvinestown,BT94,County Fermanagh,Northern Ireland
Kesh,BT93,County Fermanagh,Northern Ireland
Killadeas,,County Fermanagh,Northern Ireland
Killyrover,,County Fermanagh,Northern Ireland
Kilskeery,,County Fermanagh,Northern Ireland
Kinawley,,County Fermanagh,Northern Ireland
Lack,,County Fermanagh,Northern Ireland
Letterbreen,,County Fermanagh,Northern Ireland
Lisaskea,,County Fermanagh,Northern Ireland
Lisbellaw,BT94,County Fermanagh,Northern Ireland
Lisnarick,,County Fermanagh,Northern Ireland
Lisnarrick,,County Fermanagh,Northern Ireland
Lisnaskea,BT92,County Fermanagh,Northern Ireland
Mackan,,County Fermanagh,Northern Ireland
Magheraveely,,County Fermanagh,Northern Ireland
Maguiresbridge,BT94,County Fermanagh,Northern Ireland
Marble Arch,,County Fermanagh,Northern Ireland
Newtownbutler,BT92,County Fermanagh,Northern Ireland
Roslea,,County Fermanagh,Northern Ireland
Rosscor,,County Fermanagh,Northern Ireland
Springfield,,County Fermanagh,Northern Ireland
Tamlaght,,County Fermanagh,Northern Ireland
Teer,,County Fermanagh,Northern Ireland
Termon,,County Fermanagh,Northern Ireland
White Island,,County Fermanagh,Northern Ireland
