,,County Londonderry,Northern Ireland
Aghadowey,BT51,County Londonderry,Northern Ireland
Agivey,,County Londonderry,Northern Ireland
Articlave,BT51,County Londonderry,Northern Ireland
Ballybane,,County Londonderry,Northern Ireland
Ballykelly,BT49,County Londonderry,Northern Ireland
Ballylintagh,,County Londonderry,Northern Ireland
Ballyrashane,,County Londonderry,Northern Ireland
Ballyronan,BT45,County Londonderry,Northern Ireland
Ballywildrick,,County Londonderry,Northern Ireland
Baranailt,,County Londonderry,Northern Ireland
Beechgrove,,County Londonderry,Northern Ireland
Bellaghy,BT45,County Londonderry,Northern Ireland
Blagh,,County Londonderry,Northern Ireland
Bolea,,County Londonderry,Northern Ireland
Boleran,,County Londonderry,Northern Ireland
Bovedy,,County Londonderry,Northern Ireland
Bovevagh,,County Londonderry,Northern Ireland
Caheny,,County Londonderry,Northern Ireland
Carn,,County Londonderry,Northern Ireland
Carnanreagh,,County Londonderry,Northern Ireland
Castledawson,BT45,County Londonderry,Northern Ireland
Castledsawson,,County Londonderry,Northern Ireland
Castlerock,BT51,County Londonderry,Northern Ireland
Claudy,BT47,County Londonderry,Northern Ireland
Coleraine,BT51,County Londonderry,Northern Ireland
Craigavole,,County Londonderry,Northern Ireland
Crindle,,County Londonderry,Northern Ireland
Crossgare,,County Londonderry,Northern Ireland
Culnady,,County Londonderry,Northern Ireland
Curran,,County Londonderry,Northern Ireland
Derry,BT47,County Londonderry,Northern Ireland
Desertmartin,BT45,County Londonderry,Northern Ireland
Dowling,,County Londonderry,Northern Ireland
Draperstown,BT45,County Londonderry,Northern Ireland
Drumahoe,,County Londonderry,Northern Ireland
Drumsurn,,County Londonderry,Northern Ireland
Dungiven,BT47,County Londonderry,Northern Ireland
Eglinton,BT47,County Londonderry,Northern Ireland
Feeny,BT47,County Londonderry,Northern Ireland
Garvagh,BT51,County Londonderry,Northern Ireland
Glen,,County Londonderry,Northern Ireland
Glenhead,,County Londonderry,Northern Ireland
Gortnahey,,County Londonderry,Northern Ireland
Greysteel,,County Londonderry,Northern Ireland
Inishrush,,County Londonderry,Northern Ireland
Killykergan,,County Londonderry,Northern Ireland
Kilrea,BT51,County Londonderry,Northern Ireland
Knockcloghrim,,County Londonderry,Northern Ireland
Labby,,County Londonderry,Northern Ireland
Letterloan,,County Londonderry,Northern Ireland
Limavady,BT49,County Londonderry,Northern Ireland
Lisnamuck,BT46,County Londonderry,Northern Ireland
Londonderry,BT47,County Londonderry,Northern Ireland
Macosquin,BT51,County Londonderry,Northern Ireland
Maghera,BT46,County Londonderry,Northern Ireland
Magherafelt,BT45,County Londonderry,Northern Ireland
Magilligan,,County Londonderry,Northern Ireland
Margymonaghan,,County Londonderry,Northern Ireland
Moneydig,,County Londonderry,Northern Ireland
Moneymore,BT45,County Londonderry,Northern Ireland
Moneyneany,,County Londonderry,Northern Ireland
Moys,,County Londonderry,Northern Ireland
Mullan,,County Londonderry,Northern Ireland
New Buildings,BT47,County Londonderry,Northern Ireland
Portstewart,BT55,County Londonderry,Northern Ireland
Scriggan,,County Londonderry,Northern Ireland
Spring Town,,County Londonderry,Northern Ireland
Swatragh,BT46,County Londonderry,Northern Ireland
The Rock,,County Londonderry,Northern Ireland
Tobermore,BT45,County Londonderry,Northern Ireland
Upperlands,BT46,County Londonderry,Northern Ireland
