,,County Tyrone,Northern Ireland
Altmore House,,County Tyrone,Northern Ireland
Arboe,,County Tyrone,Northern Ireland
Ardstraw,,County Tyrone,Northern Ireland
Ardtrea,,County Tyrone,Northern Ireland
Artigarvan,BT82,County Tyrone,Northern Ireland
Augher,BT77,County Tyrone,Northern Ireland
Aughmullan,,County Tyrone,Northern Ireland
Aughnacloy,BT69,County Tyrone,Northern Ireland
Ballygawley,BT70,County Tyrone,Northern Ireland
Ballymagorry,BT82,County Tyrone,Northern Ireland
Ballynamallaght,,County Tyrone,Northern Ireland
Ballyneaner,,County Tyrone,Northern Ireland
Ballyreagh,,County Tyrone,Northern Ireland
Ballywholan,,County Tyrone,Northern Ireland
Benburb,BT71,County Tyrone,Northern Ireland
Beragh,,County Tyrone,Northern Ireland
Bodoney,,County Tyrone,Northern Ireland
Bready,BT82,County Tyrone,Northern Ireland
Brigh,,County Tyrone,Northern Ireland
Cabragh,,County Tyrone,Northern Ireland
Caledon,BT68,County Tyrone,Northern Ireland
Cappagh,BT70,County Tyrone,Northern Ireland
Carland,,County Tyrone,Northern Ireland
Carnteel,BT69,County Tyrone,Northern Ireland
Carrickmore,,County Tyrone,Northern Ireland
Castlecaufield,,County Tyrone,Northern Ireland
Castlederg,BT81,County Tyrone,Northern Ireland
Church Hill,,County Tyrone,Northern Ireland
Clady,BT82,County Tyrone,Northern Ireland
Cloghbrack,,County Tyrone,Northern Ireland
Cloghcor,,County Tyrone,Northern Ireland
Cloghera,,County Tyrone,Northern Ireland
Coaghg,,County Tyrone,Northern Ireland
Coalisland,BT71,County Tyrone,Northern Ireland
Cookstown,BT80,County Tyrone,Northern Ireland
Coolmaghry,,County Tyrone,Northern Ireland
Craig,,County Tyrone,Northern Ireland
Cranagh,,County Tyrone,Northern Ireland
Creggan,,County Tyrone,Northern Ireland
Crilly,,County Tyrone,Northern Ireland
Donaghmore,BT70,County Tyrone,Northern Ireland
Dromore,BT78,County Tyrone,Northern Ireland
Drumnakilly,,County Tyrone,Northern Ireland
Drumquin,BT78,County Tyrone,Northern Ireland
Dungannon,BT70,County Tyrone,Northern Ireland
Dunnamanagh,,County Tyrone,Northern Ireland
Dunnamore,,County Tyrone,Northern Ireland
Dyan,,County Tyrone,Northern Ireland
Eglish,,County Tyrone,Northern Ireland
Eskragh,,County Tyrone,Northern Ireland
Fintona,BT78,County Tyrone,Northern Ireland
Fivemiletown,BT75,County Tyrone,Northern Ireland
Garvaghy,BT70,County Tyrone,Northern Ireland
Glebe,,County Tyrone,Northern Ireland
Gortaclady,,County Tyrone,Northern Ireland
Gortin,BT79,County Tyrone,Northern Ireland
Gortreagh,,County Tyrone,Northern Ireland
Grant House,,County Tyrone,Northern Ireland
Granville,,County Tyrone,Northern Ireland
Greencastle,,County Tyrone,Northern Ireland
Greystone,,County Tyrone,Northern Ireland
Kildress,,County Tyrone,Northern Ireland
Killeen,,County Tyrone,Northern Ireland
Killen,BT81,County Tyrone,Northern Ireland
Killeter,BT81,County Tyrone,Northern Ireland
Killyclogher,,County Tyrone,Northern Ireland
Kingsmill,,County Tyrone,Northern Ireland
Knockmany,,County Tyrone,Northern Ireland
Laghey Corner,,County Tyrone,Northern Ireland
Liscloon,,County Tyrone,Northern Ireland
Lisdoart,,County Tyrone,Northern Ireland
Magheramason,,County Tyrone,Northern Ireland
Milltown,,County Tyrone,Northern Ireland
Mitchelstown,,County Tyrone,Northern Ireland
Mountfield,BT79,County Tyrone,Northern Ireland
Mountjoy,,County Tyrone,Northern Ireland
Moy,,County Tyrone,Northern Ireland
Moygashel,BT71,County Tyrone,Northern Ireland
Newmills,,County Tyrone,Northern Ireland
Newtownstewart,BT78,County Tyrone,Northern Ireland
Omagh,BT78,County Tyrone,Northern Ireland
Oritor,,County Tyrone,Northern Ireland
Plumbridge,BT79,County Tyrone,Northern Ireland
Pomeroy,BT70,County Tyrone,Northern Ireland
Reclain,,County Tyrone,Northern Ireland
Ruan,,County Tyrone,Northern Ireland
Sandholes,,County Tyrone,Northern Ireland
Seskinore,,County Tyrone,Northern Ireland
Sess Kilgreen,,County Tyrone,Northern Ireland
Sion Mills,BT82,County Tyrone,Northern Ireland
Sixmilecross,BT79,County Tyrone,Northern Ireland
Sperrin,,County Tyrone,Northern Ireland
Stewartstown,BT71,County Tyrone,Northern Ireland
Strabane,BT81,County Tyrone,Northern Ireland
Tamnamore,,County Tyrone,Northern Ireland
Teemore,,County Tyrone,Northern Ireland
The Downs,,County Tyrone,Northern Ireland
The Pigeons,,County Tyrone,Northern Ireland
The Rower,,County Tyrone,Northern Ireland
Trillick,BT78,County Tyrone,Northern Ireland
Tullyhogue,BT80,County Tyrone,Northern Ireland
Victoria Bridge,BT82,County Tyrone,Northern Ireland
