,,Cumbria,England
Abbeytown,CA5,Cumbria,England
Ackenthwaite,,Cumbria,England
Aglionby,,Cumbria,England
Aiketgate,CA4,Cumbria,England
Aikton,CA7,Cumbria,England
Ainstable,CA4,Cumbria,England
Albyfield,,Cumbria,England
Aldingham,LA12,Cumbria,England
Aldoth,,Cumbria,England
Allenwood,,Cumbria,England
Allerby,CA5,Cumbria,England
Allithwaite,LA11,Cumbria,England
Allonby,CA15,Cumbria,England
Alston,CA9,Cumbria,England
Ambleside,LA22,Cumbria,England
Angerton,,Cumbria,England
Annas,,Cumbria,England
Annaside,LA19,Cumbria,England
Anthorn,CA5,Cumbria,England
Appleby-in-Westmoorland,,Cumbria,England
Applethwaite,CA12,Cumbria,England
Arkleby,CA5,Cumbria,England
Arlecdon,CA26,Cumbria,England
Armathwaite,CA4,Cumbria,England
Arnaby,,Cumbria,England
Arnside,LA5,Cumbria,England
Arrad Foot,LA12,Cumbria,England
Asby,CA14,Cumbria,England
Askam in Furness,LA16,Cumbria,England
Askham,CA10,Cumbria,England
Aspatria,CA5,Cumbria,England
Aughertree,,Cumbria,England
Ayside,LA11,Cumbria,England
Backbarrow,LA12,Cumbria,England
Baggrow,CA5,Cumbria,England
Baldwinholme,CA5,Cumbria,England
Bampton,CA10,Cumbria,England
Bampton Grange,,Cumbria,England
Bandrake Head,,Cumbria,England
Bank End,LA20,Cumbria,England
Banks,CA8,Cumbria,England
Barber Green,,Cumbria,England
Barbon,LA6,Cumbria,England
Barclose,,Cumbria,England
Bardsea,LA12,Cumbria,England
Barepot,,Cumbria,England
Barras,,Cumbria,England
Barrow in Furness,,Cumbria,England
Barrows Green,,Cumbria,England
Bassenthwaite,CA12,Cumbria,England
Bassenthwaite Lake,,Cumbria,England
Baycliff,LA12,Cumbria,England
Bayles,CA9,Cumbria,England
Beacon Hill,,Cumbria,England
Beanthwaite,,Cumbria,England
Beaumont,CA5,Cumbria,England
Beck Bottom,,Cumbria,England
Beck Foot,LA8,Cumbria,England
Beck Head,,Cumbria,England
Beck Houses,,Cumbria,England
Beck Side,LA17,Cumbria,England
Beckces,,Cumbria,England
Beckermet,CA21,Cumbria,England
Beckfoot,CA19,Cumbria,England
Beckside,,Cumbria,England
Beetham,LA7,Cumbria,England
Belah,,Cumbria,England
Belle Isle,,Cumbria,England
Belle Vue,,Cumbria,England
Berrier,,Cumbria,England
Beta,,Cumbria,England
Bewaldeth,CA13,Cumbria,England
Bewcastle,CA6,Cumbria,England
Biggar,LA14,Cumbria,England
Biglands,,Cumbria,England
Bigrigg,,Cumbria,England
Birk Beck,,Cumbria,England
Birkby,,Cumbria,England
Birkett Mire,,Cumbria,England
Birks,,Cumbria,England
Black Burn,,Cumbria,England
Black Lyne,,Cumbria,England
Blackbeck,,Cumbria,England
Blackdyke,,Cumbria,England
Blackford,CA6,Cumbria,England
Blackwell,,Cumbria,England
Blagill,,Cumbria,England
Blawith,LA12,Cumbria,England
Bleach Green,,Cumbria,England
Bleatarn,CA16,Cumbria,England
Blencarn,CA10,Cumbria,England
Blencogo,CA7,Cumbria,England
Blennerhasset,CA5,Cumbria,England
Blindcrake,CA13,Cumbria,England
Blitterlees,CA5,Cumbria,England
Bolton,CA16,Cumbria,England
Bolton Low Houses,CA7,Cumbria,England
Bolton New Houses,,Cumbria,England
Bolton Wood Lane,,Cumbria,England
Boltonfellend,CA6,Cumbria,England
Boltongate,CA5,Cumbria,England
Bomby,,Cumbria,England
Bonning Gate,,Cumbria,England
Boot,CA19,Cumbria,England
Bootle,LA19,Cumbria,England
Border,,Cumbria,England
Borrow Beck,,Cumbria,England
Borwick Rails,,Cumbria,England
Botcherby,,Cumbria,England
Bothel,CA5,Cumbria,England
Boustead Hill,,Cumbria,England
Bouth,LA12,Cumbria,England
Bowderdale,,Cumbria,England
Bowland Bridge,LA11,Cumbria,England
Bowmanstead,LA21,Cumbria,England
Bowness-on-Solway,CA5,Cumbria,England
Bowness-On-Windermere,LA23,Cumbria,England
Bowston,,Cumbria,England
Brackenber,CA16,Cumbria,England
Brackenlands,,Cumbria,England
Brackenthwaite,,Cumbria,England
Braithwaite,CA12,Cumbria,England
Brampton,CA16,Cumbria,England
Brandlingill,,Cumbria,England
Bransty,,Cumbria,England
Branthwaite,CA14,Cumbria,England
Branthwaite Edge,,Cumbria,England
Brathay,,Cumbria,England
Braystones,,Cumbria,England
Bridekirk,CA13,Cumbria,England
Bridge End,,Cumbria,England
Bridgefoot,CA14,Cumbria,England
Bridgend,CA11,Cumbria,England
Briery,,Cumbria,England
Brigflatts,,Cumbria,England
Briggle Beck,,Cumbria,England
Brigham,CA13,Cumbria,England
Brigsteer,LA8,Cumbria,England
Brisco,CA4,Cumbria,England
Briscoe,,Cumbria,England
Broad Oak,CA18,Cumbria,England
Broadwath,,Cumbria,England
Brockleymoor,,Cumbria,England
Bromfield,CA5,Cumbria,England
Broom,,Cumbria,England
Broomfield,,Cumbria,England
Brothybeck,,Cumbria,England
Brough,CA17,Cumbria,England
Brough Sowerby,CA17,Cumbria,England
Broughton Beck,LA12,Cumbria,England
Broughton Cross,,Cumbria,England
Broughton in Furness,LA20,Cumbria,England
Broughton Mills,LA20,Cumbria,England
Broughton Moor,CA15,Cumbria,England
Brow Edge,,Cumbria,England
Brownber,,Cumbria,England
Browtop,,Cumbria,England
Brunstock,,Cumbria,England
Buckabank,CA5,Cumbria,England
Bullgill,,Cumbria,England
Burgh by Sands,CA5,Cumbria,England
Burneside,LA9,Cumbria,England
Burnrigg,,Cumbria,England
Burrells,CA16,Cumbria,England
Burtholme,,Cumbria,England
Burthwaite,,Cumbria,England
Burton-in-Kendal,LA6,Cumbria,England
Bushfield,,Cumbria,England
Busk,,Cumbria,England
Buttermere,CA13,Cumbria,England
Butterwick,,Cumbria,England
Caldbeck,CA7,Cumbria,England
Calder,,Cumbria,England
Calder Bridge,CA20,Cumbria,England
Caldew,,Cumbria,England
