,,Devon,England
Abbey,,Devon,England
Abbey Gate,,Devon,England
Abbots Bickington,EX22,Devon,England
Abbotsham,EX39,Devon,England
Abbotskerswell,TQ12,Devon,England
Abbotsleigh,,Devon,England
Aish,,Devon,England
Alfington,EX11,Devon,England
All Saints,,Devon,England
Allaleigh,TQ9,Devon,England
Aller,,Devon,England
Aller Grove,,Devon,England
Aller Park,,Devon,England
Allercombe,,Devon,England
Alminstone Cross,,Devon,England
Alphington,EX2,Devon,England
Alston,EX13,Devon,England
Alswear,EX36,Devon,England
Alverdiscott,EX31,Devon,England
Alwington,,Devon,England
Appledore,EX39,Devon,England
Arlington,EX31,Devon,England
Arlington Beccott,,Devon,England
Ash,EX20,Devon,England
Ash Hill,,Devon,England
Ash Mill,EX36,Devon,England
Ash Moor,,Devon,England
Ash Thomas,EX16,Devon,England
Ashburton,TQ13,Devon,England
Ashbury,EX20,Devon,England
Ashcombe,EX7,Devon,England
Ashculme,,Devon,England
Ashford,EX31,Devon,England
Ashill,EX15,Devon,England
Ashmansworthy,EX39,Devon,England
Ashmill,,Devon,England
Ashprington,TQ9,Devon,England
Ashreigney,EX18,Devon,England
Ashridge Court,,Devon,England
Ashwater,EX21,Devon,England
Ashwell,,Devon,England
Atherington,EX37,Devon,England
Aunk,EX15,Devon,England
Aveton Gifford,TQ7,Devon,England
Avon,,Devon,England
Avonwick,TQ10,Devon,England
Awliscombe,EX14,Devon,England
Axe,,Devon,England
Axminster,EX13,Devon,England
Axmouth,EX12,Devon,England
Axtown,,Devon,England
Aylesbeare,EX5,Devon,England
Ayshford,EX16,Devon,England
Babbacombe,TQ1,Devon,England
Babeny,TQ13,Devon,England
Badworthy,,Devon,England
Baggy Point,,Devon,England
Ballhill,,Devon,England
Bampton,EX16,Devon,England
Bantham,TQ7,Devon,England
Barbican,PL4,Devon,England
Barbrook,EX35,Devon,England
Barne Barton,,Devon,England
Barnstaple,EX31,Devon,England
Barton,TQ2,Devon,England
Barton Gate,,Devon,England
Barton Town,,Devon,England
Barwick,,Devon,England
Batherm,,Devon,England
Batson,,Devon,England
Batsworthy,,Devon,England
Battledown Cross,,Devon,England
Batworthy,,Devon,England
Beacon,EX14,Devon,England
Beaford,EX19,Devon,England
Beare,,Devon,England
Beaworthy,EX21,Devon,England
Beer,EX12,Devon,England
Beer Head,,Devon,England
Beesands,TQ7,Devon,England
Beeson,TQ7,Devon,England
Bellever,PL20,Devon,England
Belsford,TQ9,Devon,England
Belstone,EX20,Devon,England
Belstone Corner,EX20,Devon,England
Bennah,,Devon,England
Benton,EX32,Devon,England
Bentwichen,,Devon,England
Bere Alston,PL20,Devon,England
Bere Ferrers,PL20,Devon,England
Berry Cross,,Devon,England
Berry Down Cross,,Devon,England
Berry Head,,Devon,England
Berry Pomeroy,TQ9,Devon,England
Berrynarbor,EX34,Devon,England
Berrysbridge,,Devon,England
Bickerton,,Devon,England
Bickingcott,,Devon,England
Bickington,EX31,Devon,England
Bickleigh,EX16,Devon,England
Bickleton,EX31,Devon,England
Bideford,EX39,Devon,England
Bidlake,,Devon,England
Bigbury,TQ7,Devon,England
Bigbury-on-Sea,TQ7,Devon,England
Billacombe,,Devon,England
Bilsdon,,Devon,England
Birchill,,Devon,England
Bish Mill,,Devon,England
Bishopsteignton,TQ14,Devon,England
Bishopswood,,Devon,England
Bittadon,EX31,Devon,England
Bittaford,PL21,Devon,England
Black Dog,EX17,Devon,England
Black Torrington,EX21,Devon,England
Blackawton,TQ9,Devon,England
Blackborough,EX15,Devon,England
Blackhorse,,Devon,England
Blackmoor Gate,EX31,Devon,England
Blackpool,,Devon,England
Blackpool Corner,,Devon,England
Blackwell,,Devon,England
Blagdon,TQ3,Devon,England
Blannicombe,,Devon,England
Blegbury,,Devon,England
Boasley Cross,EX20,Devon,England
Bocombe,,Devon,England
Bodley,,Devon,England
Bodmiscombe,,Devon,England
Bolberry,TQ7,Devon,England
Bolham,EX16,Devon,England
Bolham Water,EX15,Devon,England
Bolt Head,,Devon,England
Bolt Tail,,Devon,England
Bondleigh,EX20,Devon,England
Bonehill,,Devon,England
Boode,,Devon,England
Bottreaux Mill,,Devon,England
Bovey,,Devon,England
Bovey Tracey,TQ13,Devon,England
Bow,EX17,Devon,England
Bowd,EX10,Devon,England
Bowden,TQ6,Devon,England
Bradaford,,Devon,England
Bradfield,,Devon,England
Bradford,EX22,Devon,England
Bradiford,,Devon,England
Bradninch,EX5,Devon,England
Bradstone,PL19,Devon,England
Bradwell,,Devon,England
Bradworthy,EX22,Devon,England
Brampford Speke,EX5,Devon,England
Brandis Corner,EX22,Devon,England
Branscombe,EX12,Devon,England
Bratton Clovelly,EX20,Devon,England
Bratton Fleming,EX32,Devon,England
Braunton,EX33,Devon,England
Bray,,Devon,England
Brayford,EX32,Devon,England
Brayfordhill,,Devon,England
Brealeys,,Devon,England
Brendon,EX35,Devon,England
Brent Mill,,Devon,England
Bridestowe,EX20,Devon,England
Bridford,EX6,Devon,England
Bridfordmills,,Devon,England
Bridge Ball,,Devon,England
Bridge End,,Devon,England
Bridge Reeve,,Devon,England
Bridgend,,Devon,England
Bridgerule,EX22,Devon,England
Bridgetown,PL15,Devon,England
Brightley,,Devon,England
Brimley,TQ13,Devon,England
Brinsworthy,,Devon,England
Brithem Bottom,EX15,Devon,England
Brixham,TQ5,Devon,England
Brixton,PL8,Devon,England
Broad Oak,,Devon,England
Broad Parkham,,Devon,England
Broadbury,,Devon,England
Broadclyst,,Devon,England
Broadhembury,EX14,Devon,England
Broadhempston,TQ9,Devon,England
Broadlands,,Devon,England
Broadsands,,Devon,England
Broadwoodkelly,,Devon,England
Broadwoodwidger,PL16,Devon,England
Brockfield,,Devon,England
Brockscombe,,Devon,England
Brook,,Devon,England
Brookleigh,,Devon,England
Broom,,Devon,England
Brownheath,,Devon,England
Brownston,PL21,Devon,England
Brushford,,Devon,England
Brynsworthy,,Devon,England
Buckerell,EX14,Devon,England
Buckfast,TQ11,Devon,England
Buckfastleigh,TQ11,Devon,England
Buckhorn,,Devon,England
Buckland,TQ7,Devon,England
Buckland Brewer,EX39,Devon,England
Buckland Filleigh,EX21,Devon,England
Buckland in the Moor,TQ13,Devon,England
Buckland Monachorum,PL20,Devon,England
Buckleigh,,Devon,England
Budlake,EX5,Devon,England
Budleigh Salterton,EX9,Devon,England
Bugford,,Devon,England
Bulkworthy,EX22,Devon,England
Bull Point,,Devon,England
Bulverton,,Devon,England
Burford,,Devon,England
Burlescombe,EX16,Devon,England
Burlestone,,Devon,England
Burnstone,,Devon,England
Burridge,,Devon,England
Burrington,EX37,Devon,England
Burrow,,Devon,England
Burscott,,Devon,England
Bursdon,,Devon,England
Burston,,Devon,England
Butterleigh,EX15,Devon,England
Butts,,Devon,England
Cabbacott,,Devon,England
Cadbury,EX5,Devon,England
Cadeleigh,EX16,Devon,England
Caen,,Devon,England
Calstock,,Devon,England
Calverleigh,EX16,Devon,England
Capton,TQ6,Devon,England
Carey,,Devon,England
Carlingwark,,Devon,England
Carrhouse,,Devon,England
Castle,,Devon,England
Caton,TQ13,Devon,England
Cattedown,,Devon,England
Caute,,Devon,England
Chaddlehanger,,Devon,England
Chaddlewood,,Devon,England
Chagford,TQ13,Devon,England
Challaborough,,Devon,England
Challacombe,EX31,Devon,England
Chambercombe,,Devon,England
Champson,,Devon,England
Chantry,,Devon,England
Chapelton,,Devon,England
Chapmans Well,,Devon,England
Chardstock,EX13,Devon,England
Charles,EX32,Devon,England
Charles Bottom,,Devon,England
Chasty,EX22,Devon,England
Chawleigh,EX18,Devon,England
Cheglinch,,Devon,England
Cheldon,EX18,Devon,England
Chelfham,,Devon,England
Chelston,,Devon,England
Cheristow,,Devon,England
Cheriton,EX35,Devon,England
Cheriton Bishop,EX6,Devon,England
Cheriton Cross,EX6,Devon,England
Cheriton Fitzpaine,EX17,Devon,England
Cheston,,Devon,England
Chettiscombe,EX16,Devon,England
Chevithorne,EX16,Devon,England
Chichacott,,Devon,England
Chillaton,PL16,Devon,England
Chillington,TQ7,Devon,England
Chilson,,Devon,England
Chilsworthy,EX22,Devon,England
Chitterley,,Devon,England
Chittlehamholt,EX37,Devon,England
Chittlehampton,EX37,Devon,England
Chivelstone,TQ7,Devon,England
Chivenor,,Devon,England
Christow,EX6,Devon,England
Chub Tor,,Devon,England
Chudleigh,TQ13,Devon,England
Chudleigh Knighton,TQ13,Devon,England
Chulmleigh,EX18,Devon,England
Church Green,EX13,Devon,England
Churchill,,Devon,England
Churchstow,TQ7,Devon,England
Churchtown,EX31,Devon,England
Churscombe,,Devon,England
Churston Ferrers,TQ5,Devon,England
Clapham,,Devon,England
Clapworthy,EX36,Devon,England
Clawton,EX22,Devon,England
Clayhanger,EX16,Devon,England
Clayhidon,EX15,Devon,England
Clearbrook,PL6,Devon,England
Cleave,,Devon,England
Clifford,,Devon,England
Clifton,,Devon,England
Clovelly,EX39,Devon,England
Clyst,,Devon,England
Clyst Honiton,EX5,Devon,England
Clyst Hydon,EX15,Devon,England
Clyst St George,EX3,Devon,England
Clyst St Lawrence,EX15,Devon,England
Clyst St Mary,EX5,Devon,England
Coarsewell,,Devon,England
Cobb,,Devon,England
Cobbaton,EX37,Devon,England
Cockington,TQ2,Devon,England
Cockwood,EX6,Devon,England
Coffinswell,TQ12,Devon,England
Cofton,,Devon,England
Colaton Raleigh,EX10,Devon,England
Coldeast,TQ12,Devon,England
Coldharbour,,Devon,England
Coldridge,EX17,Devon,England
Colebrook,EX15,Devon,England
Colebrooke,EX17,Devon,England
Coleford,EX17,Devon,England
Colestocks,EX14,Devon,England
Collaton,,Devon,England
Collaton St Mary,TQ3,Devon,England
Colleton Mills,EX37,Devon,England
Collipriest,,Devon,England
Colliton,EX14,Devon,England
Colscott,,Devon,England
Columbjohn,,Devon,England
Colyford,EX13,Devon,England
Colyton,EX13,Devon,England
Combe,,Devon,England
Combe Fishacre,,Devon,England
Combe Martin,EX34,Devon,England
Combe Pafford,,Devon,England
Combe Raleigh,EX14,Devon,England
Combebow,,Devon,England
Combeinteignhead,TQ12,Devon,England
Combpyne,EX13,Devon,England
Combrew,,Devon,England
Compton,TQ3,Devon,England
