,,Dumfries and Galloway,Scotland
Abbey Head,,Dumfries and Galloway,Scotland
Abbey Yard,,Dumfries and Galloway,Scotland
Ae,,Dumfries and Galloway,Scotland
Almagill,,Dumfries and Galloway,Scotland
Amisfield,,Dumfries and Galloway,Scotland
Annan,DG12,Dumfries and Galloway,Scotland
Anwoth,DG7,Dumfries and Galloway,Scotland
Applegarthtown,,Dumfries and Galloway,Scotland
Ardwell,DG9,Dumfries and Galloway,Scotland
Arkleton,,Dumfries and Galloway,Scotland
Auchenbainzie,,Dumfries and Galloway,Scotland
Auchencairn,DG7,Dumfries and Galloway,Scotland
Auchenmalg,DG8,Dumfries and Galloway,Scotland
Auldgirth,,Dumfries and Galloway,Scotland
Balcary Point,,Dumfries and Galloway,Scotland
Balgowan Point,,Dumfries and Galloway,Scotland
Balmaclellan,DG7,Dumfries and Galloway,Scotland
Bankend,DG1,Dumfries and Galloway,Scotland
Banks,,Dumfries and Galloway,Scotland
Bankshill,DG11,Dumfries and Galloway,Scotland
Barend,,Dumfries and Galloway,Scotland
Bargrennan,DG8,Dumfries and Galloway,Scotland
Barharrow,DG7,Dumfries and Galloway,Scotland
Barrachan,,Dumfries and Galloway,Scotland
Beattock,DG10,Dumfries and Galloway,Scotland
Beeswing,DG2,Dumfries and Galloway,Scotland
Bentpath,DG13,Dumfries and Galloway,Scotland
Beoch Burn,,Dumfries and Galloway,Scotland
Bishopton,,Dumfries and Galloway,Scotland
Black Esk,,Dumfries and Galloway,Scotland
Black Water of Dee (Dee),,Dumfries and Galloway,Scotland
Blackford,,Dumfries and Galloway,Scotland
Bladnoch,DG8,Dumfries and Galloway,Scotland
Boreland,DG11,Dumfries and Galloway,Scotland
Borgue,DG6,Dumfries and Galloway,Scotland
Borness,DG6,Dumfries and Galloway,Scotland
Braehead,,Dumfries and Galloway,Scotland
Bridge of Dee,DG7,Dumfries and Galloway,Scotland
Brocklehirst,,Dumfries and Galloway,Scotland
Browhouses,,Dumfries and Galloway,Scotland
Brydekirk,DG12,Dumfries and Galloway,Scotland
Buchan Burn,,Dumfries and Galloway,Scotland
Burnfoot,,Dumfries and Galloway,Scotland
Burnhead,DG3,Dumfries and Galloway,Scotland
Burrow Head,,Dumfries and Galloway,Scotland
Cairn Water,,Dumfries and Galloway,Scotland
Cairnpark,,Dumfries and Galloway,Scotland
Cairnryan,DG9,Dumfries and Galloway,Scotland
Canonbie,DG14,Dumfries and Galloway,Scotland
Capplegill,DG10,Dumfries and Galloway,Scotland
Cargenbridge,DG2,Dumfries and Galloway,Scotland
Carronbridge,DG3,Dumfries and Galloway,Scotland
Carrutherstown,DG1,Dumfries and Galloway,Scotland
Carsluith,DG8,Dumfries and Galloway,Scotland
Carsphairn,DG7,Dumfries and Galloway,Scotland
Carzield,,Dumfries and Galloway,Scotland
Castle Douglas,DG7,Dumfries and Galloway,Scotland
Castle Kennedy,DG9,Dumfries and Galloway,Scotland
Castlemilk,DG11,Dumfries and Galloway,Scotland
Caulkerbush,DG2,Dumfries and Galloway,Scotland
Caulside,,Dumfries and Galloway,Scotland
Challoch,DG8,Dumfries and Galloway,Scotland
Chapelknowe,DG14,Dumfries and Galloway,Scotland
Clarencefield,DG1,Dumfries and Galloway,Scotland
Claygate,,Dumfries and Galloway,Scotland
Closeburn,DG3,Dumfries and Galloway,Scotland
Collin,DG1,Dumfries and Galloway,Scotland
Corrie Common,DG11,Dumfries and Galloway,Scotland
Corriedoo,DG7,Dumfries and Galloway,Scotland
Corsock,DG7,Dumfries and Galloway,Scotland
Courance,,Dumfries and Galloway,Scotland
Crawick,DG4,Dumfries and Galloway,Scotland
Creca,DG12,Dumfries and Galloway,Scotland
Cree,,Dumfries and Galloway,Scotland
Creebridge,,Dumfries and Galloway,Scotland
Creetown,DG8,Dumfries and Galloway,Scotland
Crocketford (Ninemile Bar),,Dumfries and Galloway,Scotland
Cross Water of Luce,,Dumfries and Galloway,Scotland
Crossmichael,DG7,Dumfries and Galloway,Scotland
Cummertrees,DG12,Dumfries and Galloway,Scotland
