,,Dunbartonshire,Scotland
Alexandria,G83,Dunbartonshire,Scotland
Allander Burn,,Dunbartonshire,Scotland
Auchinreoch,,Dunbartonshire,Scotland
Badshalloch,,Dunbartonshire,Scotland
Balgrochan,,Dunbartonshire,Scotland
Balloch,G83,Dunbartonshire,Scotland
Balmore,G64,Dunbartonshire,Scotland
Bellsmyre,,Dunbartonshire,Scotland
Birdston,,Dunbartonshire,Scotland
Bishopbriggs,G64,Dunbartonshire,Scotland
Blairskaith,,Dunbartonshire,Scotland
Bonhill,G83,Dunbartonshire,Scotland
Brucehill,,Dunbartonshire,Scotland
Buchley,,Dunbartonshire,Scotland
Cadder,G64,Dunbartonshire,Scotland
Castlehill,,Dunbartonshire,Scotland
Clachan of Campsie,G65,Dunbartonshire,Scotland
Creinch,,Dunbartonshire,Scotland
Croy,G65,Dunbartonshire,Scotland
Dennystown,,Dunbartonshire,Scotland
Drumry,,Dunbartonshire,Scotland
Dumbarton,G82,Dunbartonshire,Scotland
Duntocher,G81,Dunbartonshire,Scotland
Faifley,G81,Dunbartonshire,Scotland
Fluchter,,Dunbartonshire,Scotland
Gartocharn,G83,Dunbartonshire,Scotland
Hardgate,G81,Dunbartonshire,Scotland
Harestanes,,Dunbartonshire,Scotland
Hayston,,Dunbartonshire,Scotland
High Gallowhill,,Dunbartonshire,Scotland
Inchmurrin,,Dunbartonshire,Scotland
Jamestown,G83,Dunbartonshire,Scotland
Kelvin,,Dunbartonshire,Scotland
Kilbowie,,Dunbartonshire,Scotland
Kirkintilloch,G66,Dunbartonshire,Scotland
Lennoxtown,G65,Dunbartonshire,Scotland
Lenzie,G66,Dunbartonshire,Scotland
Leven,,Dunbartonshire,Scotland
Mill of Haldane,,Dunbartonshire,Scotland
Milngavie,G62,Dunbartonshire,Scotland
Milton,G82,Dunbartonshire,Scotland
Milton of Campsie,G65,Dunbartonshire,Scotland
Mugdock,,Dunbartonshire,Scotland
Old Kilpatrick,G60,Dunbartonshire,Scotland
Oxgang,,Dunbartonshire,Scotland
Parkhall,,Dunbartonshire,Scotland
Radnor Park,,Dunbartonshire,Scotland
Renton,G82,Dunbartonshire,Scotland
Rosebank,,Dunbartonshire,Scotland
Silverton,,Dunbartonshire,Scotland
Torrance,G64,Dunbartonshire,Scotland
Torrinch,,Dunbartonshire,Scotland
Townend,G82,Dunbartonshire,Scotland
Twechar,G65,Dunbartonshire,Scotland
Waterside,G66,Dunbartonshire,Scotland
