,,Dundee,Scotland
Baldovie,DD5,Dundee,Scotland
Barnhill,DD5,Dundee,Scotland
Broughty Ferry,DD5,Dundee,Scotland
Burnside of Duntrune,,Dundee,Scotland
Craigie,,Dundee,Scotland
Denhead of Gray,,Dundee,Scotland
Dighty Water,,Dundee,Scotland
Douglas and Angus,DD5,Dundee,Scotland
Downfield,DD3,Dundee,Scotland
Dundee,DD1,Dundee,Scotland
Fintry,,Dundee,Scotland
Gourdie,,Dundee,Scotland
Mains of Gray,,Dundee,Scotland
Ninewells,DD2,Dundee,Scotland
Pitempton,,Dundee,Scotland
South Powrie,,Dundee,Scotland
Stannergate,,Dundee,Scotland
Trottick,,Dundee,Scotland
West Ferry,,Dundee,Scotland
