,,Durham,England
Acklam,,Durham,England
Aislaby,,Durham,England
Albany,,Durham,England
Annfield Plain,DH9,Durham,England
Archdeacon Newton,DL2,Durham,England
Arn Gill,,Durham,England
Aukside,,Durham,England
Axwell Park,,Durham,England
Aycliffe,DL5,Durham,England
Aykley Heads,,Durham,England
Ayres Quay,,Durham,England
Ayton,,Durham,England
Bailiff Bridge,,Durham,England
Balder,,Durham,England
Balderhead Reservoir,,Durham,England
Bank Top,,Durham,England
Bar Moor,,Durham,England
Barkisland,,Durham,England
Barley Mow,,Durham,England
Barlow,,Durham,England
Barmpton,,Durham,England
Barmston,,Durham,England
Barnard Castle,DL12,Durham,England
Barningham,DL11,Durham,England
Beacon Lough,,Durham,England
Beamish,DH9,Durham,England
Bearpark,DH7,Durham,England
Beaumont Hill,,Durham,England
Bedburn,DL13,Durham,England
Belmont,,Durham,England
Benfieldside,,Durham,England
Bensham,,Durham,England
Berwick Hills,,Durham,England
Biddick,,Durham,England
Bildershaw,DL14,Durham,England
Bill Quay,,Durham,England
Billingham,,Durham,England
Billy Row,DL15,Durham,England
Binchester Blocks,,Durham,England
Birkhouse,,Durham,England
Birtley,DH2,Durham,England
Bishop Auckland,DL14,Durham,England
Bishop Middleham,DL17,Durham,England
Bishopsgarth,,Durham,England
Bishopton,TS21,Durham,England
Bishopwearmouth,,Durham,England
Black Banks,,Durham,England
Blackfell,,Durham,England
Blackgill Burn,,Durham,England
Blackhall Colliery,TS27,Durham,England
Blackhall Mill,,Durham,England
Blackhall Rocks,TS27,Durham,England
Blackhill,,Durham,England
Blackley,,Durham,England
Blackshaw Head,,Durham,England
Blaydon,,Durham,England
Blaydon Burn,,Durham,England
Blaydon Haughs,,Durham,England
Bolam,DL2,Durham,England
Boldron,DL12,Durham,England
Bollihope,,Durham,England
Boltshope Park,,Durham,England
Booth,,Durham,England
Booth Wood,,Durham,England
Boothtown,,Durham,England
Bottomley,,Durham,England
Boulder Clough,,Durham,England
Bournmoor,DH4,Durham,England
Bowbank,DL12,Durham,England
Bowburn,DH6,Durham,England
Bowes,DL12,Durham,England
Bowlees,,Durham,England
Bradbury,TS21,Durham,England
Bradshaw,,Durham,England
Brafferton,,Durham,England
Brancepeth,DH7,Durham,England
Brandon,DH7,Durham,England
Branksome,,Durham,England
Brearley,,Durham,England
Bridge End,,Durham,England
Bridgehill,,Durham,England
Brierton,,Durham,England
Brighouse,,Durham,England
Brignall,DL12,Durham,England
Broad Carr,,Durham,England
Brookfield,,Durham,England
Brookfoot,,Durham,England
Brookhouse,,Durham,England
Broom Hill,,Durham,England
Broompark,,Durham,England
Brotherlee,,Durham,England
Browney,,Durham,England
Burdon,,Durham,England
Burnhope,DH7,Durham,England
Burnhope Burn,,Durham,England
Burnopfield,NE16,Durham,England
Burnside,,Durham,England
Butterknowle,,Durham,England
Buttershaw,,Durham,England
Butterwick,,Durham,England
Byermoor,,Durham,England
Byers Green,DL16,Durham,England
Cargo Fleet,,Durham,England
Carley Hill,,Durham,England
Carlton,TS21,Durham,England
Carr Hill,,Durham,England
Carrville,DH1,Durham,England
Cassop,DH6,Durham,England
Castle Eden,TS27,Durham,England
Castle Street,,Durham,England
Castleside,DH8,Durham,England
Castletown,,Durham,England
Catchgate,,Durham,England
Catherine Slack,,Durham,England
Causeway Foot,,Durham,England
Causey,,Durham,England
Charlestown,,Durham,England
Chester Moor,,Durham,England
Chester-Le-Street,DH2,Durham,England
Chilton,DL17,Durham,England
Chilton Lane,,Durham,England
Chilton Moor,,Durham,England
Chiserley,,Durham,England
Chopwell,NE17,Durham,England
Chowdene,,Durham,England
Clara Vale,,Durham,England
Claremount,,Durham,England
Cleatlam,DL2,Durham,England
Clifton,,Durham,England
Close House,,Durham,England
Clough Dene,,Durham,England
Clough Foot,,Durham,England
Clough Head,,Durham,England
Coal Bank,,Durham,England
Coalburns,,Durham,England
Coatham Mundeville,,Durham,England
Cockerton,,Durham,England
Cockfield,DL13,Durham,England
Cold Hesledon,SR7,Durham,England
Colden,,Durham,England
Coley,,Durham,England
Colliery Row,DH4,Durham,England
Columbia,,Durham,England
Concord,,Durham,England
Consett,DH8,Durham,England
Copley,DL13,Durham,England
Copthill,,Durham,England
Cornforth,DL17,Durham,England
Cornholme,,Durham,England
Cornriggs,,Durham,England
Cornsay,DH7,Durham,England
Cornsay Colliery,DH7,Durham,England
