,,East Riding of Yorkshire,England
Anlaby Park,,East Riding of Yorkshire,England
Ganstead,HU11,East Riding of Yorkshire,England
Gipsyville,,East Riding of Yorkshire,England
Holderness Drain,,East Riding of Yorkshire,England
Hull,HU6,East Riding of Yorkshire,England
Inglemire,,East Riding of Yorkshire,England
Kingston upon Hull,HU6,East Riding of Yorkshire,England
Marfleet,,East Riding of Yorkshire,England
Neat Marsh,,East Riding of Yorkshire,England
Newland,YO8,East Riding of Yorkshire,England
Sculcoates,,East Riding of Yorkshire,England
Stoneferry,HU7,East Riding of Yorkshire,England
Summergangs,,East Riding of Yorkshire,England
Sutton Ings,,East Riding of Yorkshire,England
Sutton-on-Hull,HU7,East Riding of Yorkshire,England
West Carr,,East Riding of Yorkshire,England
West Park,,East Riding of Yorkshire,England
