,,Edinburgh,Scotland
Abbeyhill,,Edinburgh,Scotland
Atholl Place,,Edinburgh,Scotland
Balerno,EH14,Edinburgh,Scotland
Barnton,EH4,Edinburgh,Scotland
Bingham,,Edinburgh,Scotland
Blackhall,EH4,Edinburgh,Scotland
Bonaly,,Edinburgh,Scotland
Bonnington,,Edinburgh,Scotland
Braepark,,Edinburgh,Scotland
Broughton,,Edinburgh,Scotland
Brunstane,,Edinburgh,Scotland
Bughtlin,,Edinburgh,Scotland
Burdiehouse,,Edinburgh,Scotland
Clermiston,,Edinburgh,Scotland
Colinton,EH13,Edinburgh,Scotland
Comiston,,Edinburgh,Scotland
Corstorphine,EH12,Edinburgh,Scotland
Craigentinny,EH7,Edinburgh,Scotland
Craigiehall,,Edinburgh,Scotland
Craigleith,,Edinburgh,Scotland
Craiglockhart,EH14,Edinburgh,Scotland
Craigmillar,EH16,Edinburgh,Scotland
Cramond,EH4,Edinburgh,Scotland
Cramond Bridge,,Edinburgh,Scotland
Currie,EH14,Edinburgh,Scotland
Dalmeny,EH30,Edinburgh,Scotland
Dalry,,Edinburgh,Scotland
Danderhall,,Edinburgh,Scotland
Dean,,Edinburgh,Scotland
Dreghorn,,Edinburgh,Scotland
Drum,,Edinburgh,Scotland
Drylaw,,Edinburgh,Scotland
Duddingston,EH15,Edinburgh,Scotland
Edinburgh,EH1,Edinburgh,Scotland
Fairmilehead,EH10,Edinburgh,Scotland
Gilmerton,EH17,Edinburgh,Scotland
Glenbrock,,Edinburgh,Scotland
Gogar,EH12,Edinburgh,Scotland
Gorgie,,Edinburgh,Scotland
Gracemount,,Edinburgh,Scotland
Granton,EH5,Edinburgh,Scotland
Hermiston,EH14,Edinburgh,Scotland
Inverleith,,Edinburgh,Scotland
Joppa,EH15,Edinburgh,Scotland
Juniper Green,EH14,Edinburgh,Scotland
Kaimes,EH17,Edinburgh,Scotland
Kingsknowe,,Edinburgh,Scotland
Kirkliston,EH29,Edinburgh,Scotland
Leith,EH6,Edinburgh,Scotland
Liberton,EH16,Edinburgh,Scotland
Lochend,,Edinburgh,Scotland
Longstone,EH14,Edinburgh,Scotland
Malleny Mills,EH14,Edinburgh,Scotland
Meadowbank,,Edinburgh,Scotland
Merchiston,,Edinburgh,Scotland
Moredun,EH17,Edinburgh,Scotland
Morningside,EH10,Edinburgh,Scotland
Muirhouse,,Edinburgh,Scotland
Murrayfield,EH12,Edinburgh,Scotland
New Town,EH2,Edinburgh,Scotland
Newbigging,,Edinburgh,Scotland
Newbridge,EH28,Edinburgh,Scotland
Newhailes,,Edinburgh,Scotland
Newhaven,EH6,Edinburgh,Scotland
Newington,EH8,Edinburgh,Scotland
Newliston,,Edinburgh,Scotland
Niddrie,EH16,Edinburgh,Scotland
Northfield,,Edinburgh,Scotland
Old Town,EH1,Edinburgh,Scotland
Oxgangs,EH13,Edinburgh,Scotland
Pilrig,,Edinburgh,Scotland
Pilton,,Edinburgh,Scotland
Port Edgar,,Edinburgh,Scotland
Portobello,EH15,Edinburgh,Scotland
Prestonfield,,Edinburgh,Scotland
Queensferry,EH30,Edinburgh,Scotland
Ratho,EH28,Edinburgh,Scotland
Ratho Station,EH28,Edinburgh,Scotland
Ravelston,,Edinburgh,Scotland
Restalrig,EH7,Edinburgh,Scotland
Saughton,,Edinburgh,Scotland
Sighthill,,Edinburgh,Scotland
Silverknowes,,Edinburgh,Scotland
Slateford,EH14,Edinburgh,Scotland
South Gyle,,Edinburgh,Scotland
Stenhouse,,Edinburgh,Scotland
Swanston,,Edinburgh,Scotland
The Inch,,Edinburgh,Scotland
Torphin,,Edinburgh,Scotland
Trinity,,Edinburgh,Scotland
Turnhouse,,Edinburgh,Scotland
Warriston,,Edinburgh,Scotland
Wester Hailes,,Edinburgh,Scotland
