,,Fife,Scotland
Abercrombie,KY10,Fife,Scotland
Aberdour,KY3,Fife,Scotland
Anstruther Easter,,Fife,Scotland
Anstruther Wester,,Fife,Scotland
Arncroach,KY10,Fife,Scotland
Auchmuty,,Fife,Scotland
Auchterderran,KY5,Fife,Scotland
Auchtermuchty,KY14,Fife,Scotland
Auchtertool,KY2,Fife,Scotland
Backmuir of New Gilston,KY8,Fife,Scotland
Baintown,,Fife,Scotland
Balbuthie,,Fife,Scotland
Balcurvie,KY8,Fife,Scotland
Baldinnie,KY15,Fife,Scotland
Balgonar,KY12,Fife,Scotland
Ballingry,KY5,Fife,Scotland
Balmalcolm,KY15,Fife,Scotland
Balmerino,DD6,Fife,Scotland
Balmullo,KY16,Fife,Scotland
Baltilly,,Fife,Scotland
Barnyards,,Fife,Scotland
Bellbrae,,Fife,Scotland
Bellyeoman,,Fife,Scotland
Black Devon,,Fife,Scotland
Black Muir,,Fife,Scotland
Blair,,Fife,Scotland
Blairburn,,Fife,Scotland
Blairhall,KY12,Fife,Scotland
Blinkbonny,,Fife,Scotland
Boarhills,KY16,Fife,Scotland
Bonnybank,KY8,Fife,Scotland
Boreland,,Fife,Scotland
Bottomcraig,DD6,Fife,Scotland
Bow of Fife,KY15,Fife,Scotland
Bowershall,KY12,Fife,Scotland
Bowhill,,Fife,Scotland
Bridgend,KY15,Fife,Scotland
Broom,,Fife,Scotland
Brownhills,KY16,Fife,Scotland
Brucefield,,Fife,Scotland
Brunton,KY15,Fife,Scotland
Buckhaven,KY8,Fife,Scotland
Burntisland,KY3,Fife,Scotland
Cadham,KY7,Fife,Scotland
Cairneyhill,KY12,Fife,Scotland
Cameron,,Fife,Scotland
Cameron Bridge,,Fife,Scotland
Cardenden,KY5,Fife,Scotland
Carnbee,KY10,Fife,Scotland
Carnock,KY12,Fife,Scotland
Carrick,KY16,Fife,Scotland
Caskieberran,,Fife,Scotland
Cellardyke,KY10,Fife,Scotland
Ceres,KY15,Fife,Scotland
Chance Inn,,Fife,Scotland
Chapel,KY2,Fife,Scotland
Charlestown,KY11,Fife,Scotland
Clatto,,Fife,Scotland
Clayton,,Fife,Scotland
Cluny,KY2,Fife,Scotland
Coaltown of Balgonie,KY7,Fife,Scotland
Coaltown of Burnturk,,Fife,Scotland
Coaltown of Wemyss,KY1,Fife,Scotland
Colinsburgh,KY9,Fife,Scotland
Collessie,KY15,Fife,Scotland
Comrie,,Fife,Scotland
Cowdenbeath,KY4,Fife,Scotland
Cowstrandburn,,Fife,Scotland
Craigrothie,KY15,Fife,Scotland
Crail,KY10,Fife,Scotland
Criech,,Fife,Scotland
Croft Outerly,,Fife,Scotland
Crombie,,Fife,Scotland
Crossford,KY12,Fife,Scotland
Crossgates,KY4,Fife,Scotland
Crosshill,KY5,Fife,Scotland
Crossroads,,Fife,Scotland
Culross,KY12,Fife,Scotland
Cupar,KY14,Fife,Scotland
Cupar Muir,KY15,Fife,Scotland
Dairsie (Osnaburgh),,Fife,Scotland
Dalgety Bay,KY11,Fife,Scotland
Den of Lindores,,Fife,Scotland
Denbeath,,Fife,Scotland
Denhead,KY16,Fife,Scotland
Drumeldrie,KY8,Fife,Scotland
Duloch,,Fife,Scotland
Dunbog,KY14,Fife,Scotland
Dundonald,,Fife,Scotland
Dunfermline,KY11,Fife,Scotland
Dunino,KY16,Fife,Scotland
Dunnikier,,Fife,Scotland
Dunshalt,,Fife,Scotland
Dysart,KY1,Fife,Scotland
Earlsferry,KY9,Fife,Scotland
East Finglassie,,Fife,Scotland
East Wemyss,KY1,Fife,Scotland
Easter Kilwhiss,,Fife,Scotland
Easter Kinsleith,,Fife,Scotland
Eden,,Fife,Scotland
Falkland,KY15,Fife,Scotland
Fernie,KY15,Fife,Scotland
Fife Ness,,Fife,Scotland
Fincraigs,,Fife,Scotland
Foodieash,,Fife,Scotland
Fordell,KY4,Fife,Scotland
Freuchie,KY15,Fife,Scotland
Gallatown,KY1,Fife,Scotland
Garvock Hill,,Fife,Scotland
Gateside,KY14,Fife,Scotland
Gauldry,DD6,Fife,Scotland
Giffordtown,,Fife,Scotland
Glencraig,KY5,Fife,Scotland
Glenduckie,KY14,Fife,Scotland
Glenrothes,KY6,Fife,Scotland
Gowkhall,KY12,Fife,Scotland
Grange of Lindores,KY14,Fife,Scotland
Guardbridge,KY16,Fife,Scotland
Halbeath,KY11,Fife,Scotland
Hayfield,,Fife,Scotland
Hazelton Walls,KY15,Fife,Scotland
Headwell,,Fife,Scotland
High Valleyfield,,Fife,Scotland
Hill End,KY12,Fife,Scotland
Hill of Beath,KY4,Fife,Scotland
Hillend,KY11,Fife,Scotland
Innerleven,KY8,Fife,Scotland
Inverkeithing,KY11,Fife,Scotland
Isle of May,,Fife,Scotland
Jamphlars,,Fife,Scotland
Kedlock,,Fife,Scotland
Kedlock Feus,,Fife,Scotland
Kelty,KY4,Fife,Scotland
Keltybridge,,Fife,Scotland
Kemback,KY15,Fife,Scotland
Kennoway,KY8,Fife,Scotland
Kettlebridge,KY15,Fife,Scotland
Kettlehill,,Fife,Scotland
Kilconquhar,KY9,Fife,Scotland
Kilduncan,,Fife,Scotland
Kilmany,KY15,Fife,Scotland
Kilrenny,KY10,Fife,Scotland
Kincaple,KY16,Fife,Scotland
Kincardine,FK10,Fife,Scotland
Kinghorn,KY3,Fife,Scotland
Kinglassie,KY5,Fife,Scotland
Kingsbarns,KY16,Fife,Scotland
Kingseat,KY12,Fife,Scotland
Kingseathill,,Fife,Scotland
Kingskettle,KY15,Fife,Scotland
Kinloch,KY15,Fife,Scotland
Kirkcaldy,KY1,Fife,Scotland
Kirkforthar Feus,,Fife,Scotland
Kirkland,,Fife,Scotland
Kirkland Dam,,Fife,Scotland
Kirkton,DD6,Fife,Scotland
Kirkton of Cults,,Fife,Scotland
Kirkton of Largo (Upper Largo),,Fife,Scotland
Ladybank,KY15,Fife,Scotland
Largoward,KY9,Fife,Scotland
Lassodie,KY12,Fife,Scotland
Lathones,KY9,Fife,Scotland
Leslie,KY6,Fife,Scotland
Letham,KY15,Fife,Scotland
Leuchars,KY16,Fife,Scotland
