,,Glasgow,Scotland
Anniesland,,Glasgow,Scotland
Arden,,Glasgow,Scotland
Auchinairn,,Glasgow,Scotland
Baillieston,,Glasgow,Scotland
Balornock,,Glasgow,Scotland
Bankhead,,Glasgow,Scotland
Bardowie,,Glasgow,Scotland
Barlanark,,Glasgow,Scotland
Barmulloch,G21,Glasgow,Scotland
Barrachnie,,Glasgow,Scotland
Battlefield,,Glasgow,Scotland
Bearsden,,Glasgow,Scotland
Bellahouston,,Glasgow,Scotland
Braidfauld,,Glasgow,Scotland
Bridgeton,,Glasgow,Scotland
Broomhouse,,Glasgow,Scotland
Calton,,Glasgow,Scotland
Cardonald,,Glasgow,Scotland
Carntyne,,Glasgow,Scotland
Carnwadric,,Glasgow,Scotland
Castlemilk,G45,Glasgow,Scotland
Cathcart,,Glasgow,Scotland
Colston,,Glasgow,Scotland
Cowlairs,G21,Glasgow,Scotland
Craigend,,Glasgow,Scotland
Craigton,,Glasgow,Scotland
Cranhill,,Glasgow,Scotland
Croftfoot,,Glasgow,Scotland
Crookston,G53,Glasgow,Scotland
Crossmyloof,,Glasgow,Scotland
Dennistoun,,Glasgow,Scotland
Dowanhill,G12,Glasgow,Scotland
Drumchapel,G15,Glasgow,Scotland
Dumbreck,,Glasgow,Scotland
Easterhouse,,Glasgow,Scotland
Forth and Clyde Canal,,Glasgow,Scotland
Fullarton,,Glasgow,Scotland
Garnkirk,,Glasgow,Scotland
Garrowhill,,Glasgow,Scotland
Garthamlock,,Glasgow,Scotland
Gartloch,,Glasgow,Scotland
Germiston,,Glasgow,Scotland
Glasgow,G1,Glasgow,Scotland
Gorbals,,Glasgow,Scotland
Govan,G51,Glasgow,Scotland
Govanhill,,Glasgow,Scotland
Greenfield,,Glasgow,Scotland
Haghill,,Glasgow,Scotland
High Crosshill,,Glasgow,Scotland
Hogganfield,,Glasgow,Scotland
Hutchesontown,,Glasgow,Scotland
Ibrox,G51,Glasgow,Scotland
Jordonhill,,Glasgow,Scotland
Kelvindale,G12,Glasgow,Scotland
Kelvinside,G20,Glasgow,Scotland
Kennishead,,Glasgow,Scotland
Kings Park,,Glasgow,Scotland
Knightswood,,Glasgow,Scotland
Lambhill,,Glasgow,Scotland
Langside,,Glasgow,Scotland
Lochwood,,Glasgow,Scotland
Lumloch,,Glasgow,Scotland
Mansewood,G43,Glasgow,Scotland
Maryhill,G20,Glasgow,Scotland
Millerston,,Glasgow,Scotland
Milton,,Glasgow,Scotland
Mosspark,,Glasgow,Scotland
Mount Vernon,G32,Glasgow,Scotland
Mt Florida,,Glasgow,Scotland
Muirend,,Glasgow,Scotland
Newlands,G43,Glasgow,Scotland
Oatlands,,Glasgow,Scotland
Old Balornock,,Glasgow,Scotland
Parkhead,,Glasgow,Scotland
Partick,G11,Glasgow,Scotland
Pollok,G53,Glasgow,Scotland
Pollokshaws,G43,Glasgow,Scotland
Pollokshields,G41,Glasgow,Scotland
Polmadie,,Glasgow,Scotland
Port Dundas,,Glasgow,Scotland
Possil Park,,Glasgow,Scotland
Priesthill,,Glasgow,Scotland
Provanmill,,Glasgow,Scotland
Queenslie,,Glasgow,Scotland
Riddrie,,Glasgow,Scotland
Robroyston,,Glasgow,Scotland
Royston,G21,Glasgow,Scotland
Ruchazie,,Glasgow,Scotland
Ruchill,G20,Glasgow,Scotland
Rutherglen,,Glasgow,Scotland
Scotstoun,G14,Glasgow,Scotland
Shawlands,G41,Glasgow,Scotland
Shettleston,G32,Glasgow,Scotland
Shieldhall,,Glasgow,Scotland
Sighthill,G21,Glasgow,Scotland
Springboig,,Glasgow,Scotland
Springburn,G21,Glasgow,Scotland
Strathbungo,,Glasgow,Scotland
Summerston,,Glasgow,Scotland
Swinton,,Glasgow,Scotland
Temple,,Glasgow,Scotland
Townhead,,Glasgow,Scotland
White Cart Water,,Glasgow,Scotland
Whiteinch,G14,Glasgow,Scotland
Yoker,G14,Glasgow,Scotland
Yorkhill,,Glasgow,Scotland
