,,Gloucestershire,England
Abbeydale,,Gloucestershire,England
Ablington,GL7,Gloucestershire,England
Abson,,Gloucestershire,England
Acton Turville,GL9,Gloucestershire,England
Adlestrop,GL56,Gloucestershire,England
Alderley,GL12,Gloucestershire,England
Alderton,GL20,Gloucestershire,England
Alderton Fields,,Gloucestershire,England
Aldsworth,GL54,Gloucestershire,England
Alkerton,,Gloucestershire,England
Allaston,,Gloucestershire,England
Almondsbury,,Gloucestershire,England
Alstone,GL20,Gloucestershire,England
Alveston,,Gloucestershire,England
Alveston Down,,Gloucestershire,England
Alvington,GL15,Gloucestershire,England
Amberley,GL5,Gloucestershire,England
Ampney Crucis,GL7,Gloucestershire,England
Ampney St Mary,GL7,Gloucestershire,England
Ampney St Peter,GL7,Gloucestershire,England
Andoversford,GL54,Gloucestershire,England
Apperley,GL19,Gloucestershire,England
Arle,,Gloucestershire,England
Arlebrook,,Gloucestershire,England
Arlingham,GL2,Gloucestershire,England
Arlington,GL7,Gloucestershire,England
Ashchurch,GL20,Gloucestershire,England
Ashleworth,GL19,Gloucestershire,England
Ashley,GL8,Gloucestershire,England
Ashmead Green,,Gloucestershire,England
Aston Cross,GL20,Gloucestershire,England
Aston Magna,GL56,Gloucestershire,England
Aston on Carrant,,Gloucestershire,England
Aston Subedge,GL55,Gloucestershire,England
Aust,,Gloucestershire,England
Avening,GL8,Gloucestershire,England
Avening Green,,Gloucestershire,England
Avon,,Gloucestershire,England
Awkley,,Gloucestershire,England
Awre,GL14,Gloucestershire,England
Aylburton,GL15,Gloucestershire,England
Aylburton Common,,Gloucestershire,England
Aylworth,,Gloucestershire,England
Badgeworth,GL51,Gloucestershire,England
Badminton,GL9,Gloucestershire,England
Bagendon,GL7,Gloucestershire,England
Bagpath,,Gloucestershire,England
Bagstone,GL12,Gloucestershire,England
Bamfurlong,,Gloucestershire,England
Barnfields,,Gloucestershire,England
Barnsley,GL7,Gloucestershire,England
Barnwood,GL4,Gloucestershire,England
Barrow,,Gloucestershire,England
Barrow Wake,,Gloucestershire,England
Barton,GL54,Gloucestershire,England
Barton End,GL6,Gloucestershire,England
Batsford,GL56,Gloucestershire,England
Battledown,,Gloucestershire,England
Battlescombe,,Gloucestershire,England
Baunton,GL7,Gloucestershire,England
Beach,,Gloucestershire,England
Beachley,,Gloucestershire,England
Bencombe,,Gloucestershire,England
Bengrove,,Gloucestershire,England
Benhall,,Gloucestershire,England
Bentham,GL51,Gloucestershire,England
Berkeley,GL13,Gloucestershire,England
Berkeley Heath,,Gloucestershire,England
Berkeley Pill,,Gloucestershire,England
Berkeley Road,,Gloucestershire,England
Berry Hill,GL16,Gloucestershire,England
Berwick,,Gloucestershire,England
Beverston,,Gloucestershire,England
Bevington,GL13,Gloucestershire,England
Bibstone,,Gloucestershire,England
Bibury,GL7,Gloucestershire,England
Bilson Green,,Gloucestershire,England
Birdlip,GL4,Gloucestershire,England
Birdwood,GL2,Gloucestershire,England
