,,Greater Manchester,England
Abbey Hey,M18,Greater Manchester,England
Alder Forest,,Greater Manchester,England
Alt Hill,,Greater Manchester,England
Ancoats,,Greater Manchester,England
Ardwick,M12,Greater Manchester,England
Ashton Canal,,Greater Manchester,England
Ashton Upon Mersey,M33,Greater Manchester,England
Ashton-Under-Lyne,OL6,Greater Manchester,England
Audenshaw,M34,Greater Manchester,England
Audenshaw Reservoir,,Greater Manchester,England
Backbower,,Greater Manchester,England
Baguley,M23,Greater Manchester,England
Bardsley,OL8,Greater Manchester,England
Barlow Moor,,Greater Manchester,England
Barton Upon Irwell,,Greater Manchester,England
Belle Vue,,Greater Manchester,England
Benchill,,Greater Manchester,England
Beswick,,Greater Manchester,England
Blackley,M9,Greater Manchester,England
Boothstown,M28,Greater Manchester,England
Bowdon,WA14,Greater Manchester,England
Bowgreen,,Greater Manchester,England
Bradford,,Greater Manchester,England
Bridgewater Canal,,Greater Manchester,England
Brindle Heath,,Greater Manchester,England
Broadbottom,SK14,Greater Manchester,England
Broadheath,WA14,Greater Manchester,England
Broadoak Park,,Greater Manchester,England
Brook Bottom,,Greater Manchester,England
Brooklands,M33,Greater Manchester,England
Broughton Park,,Greater Manchester,England
Brunswick,,Greater Manchester,England
Brushes,,Greater Manchester,England
Buckton Vale,,Greater Manchester,England
Burnage,M19,Greater Manchester,England
Carrbrook,SK15,Greater Manchester,England
Carrington,M31,Greater Manchester,England
Charlestown,,Greater Manchester,England
Cheetam Hill,,Greater Manchester,England
Chorlton-cum-Hardy,M21,Greater Manchester,England
Clayton,,Greater Manchester,England
Clifton,M27,Greater Manchester,England
Clifton Green,,Greater Manchester,England
Clifton Junction,,Greater Manchester,England
Collyhurst,,Greater Manchester,England
Copley,,Greater Manchester,England
Crofts Bank,,Greater Manchester,England
Crowhill,,Greater Manchester,England
Crumpsall,M8,Greater Manchester,England
Dales Brow,,Greater Manchester,England
Dane Bank,,Greater Manchester,England
Davenport Green,,Greater Manchester,England
Davyhulme,,Greater Manchester,England
Debdale,,Greater Manchester,England
Denton,M34,Greater Manchester,England
Didsbury,M20,Greater Manchester,England
Droylsden,M43,Greater Manchester,England
Dukinfield,SK16,Greater Manchester,England
