,,Isle of Man,England
Agneash,,Isle of Man,England
Andreas,IM7,Isle of Man,England
Baldhoon,,Isle of Man,England
Baldrine,IM4,Isle of Man,England
Baldwin,,Isle of Man,England
Ballabeg,,Isle of Man,England
Ballacannell,,Isle of Man,England
Ballacarnane Beg,,Isle of Man,England
Ballachrink,,Isle of Man,England
Ballagawne,,Isle of Man,England
Ballajora,,Isle of Man,England
Ballaleigh,,Isle of Man,England
Ballamodha,,Isle of Man,England
Ballaragh,,Isle of Man,England
Ballasalla,IM9,Isle of Man,England
Ballaterson,,Isle of Man,England
Ballaugh,IM7,Isle of Man,England
Ballelby,,Isle of Man,England
Barregarrow,,Isle of Man,England
Braaid,,Isle of Man,England
Bradda East,,Isle of Man,England
Bradda Head,,Isle of Man,England
Bradda West,,Isle of Man,England
Bride,IM7,Isle of Man,England
Calf of Man,,Isle of Man,England
Castletown,IM9,Isle of Man,England
Churchtown,,Isle of Man,England
Clay Head,,Isle of Man,England
Colby,,Isle of Man,England
Cornaa,,Isle of Man,England
Corrany,,Isle of Man,England
Cranstal,,Isle of Man,England
Cregneash,,Isle of Man,England
"Cronk, The",,Isle of Man,England
Crosby,,Isle of Man,England
Dalby,,Isle of Man,England
Derbyhaven,,Isle of Man,England
Dhoo,,Isle of Man,England
Dhoon,,Isle of Man,England
Dhoor,,Isle of Man,England
Douglas,IM1,Isle of Man,England
Dreemskerry,,Isle of Man,England
Eairy,,Isle of Man,England
Fistard,,Isle of Man,England
Four Roads,,Isle of Man,England
Foxdale,IM4,Isle of Man,England
Garey,,Isle of Man,England
Glass,,Isle of Man,England
Glen Auldyn,,Isle of Man,England
Glen Mona,,Isle of Man,England
Glenchass,,Isle of Man,England
Glenmaye,,Isle of Man,England
Glentruan,,Isle of Man,England
Hillberry,,Isle of Man,England
Isle of Man,IM1,Isle of Man,England
Jerby East,,Isle of Man,England
Jurby Head,,Isle of Man,England
Jurby West,,Isle of Man,England
Kella,,Isle of Man,England
Keristal,,Isle of Man,England
Kerroogarroo,,Isle of Man,England
Kirby,,Isle of Man,England
Kirk Michael,IM6,Isle of Man,England
Knocksharry,,Isle of Man,England
Laxey,IM4,Isle of Man,England
"Lhen, The",,Isle of Man,England
Lower Foxdale,,Isle of Man,England
Maughold,IM7,Isle of Man,England
Maughold Head,,Isle of Man,England
Minorca,,Isle of Man,England
"Mooragh, The",,Isle of Man,England
Neb,,Isle of Man,England
Newtown,,Isle of Man,England
Old Laxey,,Isle of Man,England
Onchan,IM3,Isle of Man,England
Orrisdale,,Isle of Man,England
Patrick,IM5,Isle of Man,England
Peel,IM5,Isle of Man,England
Point of Ayre,,Isle of Man,England
Port e Vullen,,Isle of Man,England
Port Erin,IM9,Isle of Man,England
Port St Mary,IM9,Isle of Man,England
Pulrose,,Isle of Man,England
Ramsey,IM8,Isle of Man,England
Regaby,,Isle of Man,England
Rhencullen,,Isle of Man,England
Rue Point,,Isle of Man,England
Sandygate,,Isle of Man,England
Santon Head,,Isle of Man,England
Sartfield,,Isle of Man,England
Silver Burn,,Isle of Man,England
Spring Valley,,Isle of Man,England
St Judes,,Isle of Man,England
Strang,,Isle of Man,England
Sulby,IM7,Isle of Man,England
Surby,,Isle of Man,England
The Lhen Trench,,Isle of Man,England
Tromode,,Isle of Man,England
Union Mills,,Isle of Man,England
