,,Kent,England
Abbey Gate,,Kent,England
Acol,CT7,Kent,England
Addington,ME19,Kent,England
Adisham,CT3,Kent,England
Aldington,TN25,Kent,England
Aldington Frith,,Kent,England
Alkham,CT15,Kent,England
Allhallows,ME3,Kent,England
Allhallows-on-Sea,,Kent,England
Allington,,Kent,England
Anvil Green,,Kent,England
Appledore,TN26,Kent,England
Appledore Heath,TN26,Kent,England
Arpinge,,Kent,England
Ash,,Kent,England
Ashbank,,Kent,England
Ashford,TN17,Kent,England
Ashley,CT15,Kent,England
Ashurst,TN3,Kent,England
Aycliff,,Kent,England
Aylesford,ME20,Kent,England
Aylesham,CT3,Kent,England
Badgers Mount,TN14,Kent,England
Badlesmere,ME13,Kent,England
Bagham,,Kent,England
Bapchild,ME9,Kent,England
Barden Park,,Kent,England
Barfrestone,,Kent,England
Barham,CT4,Kent,England
Barming Heath,,Kent,England
Barnes Street,,Kent,England
Barnfield,,Kent,England
Barnsole,,Kent,England
Barrow Green,,Kent,England
Barrowhill,,Kent,England
Basted,,Kent,England
Bay View,,Kent,England
Beacon Hill,,Kent,England
Bean,DA2,Kent,England
Bearsted,ME14,Kent,England
Bedgebury Cross,TN17,Kent,England
Bekesbourne,CT4,Kent,England
Bekesbourne Hill,,Kent,England
Beltinge,CT6,Kent,England
Beltring,TN12,Kent,England
Belvedere,,Kent,England
Benenden,TN17,Kent,England
Benover,ME18,Kent,England
Berwick,,Kent,England
Bessels Green,,Kent,England
Bethersden,TN26,Kent,England
Betsham,DA13,Kent,England
Betteshanger,CT14,Kent,England
Beult,,Kent,England
Bewl,,Kent,England
Bexon,,Kent,England
Bicknor,ME9,Kent,England
Bidborough,TN4,Kent,England
Biddenden,TN27,Kent,England
Biddenden Green,,Kent,England
Bilsington,TN25,Kent,England
Bilting,TN25,Kent,England
Birchington,CT7,Kent,England
Bircholt Forstal,,Kent,England
Birling,ME19,Kent,England
Bishopsbourne,CT4,Kent,England
Bishopstone,,Kent,England
Bitchet Green,,Kent,England
Blacketts,,Kent,England
Bladbean,CT4,Kent,England
Blean,CT2,Kent,England
Bliby,,Kent,England
Blue Bell Hill,ME5,Kent,England
Blue Town,,Kent,England
Bluetown,,Kent,England
Bobbing,ME9,Kent,England
Bockhanger,,Kent,England
Bodsham,,Kent,England
Bonnington,TN25,Kent,England
Borden,ME9,Kent,England
Borough Green,TN15,Kent,England
Borstal,ME1,Kent,England
Bossingham,CT4,Kent,England
Bossington,,Kent,England
Bottom Pond,,Kent,England
Bough Beech,TN8,Kent,England
Bough Beech Reservoir,,Kent,England
Boughton Aluph,TN25,Kent,England
Boughton Corner,,Kent,England
Boughton Green,ME17,Kent,England
Boughton Lees,TN25,Kent,England
Boughton Malherbe,ME17,Kent,England
Boughton Monchelsea,ME17,Kent,England
Boughton Street,ME13,Kent,England
Bowmans,,Kent,England
Boxley,ME14,Kent,England
Boyden Gate,CT3,Kent,England
Brabourne,TN25,Kent,England
Brabourne Lees,TN25,Kent,England
Bramling,CT3,Kent,England
Branbridges,,Kent,England
Brasted,TN16,Kent,England
Brasted Chart,TN16,Kent,England
Brattle,,Kent,England
Breach,CT4,Kent,England
Bredgar,ME9,Kent,England
Bredhurst,ME7,Kent,England
Brenchley,TN12,Kent,England
Brenzett,TN29,Kent,England
Brenzett Green,,Kent,England
Bridge,CT4,Kent,England
Brissenden Green,,Kent,England
Broad Ford,,Kent,England
Broad Oak,,Kent,England
Broad Street,ME17,Kent,England
Broad Tenterden,,Kent,England
Broadstairs,CT10,Kent,England
Broadstone,,Kent,England
Bromley Green,TN26,Kent,England
Brompton,ME4,Kent,England
Bromstone,,Kent,England
Brook,TN25,Kent,England
Brook Street,TN30,Kent,England
