,,Lancashire,England
Abbey Village,PR6,Lancashire,England
Abbeystead,LA2,Lancashire,England
Abraham Heights,,Lancashire,England
Abram,,Lancashire,England
Accrington,BB5,Lancashire,England
Acre,BB4,Lancashire,England
Adlington,BL6,Lancashire,England
Adlington Park,,Lancashire,England
Affetside,,Lancashire,England
Aigburth,,Lancashire,England
Ainsworth,,Lancashire,England
Aldcliffe,LA1,Lancashire,England
Alkrington Garden Village,,Lancashire,England
Allerton,,Lancashire,England
Alt,,Lancashire,England
Altham,BB5,Lancashire,England
Anchorsholme,,Lancashire,England
Anderton,PR6,Lancashire,England
Andertons Mill,,Lancashire,England
Anfield,,Lancashire,England
Ansdell,FY8,Lancashire,England
Appley Bridge,WN6,Lancashire,England
Arkholme,LA6,Lancashire,England
Artle Beck,,Lancashire,England
Ashton-in-Makerfield,,Lancashire,England
Ashurst,,Lancashire,England
Aspull,,Lancashire,England
Aspult Common,,Lancashire,England
Astley,,Lancashire,England
Astley Bridge,,Lancashire,England
Astley Green,,Lancashire,England
Atherton,,Lancashire,England
Aughton,L39,Lancashire,England
Aughton Park,L39,Lancashire,England
Austerlands,,Lancashire,England
Bacup,OL13,Lancashire,England
Bagslate Moor,,Lancashire,England
Bailrigg,LA1,Lancashire,England
Balderstone,BB2,Lancashire,England
Baldingstone,,Lancashire,England
Balladen,,Lancashire,England
Bamber Bridge,PR5,Lancashire,England
Bamford,,Lancashire,England
Bamfurlong,,Lancashire,England
Bank Fold,BB3,Lancashire,England
Bank Hey,BB1,Lancashire,England
Bank Houses,,Lancashire,England
Bank Lane,,Lancashire,England
Bank Top,,Lancashire,England
Banks,PR9,Lancashire,England
Bare,,Lancashire,England
Barley,BB12,Lancashire,England
Barley Green,,Lancashire,England
Barnoldswick,BB8,Lancashire,England
Barrow,BB7,Lancashire,England
Barrow Bridge,,Lancashire,England
Barrow Nook,L39,Lancashire,England
Barrowford,BB9,Lancashire,England
Barton,L39,Lancashire,England
Bashall Eaves,BB7,Lancashire,England
Baxenden,BB5,Lancashire,England
Bay Gate,,Lancashire,England
