,,Leicestershire,England
Ab Kettleby,LE14,Leicestershire,England
Agar Nook,,Leicestershire,England
Allexton,LE15,Leicestershire,England
Anker,,Leicestershire,England
Annwell Place,,Leicestershire,England
Anstey,LE7,Leicestershire,England
Appleby Magna,DE12,Leicestershire,England
Arnesby,LE8,Leicestershire,England
Asfordby,LE14,Leicestershire,England
Asfordby Hill,LE14,Leicestershire,England
Ashby Folville,LE14,Leicestershire,England
Ashby Magna,LE17,Leicestershire,England
Ashby Parva,LE17,Leicestershire,England
Ashby-de-la-Zouch,LE65,Leicestershire,England
Ashby-De-La-Zouch Canal,,Leicestershire,England
Aston Flamville,LE10,Leicestershire,England
Atterton,,Leicestershire,England
Avon,,Leicestershire,England
Aylestone,LE2,Leicestershire,England
Aylestone Park,,Leicestershire,England
Bagworth,LE67,Leicestershire,England
Bardon,LE67,Leicestershire,England
Barkby,LE7,Leicestershire,England
Barkby Thorpe,LE7,Leicestershire,England
Barkestone-le-Vale,NG13,Leicestershire,England
Barlestone,CV13,Leicestershire,England
Barrow upon Soar,LE12,Leicestershire,England
Barsby,LE7,Leicestershire,England
Barton in the Beans,CV13,Leicestershire,England
Barwell,LE9,Leicestershire,England
Battram,,Leicestershire,England
Beaumont Leys,LE4,Leicestershire,England
Beeby,LE7,Leicestershire,England
Belgrave,LE4,Leicestershire,England
Belton,LE12,Leicestershire,England
Belvoir,NG32,Leicestershire,England
Bescaby,,Leicestershire,England
Billesdon,LE7,Leicestershire,England
Bilstone,CV13,Leicestershire,England
Birstall,LE4,Leicestershire,England
Bitteswell,LE17,Leicestershire,England
Blaby,LE8,Leicestershire,England
Blackfordby,DE11,Leicestershire,England
Blaston,LE16,Leicestershire,England
Bondman Hays,,Leicestershire,England
Botcheston,LE9,Leicestershire,England
Bottesford,NG13,Leicestershire,England
Boundary,LE65,Leicestershire,England
Branston,NG32,Leicestershire,England
Brascote,,Leicestershire,England
Braunstone,,Leicestershire,England
Breedon on the Hill,DE73,Leicestershire,England
Brentingby,LE14,Leicestershire,England
Bringhurst,LE16,Leicestershire,England
Brooksby,LE14,Leicestershire,England
Broughton Astley,LE9,Leicestershire,England
Broughton Lodges,,Leicestershire,England
Bruntingthorpe,LE17,Leicestershire,England
Buckminster,NG33,Leicestershire,England
Bufton,,Leicestershire,England
Bulwick,,Leicestershire,England
Burbage,LE10,Leicestershire,England
Burrough on the Hill,LE14,Leicestershire,England
Burton Lazars,LE14,Leicestershire,England
Burton on the Wolds,LE12,Leicestershire,England
Burton Overy,LE8,Leicestershire,England
Bushby,LE7,Leicestershire,England
Cadeby,CV13,Leicestershire,England
Caldecott,LE16,Leicestershire,England
Care Village,,Leicestershire,England
Carlton,CV13,Leicestershire,England
Carlton Curlieu,LE8,Leicestershire,England
Castle Donington,DE74,Leicestershire,England
Catthorpe,LE17,Leicestershire,England
Cavendish Bridge,,Leicestershire,England
Chadwell,LE14,Leicestershire,England
Chater,,Leicestershire,England
Chilcote,DE12,Leicestershire,England
Church Langton,LE16,Leicestershire,England
Church Town,,Leicestershire,England
Clarendon Park,,Leicestershire,England
Claybrooke Magna,LE17,Leicestershire,England
Claybrooke Parva,LE17,Leicestershire,England
Coalville,LE67,Leicestershire,England
Cold Newton,LE7,Leicestershire,England
Cold Overton,LE15,Leicestershire,England
Coleorton,LE67,Leicestershire,England
Coleorton Moor,,Leicestershire,England
Congerstone,CV13,Leicestershire,England
Copt Oak,LE67,Leicestershire,England
Cosby,LE9,Leicestershire,England
Cossington,LE7,Leicestershire,England
Coston,LE14,Leicestershire,England
Cotes,LE12,Leicestershire,England
Cotesbach,LE17,Leicestershire,England
Countesthorpe,LE8,Leicestershire,England
Cranoe,LE16,Leicestershire,England
Croft,LE9,Leicestershire,England
Cropston,LE7,Leicestershire,England
Crown Hills,,Leicestershire,England
Croxton Kerrial,NG32,Leicestershire,England
Dadlington,CV13,Leicestershire,England
Desford,LE9,Leicestershire,England
Devon,,Leicestershire,England
Diseworth,DE74,Leicestershire,England
Dishley,,Leicestershire,England
Donington le Heath,LE67,Leicestershire,England
Donisthorpe,DE12,Leicestershire,England
Drayton,LE16,Leicestershire,England
Dunton Bassett,LE17,Leicestershire,England
Earl Shilton,LE9,Leicestershire,England
East Goscote,LE7,Leicestershire,England
East Langton,LE16,Leicestershire,England
East Norton,LE7,Leicestershire,England
Easthorpe,NG13,Leicestershire,England
Eastwell,LE14,Leicestershire,England
Eaton,NG32,Leicestershire,England
Edmondthorpe,LE14,Leicestershire,England
Ellistown,LE67,Leicestershire,England
Elmsthorpe,,Leicestershire,England
Enderby,LE9,Leicestershire,England
Evington,LE2,Leicestershire,England
Eye,,Leicestershire,England
Eye Brook,,Leicestershire,England
Eyebrook,,Leicestershire,England
Eyebrook Reservoir,,Leicestershire,England
Eyres Monsell,,Leicestershire,England
Fairham Brook,,Leicestershire,England
Far Coton,,Leicestershire,England
Farm Town,,Leicestershire,England
Fenny Drayton,CV13,Leicestershire,England
Field Head,LE67,Leicestershire,England
Fleckney,LE8,Leicestershire,England
Foston,NG32,Leicestershire,England
Foxton,LE16,Leicestershire,England
