,,North Yorkshire,England
Acaster Malbis,YO23,North Yorkshire,England
Acaster Selby,,North Yorkshire,England
Acklam,YO17,North Yorkshire,England
Acomb,YO26,North Yorkshire,England
Adlingfleet,DN14,North Yorkshire,England
Agglethorpe,DL8,North Yorkshire,England
Aike,YO25,North Yorkshire,England
Aike Beck,,North Yorkshire,England
Ainderby Quernhow,YO7,North Yorkshire,England
Ainderby Steeple,DL7,North Yorkshire,England
Ainthorpe,YO21,North Yorkshire,England
Aire and Calder Navigation,,North Yorkshire,England
Aire View,,North Yorkshire,England
Airmyn,DN14,North Yorkshire,England
Airton,BD23,North Yorkshire,England
Airy Hill,,North Yorkshire,England
Aiskew,DL8,North Yorkshire,England
Aislaby,YO18,North Yorkshire,England
Aldborough,,North Yorkshire,England
Aldbrough,,North Yorkshire,England
Aldbrough St John,DL11,North Yorkshire,England
Aldfield,HG4,North Yorkshire,England
Aldwark,,North Yorkshire,England
Allerston,YO18,North Yorkshire,England
Allerthorpe,,North Yorkshire,England
Allerton Mauleverer,,North Yorkshire,England
Alne,YO61,North Yorkshire,England
Alne Station,,North Yorkshire,England
Amotherby,YO17,North Yorkshire,England
Ampleforth,YO62,North Yorkshire,England
Angram,,North Yorkshire,England
Angram Reservoir,,North Yorkshire,England
Anlaby,,North Yorkshire,England
Apedale Beck,,North Yorkshire,England
Appersett,,North Yorkshire,England
Appleton Roebuck,YO23,North Yorkshire,England
Appleton Wiske,DL6,North Yorkshire,England
Appleton-le-Moors,YO62,North Yorkshire,England
Appleton-le-Street,YO17,North Yorkshire,England
Appletreewick,BD23,North Yorkshire,England
Arckle Beck,,North Yorkshire,England
Arkendale,HG5,North Yorkshire,England
Arkle Beck,,North Yorkshire,England
Arkle Town,,North Yorkshire,England
Arncliffe,BD23,North Yorkshire,England
Arndale Gill,,North Yorkshire,England
Arnold,,North Yorkshire,England
Arram,,North Yorkshire,England
Arrathorne,DL8,North Yorkshire,England
Asenby,YO7,North Yorkshire,England
Ashfold Side,,North Yorkshire,England
Askham Bryan,YO23,North Yorkshire,England
Askham Richard,YO23,North Yorkshire,England
Askrigg,DL8,North Yorkshire,England
Askwith,LS21,North Yorkshire,England
Asselby,DN14,North Yorkshire,England
Atwick,YO25,North Yorkshire,England
Aughton,LA2,North Yorkshire,England
Austwick,LA2,North Yorkshire,England
Aysgarth,DL8,North Yorkshire,England
Azerley,HG4,North Yorkshire,England
Bagby,YO7,North Yorkshire,England
Bagby Grange,,North Yorkshire,England
Bain,,North Yorkshire,England
Bainbridge,DL8,North Yorkshire,England
Bainton,YO25,North Yorkshire,England
Baldersby,YO7,North Yorkshire,England
Baldersby St James,,North Yorkshire,England
Balkholme,DN14,North Yorkshire,England
Balne,,North Yorkshire,England
Bank Newton,BD23,North Yorkshire,England
Barden,DL8,North Yorkshire,England
Barden Beck,,North Yorkshire,England
Barkston Ash,,North Yorkshire,England
Barlby,YO8,North Yorkshire,England
Barlow,YO8,North Yorkshire,England
Barmby Moor,,North Yorkshire,England
