,,Northamptonshire,England
Abington,,Northamptonshire,England
Abington Vale,,Northamptonshire,England
Abthorpe,NN12,Northamptonshire,England
Achurch,PE8,Northamptonshire,England
Adstone,NN12,Northamptonshire,England
Alderton,NN12,Northamptonshire,England
Aldwincle,NN14,Northamptonshire,England
Apethorpe,PE8,Northamptonshire,England
Armston,PE8,Northamptonshire,England
Arthingworth,LE16,Northamptonshire,England
Ashby St Ledgers,CV23,Northamptonshire,England
Ashley,LE16,Northamptonshire,England
Ashton,NN7,Northamptonshire,England
Astcote,NN12,Northamptonshire,England
Aston le Walls,NN11,Northamptonshire,England
Astrop,,Northamptonshire,England
Avon,,Northamptonshire,England
Aynho,OX17,Northamptonshire,England
Badby,NN11,Northamptonshire,England
Barby,CV23,Northamptonshire,England
Barby Nortoft,,Northamptonshire,England
Barnwell,PE8,Northamptonshire,England
Barton Seagrave,NN15,Northamptonshire,England
Blakesley,NN12,Northamptonshire,England
Blatherwycke,PE8,Northamptonshire,England
Blisworth,NN7,Northamptonshire,England
Boothville,NN3,Northamptonshire,England
Boughton,NN2,Northamptonshire,England
Bozeat,NN29,Northamptonshire,England
Brackley,NN13,Northamptonshire,England
Bradden,NN12,Northamptonshire,England
Brafield-on-the-Green,NN7,Northamptonshire,England
Brampton Ash,LE16,Northamptonshire,England
Braunston,LE15,Northamptonshire,England
Braybrooke,LE16,Northamptonshire,England
Briar Hill,,Northamptonshire,England
Brigstock,NN14,Northamptonshire,England
Brixworth,NN6,Northamptonshire,England
Brockhall,NN7,Northamptonshire,England
Broughton,NN14,Northamptonshire,England
Bugbrooke,NN7,Northamptonshire,England
Burton Latimer,NN15,Northamptonshire,England
Byfield,NN11,Northamptonshire,England
Caldecote,,Northamptonshire,England
Caldecott,LE16,Northamptonshire,England
Canons Ashby,NN11,Northamptonshire,England
Carlton Purlieus,,Northamptonshire,England
Castle Ashby,NN7,Northamptonshire,England
Castlethorpe,MK19,Northamptonshire,England
Cattle End,,Northamptonshire,England
Chacombe,OX17,Northamptonshire,England
Chadstone,,Northamptonshire,England
Chapel Brampton,NN6,Northamptonshire,England
Chapel End,,Northamptonshire,England
Charlton,OX17,Northamptonshire,England
Charwelton,NN11,Northamptonshire,England
Chelveston,NN9,Northamptonshire,England
Cherwell,OX17,Northamptonshire,England
Chipping Warden,OX17,Northamptonshire,England
Church Brampton,NN6,Northamptonshire,England
Church Charwelton,,Northamptonshire,England
Church Stowe,NN7,Northamptonshire,England
Clay Coton,NN6,Northamptonshire,England
Clipston,LE16,Northamptonshire,England
Clopton,NN14,Northamptonshire,England
Cogenhoe,NN7,Northamptonshire,England
Cold Ashby,NN6,Northamptonshire,England
Cold Higham,NN12,Northamptonshire,England
Collingtree,NN4,Northamptonshire,England
Collyweston,PE9,Northamptonshire,England
Corby,NN17,Northamptonshire,England
Cosgrove,MK19,Northamptonshire,England
Coton,NN6,Northamptonshire,England
Cotterstock,PE8,Northamptonshire,England
Cottesbrooke,NN6,Northamptonshire,England
Cottingham,LE16,Northamptonshire,England
Cotton End,,Northamptonshire,England
Courteenhall,NN7,Northamptonshire,England
Cranford St Andrew,NN14,Northamptonshire,England
Cranford St John,NN14,Northamptonshire,England
Creaton,NN6,Northamptonshire,England
Crick,NN6,Northamptonshire,England
Croughton,NN13,Northamptonshire,England
Crowfield,NN13,Northamptonshire,England
Culworth,OX17,Northamptonshire,England
Dallington,NN5,Northamptonshire,England
Dalscote,,Northamptonshire,England
Daventry,NN11,Northamptonshire,England
Deanshanger,MK19,Northamptonshire,England
Deene,NN17,Northamptonshire,England
Deenethorpe,NN17,Northamptonshire,England
Denford,NN14,Northamptonshire,England
Denton,NN7,Northamptonshire,England
Desborough,NN14,Northamptonshire,England
Dingley,LE16,Northamptonshire,England
Dodford,NN7,Northamptonshire,England
Draughton,NN6,Northamptonshire,England
Drayton,LE16,Northamptonshire,England
Duddington,PE9,Northamptonshire,England
Duncote,,Northamptonshire,England
Duston,NN5,Northamptonshire,England
Eaglethorpe,PE8,Northamptonshire,England
Earls Barton,NN6,Northamptonshire,England
East Carlton,LE16,Northamptonshire,England
East Farndon,LE16,Northamptonshire,England
East Haddon,NN6,Northamptonshire,England
Eastcote,NN12,Northamptonshire,England
Easton Maudit,NN29,Northamptonshire,England
Easton on the Hill,PE9,Northamptonshire,England
Ecton,NN6,Northamptonshire,England
Ecton Brook,,Northamptonshire,England
Edgcote,OX17,Northamptonshire,England
Elkington,,Northamptonshire,England
Evenley,NN13,Northamptonshire,England
Everdon,NN11,Northamptonshire,England
Eydon,NN11,Northamptonshire,England
Falcutt,,Northamptonshire,England
