,,Northumberland,England
Acklington,NE65,Northumberland,England
Acomb,NE46,Northumberland,England
Akeld,NE71,Northumberland,England
Allen,,Northumberland,England
Allendale Town,NE47,Northumberland,England
Allenheads,NE47,Northumberland,England
Allensford,DH8,Northumberland,England
Aln,,Northumberland,England
Alnham,NE65,Northumberland,England
Alnmouth,NE66,Northumberland,England
Alnwick,NE66,Northumberland,England
Alwinton,NE65,Northumberland,England
Amble,NE65,Northumberland,England
Ancroft,TD15,Northumberland,England
Ancroft Northmoor,,Northumberland,England
Anick,NE46,Northumberland,England
Apperley Dene,,Northumberland,England
Ashington,NE63,Northumberland,England
Aydon,NE45,Northumberland,England
Ayle,CA9,Northumberland,England
Bamburgh,NE69,Northumberland,England
Bank Top,,Northumberland,England
Bardon Mill,NE47,Northumberland,England
Bareless,,Northumberland,England
Barrasford,NE48,Northumberland,England
Barrow Burn,,Northumberland,England
Baybridge,,Northumberland,England
Beaconhill,,Northumberland,England
Beadnell,NE67,Northumberland,England
Beal,TD15,Northumberland,England
Beanley,NE66,Northumberland,England
Bearsbridge,NE47,Northumberland,England
Beauclerc,,Northumberland,England
Bebside,NE24,Northumberland,England
Beckton,,Northumberland,England
Bedlington,NE22,Northumberland,England
Bedlington Station,,Northumberland,England
Beldon Burn,,Northumberland,England
Belford,NE70,Northumberland,England
Bellingham,NE48,Northumberland,England
Belsay,NE20,Northumberland,England
Beltingham,,Northumberland,England
Berrington,TD15,Northumberland,England
Berwick Hill,NE20,Northumberland,England
Berwick-Upon-Tweed,TD15,Northumberland,England
Bilton,NE66,Northumberland,England
Bingfield,NE19,Northumberland,England
Birkshaw,,Northumberland,England
Birtley,NE48,Northumberland,England
Black Heddon,NE20,Northumberland,England
Blacka Burn,,Northumberland,England
Blanchland,DH8,Northumberland,England
Blenkinsopp Hall,,Northumberland,England
Blyth,NE24,Northumberland,England
Bolam,,Northumberland,England
Bolam West Houses,,Northumberland,England
Bolton,NE66,Northumberland,England
Bomarsund,NE62,Northumberland,England
Bothal,NE61,Northumberland,England
Boulmer,NE66,Northumberland,England
Bowmont Water,,Northumberland,England
Bowsden,TD15,Northumberland,England
Branch End,,Northumberland,England
Branton,NE66,Northumberland,England
Branxton,TD12,Northumberland,England
Breamish,,Northumberland,England
Bridge End,,Northumberland,England
Broomhaugh,NE44,Northumberland,England
Broomhill,NE65,Northumberland,England
Broomley,,Northumberland,England
Broxfield,,Northumberland,England
Burradon,NE23,Northumberland,England
Butteryhaugh,,Northumberland,England
Byerhope,,Northumberland,England
Byrness,NE19,Northumberland,England
Bywell,,Northumberland,England
Callaly,NE65,Northumberland,England
Cambo,NE61,Northumberland,England
Cambois,NE24,Northumberland,England
Canning Town,,Northumberland,England
Capheaton,NE19,Northumberland,England
Carr Sheild,,Northumberland,England
Carterway Heads,DH8,Northumberland,England
Cartington,NE65,Northumberland,England
Catcleugh,NE19,Northumberland,England
Catton,NE47,Northumberland,England
Causey Park Bridge,,Northumberland,England
Charlton,NE48,Northumberland,England
Chathill,NE67,Northumberland,England
Chatton,NE66,Northumberland,England
Chesterhope,,Northumberland,England
Chesterwood,,Northumberland,England
Cheswick,TD15,Northumberland,England
Cheswick Buildings,,Northumberland,England
Cheviot Hills,,Northumberland,England
Chillingham,NE66,Northumberland,England
Chollerford,,Northumberland,England
Chollerton,NE46,Northumberland,England
Choppington,,Northumberland,England
Clennell,,Northumberland,England
Clifton,NE61,Northumberland,England
Coalcleugh,NE47,Northumberland,England
Coanwood,,Northumberland,England
Collingwood,,Northumberland,England
Colpitts Grange,,Northumberland,England
Colwell,NE46,Northumberland,England
Cooklaw,,Northumberland,England
Coquet,,Northumberland,England
Coquet Island,,Northumberland,England
Corbridge,NE45,Northumberland,England
Cornhill on-Tweed,,Northumberland,England
Coupland,NE71,Northumberland,England
Cowpen,NE24,Northumberland,England
Cramlington,NE23,Northumberland,England
Craster,NE66,Northumberland,England
Cresswell,NE61,Northumberland,England
Crookham,TD12,Northumberland,England
Custom House,,Northumberland,England
Dalton,NE20,Northumberland,England
Darras Hall,NE20,Northumberland,England
Denwick,NE66,Northumberland,England
Derwent,,Northumberland,England
Detchant,NE70,Northumberland,England
Dilston,NE45,Northumberland,England
Diptonmill,,Northumberland,England
Dirt Pot,,Northumberland,England
Doddington,NE71,Northumberland,England
Downham,TD12,Northumberland,England
Dry Burn,,Northumberland,England
Duddo,TD15,Northumberland,England
Dukesfield,,Northumberland,England
Dunstan,NE66,Northumberland,England
Dye House,,Northumberland,England
Eachwick,,Northumberland,England
Eals,,Northumberland,England
"Eals, The",,Northumberland,England
East Allen,,Northumberland,England
East Cramlington,,Northumberland,England
East Ham,,Northumberland,England
East Hartford,NE23,Northumberland,England
East Horton,,Northumberland,England
East Law,,Northumberland,England
East Learmouth,TD12,Northumberland,England
