,,Oxfordshire,England
Abingdon,OX14,Oxfordshire,England
Adderbury,OX17,Oxfordshire,England
Adwell,OX9,Oxfordshire,England
Alkerton,OX15,Oxfordshire,England
Alvescot,OX18,Oxfordshire,England
Ambrosden,,Oxfordshire,England
Appleford,OX14,Oxfordshire,England
Appleton,OX13,Oxfordshire,England
Ardington,OX12,Oxfordshire,England
Ardington Wick,,Oxfordshire,England
Ardley,,Oxfordshire,England
Ascott Earl,,Oxfordshire,England
Ascott-under-Wychwood,OX7,Oxfordshire,England
Ashbury,SN6,Oxfordshire,England
Asthall,OX18,Oxfordshire,England
Asthall Leigh,,Oxfordshire,England
Aston,OX18,Oxfordshire,England
Aston Rowant,OX9,Oxfordshire,England
Aston Tirrold,OX11,Oxfordshire,England
Aston Upthorpe,OX11,Oxfordshire,England
Bainton,,Oxfordshire,England
Baldon Row,,Oxfordshire,England
Balscote,OX15,Oxfordshire,England
Bampton,OX18,Oxfordshire,England
Banbury,OX16,Oxfordshire,England
Barford St John,OX15,Oxfordshire,England
Barford St Michael,OX15,Oxfordshire,England
Barnard Gate,,Oxfordshire,England
Barton,,Oxfordshire,England
Barton Abbey,,Oxfordshire,England
Baulking,SN7,Oxfordshire,England
Bayworth,,Oxfordshire,England
Beckley,OX3,Oxfordshire,England
Begbroke,OX5,Oxfordshire,England
Belmont,,Oxfordshire,England
Benson,OX10,Oxfordshire,England
Berinsfield,OX10,Oxfordshire,England
Berrick Salome,OX10,Oxfordshire,England
Bessels Leigh,OX13,Oxfordshire,England
Bicester,OX6,Oxfordshire,England
Binfield Heath,RG9,Oxfordshire,England
Binsey,,Oxfordshire,England
Bix,RG9,Oxfordshire,England
Black Bourton,OX18,Oxfordshire,England
Blackditch,,Oxfordshire,England
Blackird Leys,,Oxfordshire,England
Blackthorn,,Oxfordshire,England
Bladon,OX20,Oxfordshire,England
Bledington,OX7,Oxfordshire,England
Blenheim,,Oxfordshire,England
Bletchingdon,OX5,Oxfordshire,England
Blewbury,OX11,Oxfordshire,England
Bloxham,OX15,Oxfordshire,England
Boars Hill,OX1,Oxfordshire,England
Bodicote,OX15,Oxfordshire,England
Botley,OX2,Oxfordshire,England
Bould,,Oxfordshire,England
Bourton,SN6,Oxfordshire,England
Bow,,Oxfordshire,England
Bridge End,,Oxfordshire,England
Brighthampton,,Oxfordshire,England
Brightwell Baldwin,OX9,Oxfordshire,England
Brightwell-cum-Sotwell,,Oxfordshire,England
Britwell Salome,OX9,Oxfordshire,England
Brize Norton,OX18,Oxfordshire,England
Broadplat,,Oxfordshire,England
Broadwell,GL56,Oxfordshire,England
Broadwell Brook,,Oxfordshire,England
Brookend,,Oxfordshire,England
Brookhampton,,Oxfordshire,England
Broughton,OX15,Oxfordshire,England
Broughton Poggs,GL7,Oxfordshire,England
Bruern Abbey,,Oxfordshire,England
Buckland,SN7,Oxfordshire,England
Buckland Marsh,,Oxfordshire,England
Bucknell,,Oxfordshire,England
Bunkers Hill,,Oxfordshire,England
Burcot,OX14,Oxfordshire,England
Burdrop,,Oxfordshire,England
Burford,OX18,Oxfordshire,England
Buscot,SN7,Oxfordshire,England
Bushey Ground,,Oxfordshire,England
Caldecott,,Oxfordshire,England
Calthorpe,,Oxfordshire,England
Camp Corner,,Oxfordshire,England
Campsfield,,Oxfordshire,England
Cane End,RG4,Oxfordshire,England
Carswell Marsh,SN7,Oxfordshire,England
Carterton,OX18,Oxfordshire,England
Cassington,,Oxfordshire,England
Catslip,,Oxfordshire,England
Caulcott,,Oxfordshire,England
Caversfield,,Oxfordshire,England
Chadlington,OX7,Oxfordshire,England
Chalford,,Oxfordshire,England
Chalgrove,OX44,Oxfordshire,England
Chalkhouse Green,,Oxfordshire,England
Charlbury,OX7,Oxfordshire,England
Charlton,OX12,Oxfordshire,England
Charlton-on-Otmoor,OX5,Oxfordshire,England
Charney Bassett,OX12,Oxfordshire,England
Charterville Allotments,,Oxfordshire,England
Chastleton,GL56,Oxfordshire,England
Chawley,OX2,Oxfordshire,England
Chazey Heath,,Oxfordshire,England
Checkendon,RG8,Oxfordshire,England
Cherwell,OX15,Oxfordshire,England
Chesterton,,Oxfordshire,England
Childrey,OX12,Oxfordshire,England
Chilson,OX7,Oxfordshire,England
Chiltern Hills,,Oxfordshire,England
Chilton,OX11,Oxfordshire,England
Chimney,OX18,Oxfordshire,England
Chimney-end,,Oxfordshire,England
Chinnor,OX9,Oxfordshire,England
Chipping Norton,OX7,Oxfordshire,England
Chislehampton,OX44,Oxfordshire,England
Cholsey,OX10,Oxfordshire,England
Christmas Common,OX9,Oxfordshire,England
Church End,,Oxfordshire,England
Church Enstone,OX7,Oxfordshire,England
Church Hanborough,,Oxfordshire,England
Churchill,OX7,Oxfordshire,England
Clanfield,OX18,Oxfordshire,England
Clare,,Oxfordshire,England
