,,Shropshire,England
Abbey Green,,Shropshire,England
Abcott,,Shropshire,England
Abdon,SY7,Shropshire,England
Ackleton,WV6,Shropshire,England
Acton,SY9,Shropshire,England
Acton Burnell,SY5,Shropshire,England
Acton Pigott,SY5,Shropshire,England
Acton Reynald,,Shropshire,England
Acton Round,WV16,Shropshire,England
Acton Scott,SY6,Shropshire,England
Adderley,TF9,Shropshire,England
Adeney,TF10,Shropshire,England
Admaston,TF5,Shropshire,England
Alberbury,SY5,Shropshire,England
Albrighton,SY4,Shropshire,England
Alcaston,SY6,Shropshire,England
Alderton,SY4,Shropshire,England
Aldon,,Shropshire,England
Ale Oak,,Shropshire,England
Alkington,SY13,Shropshire,England
All Stretton,SY6,Shropshire,England
Allscot,WV15,Shropshire,England
Allscott,,Shropshire,England
Alveley,WV15,Shropshire,England
Anchor,SY7,Shropshire,England
Angelbank,,Shropshire,England
Annscroft,SY5,Shropshire,England
Apley Forge,,Shropshire,England
Aqueduct,,Shropshire,England
Argoed,,Shropshire,England
Arleston,TF1,Shropshire,England
Arscott,,Shropshire,England
Ash Magna,SY13,Shropshire,England
Ash Parva,,Shropshire,England
Ashbrook,,Shropshire,England
Ashfield,,Shropshire,England
Ashfields,,Shropshire,England
Ashford Bowdler,SY8,Shropshire,England
Ashford Carbonell,,Shropshire,England
Asterley,SY5,Shropshire,England
Asterton,SY7,Shropshire,England
Astley,SY4,Shropshire,England
Astley Abbotts,WV16,Shropshire,England
Aston,SY4,Shropshire,England
Aston Botterell,WV16,Shropshire,England
Aston Eyre,WV16,Shropshire,England
Aston Munslow,SY7,Shropshire,England
Aston on Clun,SY7,Shropshire,England
Aston Pigott,,Shropshire,England
Aston Rogers,SY5,Shropshire,England
Aston Sq,,Shropshire,England
Atcham,SY4,Shropshire,England
Atterley,,Shropshire,England
Aylesford Brook,,Shropshire,England
Babbinswood,SY11,Shropshire,England
Bache,,Shropshire,England
Bache Mill,,Shropshire,England
Back Brook,,Shropshire,England
Badger,WV6,Shropshire,England
Bagginswood,,Shropshire,England
Bagley,SY12,Shropshire,England
Bagley Marsh,,Shropshire,England
Ball,SY10,Shropshire,England
Balmer,,Shropshire,England
Balmer Heath,,Shropshire,England
Bankshead,,Shropshire,England
Barkers Green,,Shropshire,England
Barnsley,,Shropshire,England
Barrow,TF12,Shropshire,England
Baschurch,SY4,Shropshire,England
Batchcott,,Shropshire,England
Battlefield,SY1,Shropshire,England
Bayston Hill,SY3,Shropshire,England
Beambridge,,Shropshire,England
Beckbury,TF11,Shropshire,England
Beckjay,,Shropshire,England
Bedstone,SY7,Shropshire,England
Belle Vue,,Shropshire,England
Benthall,TF12,Shropshire,England
Bentlawnt,,Shropshire,England
Beobridge,,Shropshire,England
Berrington,SY5,Shropshire,England
Berwick Wharf,,Shropshire,England
Besford,SY4,Shropshire,England
Betchcott,,Shropshire,England
Betton,SY5,Shropshire,England
Betton Strange,,Shropshire,England
