,,Somerset,England
Abbas Combe,BA8,Somerset,England
Abbots Leigh,,Somerset,England
Adsborough,TA2,Somerset,England
Adscombe,,Somerset,England
Aisholt,,Somerset,England
Alcombe,TA24,Somerset,England
Alder Row,,Somerset,England
Aley,,Somerset,England
Alford,BA7,Somerset,England
Alhampton,BA4,Somerset,England
Aller,TA10,Somerset,England
Allerford,TA24,Somerset,England
Allowenshay,,Somerset,England
Alston Sutton,,Somerset,England
Alstone,,Somerset,England
Alvington,,Somerset,England
Amesbury,,Somerset,England
Andersea,,Somerset,England
Andersfield,,Somerset,England
Angersleigh,TA3,Somerset,England
Ansford,BA7,Somerset,England
Appley,TA21,Somerset,England
Ash,TA12,Somerset,England
Ash Priors,TA4,Somerset,England
Ashbeer,,Somerset,England
Ashbrittle,TA21,Somerset,England
Ashcombe Park,,Somerset,England
Ashcott,TA7,Somerset,England
Ashcott Corner,,Somerset,England
Ashgrove,,Somerset,England
Ashill,TA19,Somerset,England
Ashington,BA22,Somerset,England
Ashton,,Somerset,England
Ashton Vale,,Somerset,England
Ashwell,,Somerset,England
Ashwick,BA3,Somerset,England
Asney,,Somerset,England
Athelney,TA7,Somerset,England
Atherstone,,Somerset,England
Avon,,Somerset,England
Avoncliff,,Somerset,England
Axbridge,BS26,Somerset,England
Axe,,Somerset,England
Babcary,TA11,Somerset,England
Backwell,,Somerset,England
Backwell Common,,Somerset,England
Backwell Green,,Somerset,England
Badger Street,,Somerset,England
Badgworth,BS26,Somerset,England
Bagley,,Somerset,England
Bagley Green,,Somerset,England
Bailbrook,,Somerset,England
Baltonsborough,BA6,Somerset,England
Bankland,,Somerset,England
Banwell,BS24,Somerset,England
Bare Ash,,Somerset,England
Barlake,,Somerset,England
Barle,,Somerset,England
Barr,,Somerset,England
Barrington,TA19,Somerset,England
Barrow,BA9,Somerset,England
Barrow Common,,Somerset,England
Barrow Gurney,,Somerset,England
Barrow Vale,,Somerset,England
Barton,,Somerset,England
Barton St David,TA11,Somerset,England
Barwick,BA22,Somerset,England
Bason Bridge,TA9,Somerset,England
Batch,,Somerset,England
Batcombe,BA4,Somerset,England
Bath,,Somerset,England
Bathampton,,Somerset,England
Bathealton,TA4,Somerset,England
Batheaston,,Somerset,England
Bathford,,Somerset,England
Bathpool,TA1,Somerset,England
Bathway,,Somerset,England
Bathwick,,Somerset,England
Battleton,TA22,Somerset,England
Bawdrip,TA7,Somerset,England
Bayford,BA9,Somerset,England
Beacon Hill,,Somerset,England
Beam Bridge,,Somerset,England
Beard Hill,,Somerset,England
Beardly Batch,,Somerset,England
Beckery,,Somerset,England
Beckington,BA3,Somerset,England
Bedlam,,Somerset,England
Beechen Cliff,,Somerset,England
Beer,,Somerset,England
Beer Crocombe,,Somerset,England
Beetham,,Somerset,England
Beggearn Huish,,Somerset,England
Belluton,,Somerset,England
Benter,,Somerset,England
Berhill,,Somerset,England
Berkley,BA11,Somerset,England
Berkley Down,,Somerset,England
Berkley Marsh,,Somerset,England
Berrow,TA8,Somerset,England
Bickenhall,TA3,Somerset,England
Bickham,,Somerset,England
Bicknoller,TA4,Somerset,England
Biddisham,BS26,Somerset,England
Bilbrook,TA24,Somerset,England
Bincombe,,Somerset,England
Bindon,,Somerset,England
Binegar,BA3,Somerset,England
Birchwood,,Somerset,England
Biscombe,,Somerset,England
Bishop Sutton,,Somerset,England
Bishops Lydeard,TA4,Somerset,England
Blackford,BA22,Somerset,England
Blackmoor,TA21,Somerset,England
Blackrock,,Somerset,England
Blackwater,,Somerset,England
Blagdon,,Somerset,England
Blagdon Hill,TA3,Somerset,England
Blagdon Lake,,Somerset,England
Blatchbridge,,Somerset,England
Bleadney,BA5,Somerset,England
Bleadon,BS24,Somerset,England
Blindmoor,,Somerset,England
Bloomfield,,Somerset,England
Blue Anchor,TA24,Somerset,England
Bodden,,Somerset,England
Bonson,,Somerset,England
Borough Post,,Somerset,England
Bossington,TA24,Somerset,England
Bourne,,Somerset,England
Bourton,,Somerset,England
Bowdens,,Somerset,England
Bower Ashton,,Somerset,England
Bower Hinton,TA12,Somerset,England
Bowlish,BA4,Somerset,England
Bradford-on-Tone,TA4,Somerset,England
Bradley Cross,,Somerset,England
Bradley Green,,Somerset,England
Bradney,,Somerset,England
Bramwell,TA10,Somerset,England
Brandish Street,,Somerset,England
Bratton,,Somerset,England
Bratton Seymour,BA9,Somerset,England
Breach,,Somerset,England
Brean,TA8,Somerset,England
Brean Down,,Somerset,England
Brent Knoll,TA9,Somerset,England
Bridgehampton,BA22,Somerset,England
Bridgetown,TA22,Somerset,England
Bridgwater,TA6,Somerset,England
Bridgwater and Taunton Canal,,Somerset,England
Brindham,,Somerset,England
Brinsea,,Somerset,England
Broadshard,,Somerset,England
Broadway,TA19,Somerset,England
Brockham End,,Somerset,England
Brockley,,Somerset,England
Brockwell,,Somerset,England
Brompton Ralph,TA4,Somerset,England
Brompton Regis,TA22,Somerset,England
Brookhampton,,Somerset,England
Broomfield,TA5,Somerset,England
Brue,,Somerset,England
Brushford,TA22,Somerset,England
Bruton,BA10,Somerset,England
Buckland Dinham,BA11,Somerset,England
Buckland Down,,Somerset,England
Buckland St Mary,TA20,Somerset,England
Budleigh,,Somerset,England
Bulls Green,,Somerset,England
Burcott,,Somerset,England
Burford,,Somerset,England
Burlinch,,Somerset,England
Burnett,,Somerset,England
Burnham-on-Sea,TA8,Somerset,England
Burnworthy,,Somerset,England
Burrington,,Somerset,England
Burrow,,Somerset,England
Burrowbridge,,Somerset,England
Burtle,TA7,Somerset,England
Burtle Hill,,Somerset,England
Burton,TA5,Somerset,England
Bury,TA22,Somerset,England
Buscott,,Somerset,England
Bussex,,Somerset,England
Butcombe,,Somerset,England
Butleigh,BA6,Somerset,England
Butleigh Wootton,BA6,Somerset,England
By Brook,,Somerset,England
Cad Green,,Somerset,England
Cale,,Somerset,England
Callow Hill,,Somerset,England
Cam,,Somerset,England
Cambridge Batch,,Somerset,England
Cameley,,Somerset,England
Camerton,BA3,Somerset,England
Cannington,TA5,Somerset,England
Canonsgrove,,Somerset,England
Capland,,Somerset,England
Capton,,Somerset,England
Carhampton,TA24,Somerset,England
Carlingcott,,Somerset,England
Cary,,Somerset,England
Cary Fitzpaine,,Somerset,England
Castle,,Somerset,England
Castle Cary,BA7,Somerset,England
Catcott,TA7,Somerset,England
Catsgore,,Somerset,England
Catsham,,Somerset,England
Chaffcombe,TA20,Somerset,England
Chalkway,,Somerset,England
Chantry,BA11,Somerset,England
Chapel Allerton,BS26,Somerset,England
Chapel Cleeve,,Somerset,England
Chapel Leigh,,Somerset,England
Chard,TA20,Somerset,England
Chard Reservoir,,Somerset,England
Chardleigh Green,,Somerset,England
Charlcombe,,Somerset,England
Charlinch,TA5,Somerset,England
Charlton,BA3,Somerset,England
Charlton Adam,TA11,Somerset,England
Charlton Horethorne,DT9,Somerset,England
Charlton Mackrell,TA11,Somerset,England
Charlton Musgrove,BA9,Somerset,England
Charterhouse,,Somerset,England
Cheddar,BS27,Somerset,England
Cheddar Reservoir,,Somerset,England
Cheddon Fitzpaine,TA2,Somerset,England
Chedzoy,TA7,Somerset,England
Chelmsine,,Somerset,England
Chelston,,Somerset,England
Chelston Heathfield,,Somerset,England
Chelvey,,Somerset,England
Chelvey Batch,,Somerset,England
Chelwood,,Somerset,England
Chelynch,,Somerset,England
Chesterblade,BA4,Somerset,England
Chew,,Somerset,England
Chew Magna,,Somerset,England
Chew Stoke,,Somerset,England
Chew Valley Lake,,Somerset,England
Chewton Keynsham,,Somerset,England
Chewton Mendip,BA3,Somerset,England
Chidgley,,Somerset,England
Chilcombe,,Somerset,England
Chilcompton,BA3,Somerset,England
Chillington,TA19,Somerset,England
Chilson Common,,Somerset,England
Chilthorne Domer,BA22,Somerset,England
Chilton Cantelo,BA22,Somerset,England
Chilton Polden,TA7,Somerset,England
Chilton Trinity,TA5,Somerset,England
Chipley,,Somerset,England
Chipstable,TA4,Somerset,England
Chiselborough,TA14,Somerset,England
Cholwell,,Somerset,England
Christon,BS26,Somerset,England
Churchill,BS25,Somerset,England
Churchill Green,,Somerset,England
Churchinford,,Somerset,England
Churchstanton,TA3,Somerset,England
Churchtown,,Somerset,England
Clandown,BA3,Somerset,England
Clanville,,Somerset,England
