,,Staffordshire,England
Abbey Green,,Staffordshire,England
Abbey Hulton,,Staffordshire,England
Abbots Bromley,WS15,Staffordshire,England
Acres Nook,,Staffordshire,England
Acton,,Staffordshire,England
Acton Trussell,ST18,Staffordshire,England
Adbaston,ST20,Staffordshire,England
Adderley Green,,Staffordshire,England
Admaston,WS15,Staffordshire,England
Alder Moor,,Staffordshire,England
Aldershawe,,Staffordshire,England
Aldridge,WS9,Staffordshire,England
Allgreave,SK11,Staffordshire,England
Allimore Green,ST18,Staffordshire,England
Almington,TF9,Staffordshire,England
Alrewas,DE13,Staffordshire,England
Alsagers Bank,ST7,Staffordshire,England
Alstonefield,DE6,Staffordshire,England
Alton,ST10,Staffordshire,England
Alvecote,B79,Staffordshire,England
Amerton,,Staffordshire,England
Amington,B77,Staffordshire,England
Anslow,DE13,Staffordshire,England
Anslow Gate,DE13,Staffordshire,England
Apedale,,Staffordshire,England
Apeton,,Staffordshire,England
Armitage,WS15,Staffordshire,England
Armsdale,,Staffordshire,England
Armshead,,Staffordshire,England
Ash Bank,,Staffordshire,England
Ashley,TF9,Staffordshire,England
Ashley Dale,,Staffordshire,England
Ashley Heath,,Staffordshire,England
Ashmore Lake,,Staffordshire,England
Ashmore Park,,Staffordshire,England
Ashwood,,Staffordshire,England
Aspley,,Staffordshire,England
Aston,TF9,Staffordshire,England
Aston-By-Stone,ST15,Staffordshire,England
Audley,ST7,Staffordshire,England
Back Brook,,Staffordshire,England
Baddeley Edge,,Staffordshire,England
Baddeley Green,,Staffordshire,England
Bagnall,ST9,Staffordshire,England
Balance Hill,,Staffordshire,England
Ball Green,,Staffordshire,England
Ball Haye Green,ST13,Staffordshire,England
Balterley,CW2,Staffordshire,England
Balterley Green,,Staffordshire,England
Bank Top,,Staffordshire,England
Bar Hill,,Staffordshire,England
Barlaston,ST12,Staffordshire,England
Barnfields,,Staffordshire,England
Barr Common,,Staffordshire,England
Barton Gate,,Staffordshire,England
Barton Green,,Staffordshire,England
Barton Turn,,Staffordshire,England
Barton-under-Needwood,DE13,Staffordshire,England
Basford,,Staffordshire,England
Basford Green,ST13,Staffordshire,England
Baswich,,Staffordshire,England
Beaconside,,Staffordshire,England
Beam Hill,,Staffordshire,England
Beamhurst,ST14,Staffordshire,England
Beamhurst Lane,,Staffordshire,England
Bearstone,,Staffordshire,England
Beasley,,Staffordshire,England
Bednall,ST17,Staffordshire,England
Bednall Head,,Staffordshire,England
Beech,ST4,Staffordshire,England
Beechcliff,,Staffordshire,England
Beffcote,,Staffordshire,England
Belgrave,,Staffordshire,England
Bentilee,,Staffordshire,England
Bentley,,Staffordshire,England
Berry Hill,,Staffordshire,England
Betley,CW3,Staffordshire,England
Bickford,ST19,Staffordshire,England
Biddulph,ST8,Staffordshire,England
Biddulph Moor,ST8,Staffordshire,England
Bignall End,,Staffordshire,England
Bilbrook,WV8,Staffordshire,England
Billington,,Staffordshire,England
Bilston,,Staffordshire,England
Birch Cross,,Staffordshire,England
Birchall,,Staffordshire,England
Birchendale,,Staffordshire,England
Birches Head,,Staffordshire,England
Birchills,,Staffordshire,England
Birmingham and Fazeley Canal,,Staffordshire,England
Bishton,,Staffordshire,England
Bitterscote,,Staffordshire,England
Black Brook,,Staffordshire,England
Blackbrook,ST5,Staffordshire,England
Blackfords,,Staffordshire,England
Blackshaw Moor,,Staffordshire,England
Blakeley,,Staffordshire,England
Blakeley Lane,,Staffordshire,England
Blakenall Heath,,Staffordshire,England
Blakenhall,,Staffordshire,England
Blank Bank,,Staffordshire,England
Blithbury,WS15,Staffordshire,England
Blithe,,Staffordshire,England
Blithfield Reservoir,,Staffordshire,England
Blore,DE6,Staffordshire,England
Bloreheath,,Staffordshire,England
Bloxwich,WS3,Staffordshire,England
Blundies,,Staffordshire,England
Blurton,ST3,Staffordshire,England
Blymhill,TF11,Staffordshire,England
Blymhill Lawns,,Staffordshire,England
Blythe Bridge,ST11,Staffordshire,England
Blythe Marsh,ST11,Staffordshire,England
Bolehall,,Staffordshire,England
Boley Park,,Staffordshire,England
Bond End,,Staffordshire,England
Bonehill,B78,Staffordshire,England
Boon Hill,,Staffordshire,England
Booth,,Staffordshire,England
Boothen,,Staffordshire,England
Borough Park,,Staffordshire,England
Boscomoor,,Staffordshire,England
Bosley,SK11,Staffordshire,England
Bottom House,,Staffordshire,England
Boundary,,Staffordshire,England
Bourne Brook,,Staffordshire,England
Bourne Vale,,Staffordshire,England
Bowers,,Staffordshire,England
Braddocks Hay,,Staffordshire,England
Bradeley,,Staffordshire,England
Bradley,DE6,Staffordshire,England
Bradley in the Moors,ST10,Staffordshire,England
Bradmore,,Staffordshire,England
Bradnop,ST13,Staffordshire,England
Bradshaw,,Staffordshire,England
Bradwell,,Staffordshire,England
"Brampton, The",,Staffordshire,England
Bramshall,ST14,Staffordshire,England
Branston,DE14,Staffordshire,England
Brazenhill,,Staffordshire,England
Brereton,WS15,Staffordshire,England
Brereton Cross,,Staffordshire,England
Breretonhill,,Staffordshire,England
Brewood,ST19,Staffordshire,England
Bridgetown,,Staffordshire,England
Brineton,TF11,Staffordshire,England
Brinsford,WV10,Staffordshire,England
Broad Heath,,Staffordshire,England
Broad Meadow,,Staffordshire,England
Brockton,TF11,Staffordshire,England
Brocton,ST17,Staffordshire,England
Bromley Hall,,Staffordshire,England
Bromley Wood,,Staffordshire,England
Bromstead Common,,Staffordshire,England
Bromstead Heath,TF10,Staffordshire,England
Brookhouses,,Staffordshire,England
Broomyshaw,,Staffordshire,England
Broughton,,Staffordshire,England
Brown Edge,ST6,Staffordshire,England
Brown Lees,ST8,Staffordshire,England
Brownhills,WS9,Staffordshire,England
Brund,SK17,Staffordshire,England
Bucknall,,Staffordshire,England
Buddileigh,,Staffordshire,England
Burntwood,WS7,Staffordshire,England
Burntwood Green,WS7,Staffordshire,England
Burslem,ST6,Staffordshire,England
Burston,ST18,Staffordshire,England
Burton Manor,,Staffordshire,England
Burton upon Trent,DE14,Staffordshire,England
Burybank,,Staffordshire,England
Bushbury,WV10,Staffordshire,England
Butt Lane,ST7,Staffordshire,England
Butter Bank,,Staffordshire,England
Butters Green,ST7,Staffordshire,England
Butterton,ST13,Staffordshire,England
Caldmore,,Staffordshire,England
Caldon Canal,,Staffordshire,England
Calf Heath,,Staffordshire,England
Callingwood,,Staffordshire,England
Calton,ST10,Staffordshire,England
Cannock,WS11,Staffordshire,England
Cannock Wood,WS15,Staffordshire,England
Castlecroft,,Staffordshire,England
Castletown,,Staffordshire,England
Cats Edge,,Staffordshire,England
Catshill,,Staffordshire,England
Cauldon,ST10,Staffordshire,England
Cauldon Lowe,,Staffordshire,England
Caverswall,ST11,Staffordshire,England
Cellarhead,ST9,Staffordshire,England
Chadsmoor,,Staffordshire,England
Chapel Chorlton,ST5,Staffordshire,England
Charnes,,Staffordshire,England
Chase Terrace,WS7,Staffordshire,England
Chasetown,WS7,Staffordshire,England
Chatcull,ST21,Staffordshire,England
Chatterley,,Staffordshire,England
Cheadle,ST10,Staffordshire,England
Cheadle Park,,Staffordshire,England
Chebsey,ST21,Staffordshire,England
Checkley,ST10,Staffordshire,England
Cheddleton,ST11,Staffordshire,England
Cheddleton Heath,,Staffordshire,England
Chell Heath,,Staffordshire,England
Cheslyn Hay,WS6,Staffordshire,England
Chestall,,Staffordshire,England
Chesterfield,WS14,Staffordshire,England
Chesterton,ST5,Staffordshire,England
Chorley,WS13,Staffordshire,England
Church Eaton,ST20,Staffordshire,England
Church Eaton Brook,,Staffordshire,England
Church Hill,,Staffordshire,England
Church Leigh,ST10,Staffordshire,England
Churchbridge,,Staffordshire,England
Churnet,,Staffordshire,England
Churnet Grange,,Staffordshire,England
Claregate,,Staffordshire,England
Clay Mills,,Staffordshire,England
Clayhanger,,Staffordshire,England
Clayton,ST5,Staffordshire,England
Clifton Campville,B79,Staffordshire,England
Cloud Side,,Staffordshire,England
Clough Hall,,Staffordshire,England
Coal Pool,WS3,Staffordshire,England
Coalpit Hill,ST7,Staffordshire,England
Cobridge,,Staffordshire,England
Codsall,WV8,Staffordshire,England
Cold Well,,Staffordshire,England
Coldeaton,,Staffordshire,England
Coldham,,Staffordshire,England
Coldmeece,,Staffordshire,England
Colshaw,,Staffordshire,England
Colton,WS15,Staffordshire,England
Colton Hills,,Staffordshire,England
Colwich,ST18,Staffordshire,England
Comberford,B79,Staffordshire,England
Combridge,,Staffordshire,England
Compton,,Staffordshire,England
Congreve,,Staffordshire,England
Consall,ST9,Staffordshire,England
Cookshill,ST3,Staffordshire,England
Coombesdale,,Staffordshire,England
Copmere End,,Staffordshire,England
Coppenhall,ST18,Staffordshire,England
Cornhill,,Staffordshire,England
Cotes,ST15,Staffordshire,England
Cotes Heath,,Staffordshire,England
Coton,B79,Staffordshire,England
Coton Clanford,ST18,Staffordshire,England
