,,Suffolk,England
Acton,CO10,Suffolk,England
Acton Place,,Suffolk,England
Akenham,IP1,Suffolk,England
Alde,,Suffolk,England
Aldeburgh,IP15,Suffolk,England
Alderton,IP12,Suffolk,England
Aldham,CO6,Suffolk,England
Aldringham,IP16,Suffolk,England
All Saints South Elmham,IP19,Suffolk,England
Allwood Green,,Suffolk,England
Alpheton,CO10,Suffolk,England
Alton Water Reservoir,,Suffolk,England
Ampton,IP31,Suffolk,England
Annis Hill,,Suffolk,England
Apsey Green,,Suffolk,England
Ash Street,,Suffolk,England
Ashbocking,IP6,Suffolk,England
Ashfield,IP14,Suffolk,England
Ashfield Cum Thorpe,,Suffolk,England
Ashfield Green,IP21,Suffolk,England
Aspall,IP14,Suffolk,England
Assington,CO10,Suffolk,England
Assington Green,,Suffolk,England
Athelington,IP21,Suffolk,England
Attleton Green,,Suffolk,England
Audley End,,Suffolk,England
Babel Green,,Suffolk,England
Back Street,,Suffolk,England
Bacton,IP14,Suffolk,England
Bacton Green,,Suffolk,England
Badwell Ash,IP31,Suffolk,England
Badwell Green,,Suffolk,England
Bardwell,IP31,Suffolk,England
Barham,IP6,Suffolk,England
Barking,IP6,Suffolk,England
Barking Tye,,Suffolk,England
Barnaby Green,,Suffolk,England
Barnardiston,CB9,Suffolk,England
Barnby,NR34,Suffolk,England
Barnham,IP24,Suffolk,England
Barningham,IP31,Suffolk,England
Barrow,IP29,Suffolk,England
Barsham,NR34,Suffolk,England
Barton Mills,IP28,Suffolk,England
Base Green,,Suffolk,England
Battisford,IP14,Suffolk,England
Battisford Tye,IP14,Suffolk,England
Battlesea Green,,Suffolk,England
Battlies Green,,Suffolk,England
Bawdsey,IP12,Suffolk,England
Baylham,IP6,Suffolk,England
Beacon Hill,,Suffolk,England
Beccles,NR34,Suffolk,England
Beck Row,IP28,Suffolk,England
Bedfield,IP13,Suffolk,England
Bedingfield,IP23,Suffolk,England
Belstead,IP2,Suffolk,England
Benacre,NR34,Suffolk,England
Benhall Green,,Suffolk,England
Benhall Street,,Suffolk,England
Beyton,IP30,Suffolk,England
Beyton Green,IP30,Suffolk,England
Bildeston,IP7,Suffolk,England
Billingford,IP21,Suffolk,England
Bird Street,,Suffolk,England
Birds End,,Suffolk,England
Black Street,,Suffolk,England
Blackthorpe,IP30,Suffolk,England
Blaxhall,IP12,Suffolk,England
Bleach Green,,Suffolk,England
Blundeston,NR32,Suffolk,England
Blyford,IP19,Suffolk,England
Blyth,,Suffolk,England
Blythburgh,IP19,Suffolk,England
Bobby Hill,,Suffolk,England
Boot Street,,Suffolk,England
Borley Green,,Suffolk,England
Botesdale,IP22,Suffolk,England
Bowbeck,,Suffolk,England
Bower House Tye,,Suffolk,England
Boxford,CO10,Suffolk,England
Boxted,IP29,Suffolk,England
Boyden End,,Suffolk,England
Boyton,IP12,Suffolk,England
Boyton End,,Suffolk,England
Bradfield Combust,IP30,Suffolk,England
Bradfield St Clare,IP30,Suffolk,England
Bradfield St George,IP30,Suffolk,England
Braiseworth,IP23,Suffolk,England
Bramfield,IP19,Suffolk,England
Bramford,IP8,Suffolk,England
Brampton,NR34,Suffolk,England
Brampton Street,,Suffolk,England
Brandeston,IP13,Suffolk,England
Brandon,IP27,Suffolk,England
Brantham,CO11,Suffolk,England
Bredfield,IP13,Suffolk,England
Brent Eleigh,CO10,Suffolk,England
Brett,,Suffolk,England
Brettenham,IP24,Suffolk,England
Bridge Street,CO10,Suffolk,England
Brightwell,IP10,Suffolk,England
Broad Green,CO6,Suffolk,England
Broad Street,,Suffolk,England
Broadgrass Green,,Suffolk,England
Broadway,IP19,Suffolk,England
Brockford Green,,Suffolk,England
Brockford Street,IP14,Suffolk,England
Brockley,,Suffolk,England
Brockley Green,IP29,Suffolk,England
Broke Hall,,Suffolk,England
Brome,IP23,Suffolk,England
Brome Street,IP23,Suffolk,England
Bromeswell,IP12,Suffolk,England
Brook Green,,Suffolk,England
Brook Street,CO10,Suffolk,England
Broom Hill,,Suffolk,England
Brown Street,,Suffolk,England
Browston Green,,Suffolk,England
Bruisyard,IP13,Suffolk,England
Brundish,IP13,Suffolk,England
Brundish Street,IP13,Suffolk,England
Brundon,,Suffolk,England
Bucklesham,IP10,Suffolk,England
Bures Green,CO8,Suffolk,England
Burgate,IP22,Suffolk,England
Burgh,IP13,Suffolk,England
Burstall,IP8,Suffolk,England
Burstallhill,,Suffolk,England
Burthorpe,,Suffolk,England
Bury St.Edmunds,,Suffolk,England
Bush Green,IP21,Suffolk,England
Butley,IP12,Suffolk,England
Butley High Corner,,Suffolk,England
Butley Low Corner,,Suffolk,England
Button Haugh Green,,Suffolk,England
Buxhall,IP14,Suffolk,England
Buxhall Fen Street,,Suffolk,England
Calais Street,,Suffolk,England
Calford Green,,Suffolk,England
California,,Suffolk,England
Camps Heath,NR32,Suffolk,England
Candle Street,,Suffolk,England
Capel Green,,Suffolk,England
Capel St Andrew,IP12,Suffolk,England
Capel St Mary,IP9,Suffolk,England
Carlton,CB8,Suffolk,England
Carlton Colville,NR33,Suffolk,England
Castle Hill,IP1,Suffolk,England
Cattawade,CO11,Suffolk,England
Cavendish,CO10,Suffolk,England
Cavenham,IP28,Suffolk,England
Chantry,IP2,Suffolk,England
Charles Tye,IP14,Suffolk,England
Charsfield,IP13,Suffolk,England
Chattisham,IP8,Suffolk,England
Chedburgh,IP29,Suffolk,England
Chediston,IP19,Suffolk,England
Chediston Green,,Suffolk,England
Chelmondiston,IP9,Suffolk,England
Chelsworth,IP7,Suffolk,England
Chelsworth Common,,Suffolk,England
Chevington,IP29,Suffolk,England
Chillesford,IP12,Suffolk,England
Chilton,,Suffolk,England
Chilton Street,CO10,Suffolk,England
Chimney Street,,Suffolk,England
Chippenhall Green,,Suffolk,England
Church End,,Suffolk,England
Clare,CO10,Suffolk,England
Clay Common,NR34,Suffolk,England
Claydon,IP6,Suffolk,England
Claypits,,Suffolk,England
Clopton Corner,,Suffolk,England
Clopton Green,CB8,Suffolk,England
Cock & End,,Suffolk,England
Cock Street,,Suffolk,England
Cockfield,IP30,Suffolk,England
Cocks Green,,Suffolk,England
Coddenham,IP6,Suffolk,England
Coddenham Green,,Suffolk,England
Colchester Green,,Suffolk,England
Coldfair Green,IP16,Suffolk,England
Coles Green,,Suffolk,England
Colton,,Suffolk,England
Combs,IP14,Suffolk,England
Combs Ford,IP14,Suffolk,England
"Common, The",,Suffolk,England
Coney Weston,IP31,Suffolk,England
Copdock,IP8,Suffolk,England
Cornard Tye,,Suffolk,England
Corton,NR32,Suffolk,England
Cotton,IP14,Suffolk,England
Cove Bottom,,Suffolk,England
Covehithe,NR34,Suffolk,England
Cow Green,,Suffolk,England
Cowlinge,CB8,Suffolk,England
Crackthorn Corner,,Suffolk,England
Cranley,,Suffolk,England
Cranmer Green,IP31,Suffolk,England
Cransford,IP13,Suffolk,England
Cratfield,IP19,Suffolk,England
Creeting Bottoms,,Suffolk,England
Creeting St Mary,IP6,Suffolk,England
Cretingham,IP13,Suffolk,England
Cross Green,IP30,Suffolk,England
Cross Street,IP21,Suffolk,England
Crowfield,IP6,Suffolk,England
Crown Corner,,Suffolk,England
Crownland,,Suffolk,England
Cuckoo Green,,Suffolk,England
Cuckoo Tye,,Suffolk,England
Culford,IP28,Suffolk,England
Culfordheath,,Suffolk,England
Culpho,IP6,Suffolk,England
Curlew Green,,Suffolk,England
Cut-off Channel,,Suffolk,England
Dagworth,,Suffolk,England
Daisy Green,,Suffolk,England
Dalham,CB8,Suffolk,England
Dallinghoo,IP13,Suffolk,England
Dandy Corner,,Suffolk,England
Darmsden,,Suffolk,England
Darsham,IP17,Suffolk,England
Deben,,Suffolk,England
Debenham,IP14,Suffolk,England
Denham,IP21,Suffolk,England
Denham Corner,,Suffolk,England
Denham End,,Suffolk,England
Dennington,IP13,Suffolk,England
Dennington Corner,,Suffolk,England
Dennington Hall,,Suffolk,England
Denston,CB8,Suffolk,England
Depden,IP29,Suffolk,England
Depden Green,,Suffolk,England
Ditchingham,NR35,Suffolk,England
Dorking Tye,,Suffolk,England
Drakestone Green,,Suffolk,England
Drinkstone,IP30,Suffolk,England
Drinkstone Green,IP30,Suffolk,England
Dublin,,Suffolk,England
Duck Corner,,Suffolk,England
Dunstall Green,CB8,Suffolk,England
Dunwich,IP17,Suffolk,England
Dunwich River,,Suffolk,England
Earl Soham,IP13,Suffolk,England
Earl Stoneham,,Suffolk,England
Earsham Street,,Suffolk,England
East Barton,,Suffolk,England
East Bergholt,CO7,Suffolk,England
East End,CO7,Suffolk,England
East Green,,Suffolk,England
Eastbridge,,Suffolk,England
Easton,IP13,Suffolk,England
Edwardstone,CO10,Suffolk,England
Ellough,NR34,Suffolk,England
Elmsett,IP7,Suffolk,England
Elmswell,IP30,Suffolk,England
Elveden,IP24,Suffolk,England
Eriswell,IP28,Suffolk,England
Erwarton,IP9,Suffolk,England
Euston,IP24,Suffolk,England
Exning,CB8,Suffolk,England
Eye,IP23,Suffolk,England
Eyke,IP12,Suffolk,England
Fakenham Magna,,Suffolk,England
Falkenham,IP10,Suffolk,England
Falkenham Sink,,Suffolk,England
Farley Green,,Suffolk,England
Farnham,IP17,Suffolk,England
Felixstowe,IP11,Suffolk,England
Felixstowe Ferry,,Suffolk,England
Felsham,IP30,Suffolk,England
Fen Street,IP22,Suffolk,England
Fenstead End,,Suffolk,England
Fern Hill,,Suffolk,England
Fingal Street,IP13,Suffolk,England
Finningham,IP14,Suffolk,England
Flempton,IP28,Suffolk,England
Flixton,NR35,Suffolk,England
Flowton,IP8,Suffolk,England
Foals Green,,Suffolk,England
