,,Tyne and Wear,England
Annitsford,,Tyne and Wear,England
Backworth,NE23,Tyne and Wear,England
Battle Hill,NE28,Tyne and Wear,England
Benwell,,Tyne and Wear,England
Biddick Hall,,Tyne and Wear,England
Billy Mill,,Tyne and Wear,England
Black Callerton,NE5,Tyne and Wear,England
Blakelaw,NE4,Tyne and Wear,England
Boldon Colliery,,Tyne and Wear,England
Brenkley,NE13,Tyne and Wear,England
Brunswick Village,,Tyne and Wear,England
Burradon,NE23,Tyne and Wear,England
Byker,NE6,Tyne and Wear,England
Callerton,,Tyne and Wear,England
Callerton Lane End,NE5,Tyne and Wear,England
Camperdown,NE23,Tyne and Wear,England
Chirton,,Tyne and Wear,England
Cleadon,SR6,Tyne and Wear,England
Cleadon Park,,Tyne and Wear,England
Coxlodge,,Tyne and Wear,England
Cullercoats,NE30,Tyne and Wear,England
Denton Burn,,Tyne and Wear,England
Dinnington,NE13,Tyne and Wear,England
Dudley,NE23,Tyne and Wear,England
Earsdon,NE25,Tyne and Wear,England
East Boldon,NE36,Tyne and Wear,England
East Denton,,Tyne and Wear,England
East Holywell,,Tyne and Wear,England
Fawdon,NE3,Tyne and Wear,England
Fellgate,NE32,Tyne and Wear,England
Fenham,NE4,Tyne and Wear,England
Fordley,,Tyne and Wear,England
Forest Hall,NE12,Tyne and Wear,England
Gosforth,NE3,Tyne and Wear,England
Harton,NE34,Tyne and Wear,England
Hazlerigg,NE13,Tyne and Wear,England
Heaton,NE2,Tyne and Wear,England
Hebburn,NE31,Tyne and Wear,England
Hebburn Colliery,,Tyne and Wear,England
Hebburn New Town,,Tyne and Wear,England
Hedworth,,Tyne and Wear,England
High Shields,NE33,Tyne and Wear,England
Holy Cross,,Tyne and Wear,England
Horsley Hill,NE34,Tyne and Wear,England
Howdon,,Tyne and Wear,England
Howdon Pans,,Tyne and Wear,England
Jarrow,NE32,Tyne and Wear,England
Jesmond,NE2,Tyne and Wear,England
Kenton,NE3,Tyne and Wear,England
Kenton Bankfoot,,Tyne and Wear,England
Kenton Bar,,Tyne and Wear,England
Killingworth,NE12,Tyne and Wear,England
Killingworth Moor,,Tyne and Wear,England
Killingworth Village,,Tyne and Wear,England
Kingston Park,NE3,Tyne and Wear,England
Longbenton,NE7,Tyne and Wear,England
Marden,NE30,Tyne and Wear,England
Marsden,NE34,Tyne and Wear,England
Mason,,Tyne and Wear,England
Mill Dam,,Tyne and Wear,England
Monkseaton,NE25,Tyne and Wear,England
Monkton,NE32,Tyne and Wear,England
Murton,,Tyne and Wear,England
New Town,,Tyne and Wear,England
New York,NE27,Tyne and Wear,England
Newbiggin Hall Estate,,Tyne and Wear,England
Newburn,NE15,Tyne and Wear,England
Newcastle upon Tyne,NE1,Tyne and Wear,England
North Shields,NE30,Tyne and Wear,England
North Walbottle,,Tyne and Wear,England
Palmersville,,Tyne and Wear,England
Percy Main,,Tyne and Wear,England
Preston,NE30,Tyne and Wear,England
Preston Grange,,Tyne and Wear,England
Primrose,,Tyne and Wear,England
Rosehill,,Tyne and Wear,England
Scotswood,,Tyne and Wear,England
Seaton Burn,NE13,Tyne and Wear,England
Shiremoor,NE27,Tyne and Wear,England
Simonside,NE34,Tyne and Wear,England
South Gosforth,,Tyne and Wear,England
South Shields,NE33,Tyne and Wear,England
Spital Tongues,NE2,Tyne and Wear,England
Sunderland,DH4,Tyne and Wear,England
The Lawe,,Tyne and Wear,England
Throckley,NE15,Tyne and Wear,England
Tyne Dock,,Tyne and Wear,England
Tynemouth,NE30,Tyne and Wear,England
Walbottle,,Tyne and Wear,England
Walker,NE6,Tyne and Wear,England
Wallsend,NE28,Tyne and Wear,England
West Allotment,,Tyne and Wear,England
West Boldon,NE36,Tyne and Wear,England
West Chirton,,Tyne and Wear,England
West Denton,,Tyne and Wear,England
West Harton,,Tyne and Wear,England
West Holywell,,Tyne and Wear,England
West Jesmond,,Tyne and Wear,England
West Monkseaton,,Tyne and Wear,England
West Moor,,Tyne and Wear,England
West Park,,Tyne and Wear,England
Westerhope,,Tyne and Wear,England
Westoe,,Tyne and Wear,England
Whitburn,SR6,Tyne and Wear,England
Whitburn Colliery,,Tyne and Wear,England
Whiteleas,,Tyne and Wear,England
Whitley Bay,NE26,Tyne and Wear,England
Whitley Sands,,Tyne and Wear,England
Wide Open,NE13,Tyne and Wear,England
Willington,NE28,Tyne and Wear,England
Willington Quay,,Tyne and Wear,England
Woolsington,,Tyne and Wear,England
