,,Warwickshire,England
Admington,CV36,Warwickshire,England
Ailstone,,Warwickshire,England
Alcester,B49,Warwickshire,England
Alderminster,CV37,Warwickshire,England
Allen End,,Warwickshire,England
Alne,,Warwickshire,England
Alne End,,Warwickshire,England
Alne Hills,,Warwickshire,England
Alveston,CV37,Warwickshire,England
Alveston Hill,,Warwickshire,England
Anker,,Warwickshire,England
Ansley,CV10,Warwickshire,England
Ansley Common,,Warwickshire,England
Ansty,CV7,Warwickshire,England
Appleby Parva,,Warwickshire,England
Ardens Grafton,B49,Warwickshire,England
Arlescote,OX17,Warwickshire,England
Armscote,CV37,Warwickshire,England
Arrow,B49,Warwickshire,England
Ascott,CV36,Warwickshire,England
Ash Green,CV7,Warwickshire,England
Ashorne,CV35,Warwickshire,England
Ashow,CV8,Warwickshire,England
Astley,CV10,Warwickshire,England
Aston Cantlow,B95,Warwickshire,England
Atherstone,CV9,Warwickshire,England
Atherstone on Stour,CV37,Warwickshire,England
Attleborough,CV11,Warwickshire,England
Austrey,,Warwickshire,England
Avon,,Warwickshire,England
Avon Dassett,CV33,Warwickshire,England
Baddesley Clinton,,Warwickshire,England
Baddesley Ensor,CV9,Warwickshire,England
Baginton,CV8,Warwickshire,England
Barcheston,CV36,Warwickshire,England
Barford,CV35,Warwickshire,England
Barnacle,CV7,Warwickshire,England
Barnmoor Green,,Warwickshire,England
Barton,B50,Warwickshire,England
Barton-on-the-Heath,GL56,Warwickshire,England
Bascote,CV23,Warwickshire,England
Bascote Heath,,Warwickshire,England
Baxterley,CV9,Warwickshire,England
Bearley,CV37,Warwickshire,England
Bearley Cross,,Warwickshire,England
Beaudesert,B95,Warwickshire,England
Beausale,CV35,Warwickshire,England
Bedworth,CV12,Warwickshire,England
Bedworth Heath,,Warwickshire,England
Bedworth Woodlands,,Warwickshire,England
Bentley,,Warwickshire,England
Bentley Common,,Warwickshire,England
Bermuda,,Warwickshire,England
Bickmarsh,,Warwickshire,England
Bidford-on-Avon,B50,Warwickshire,England
Billesley,B49,Warwickshire,England
Bilton,CV22,Warwickshire,England
Binley Woods,,Warwickshire,England
Binton,CV37,Warwickshire,England
Birchley Heath,,Warwickshire,England
Birchmoor,,Warwickshire,England
Birdingbury,CV23,Warwickshire,England
Bishopton,,Warwickshire,England
Black Bank,,Warwickshire,England
Blackdown,,Warwickshire,England
Blackwell,CV36,Warwickshire,England
Blyth End,,Warwickshire,England
Bodymoor Heath,,Warwickshire,England
Botts Green,,Warwickshire,England
Bourton on Dunsmore,CV23,Warwickshire,England
Bradley Green,B96,Warwickshire,England
Bramcote,CV11,Warwickshire,England
Bramcote Mains,,Warwickshire,England
Brandon,CV8,Warwickshire,England
Bretford,CV23,Warwickshire,England
Bridge End,,Warwickshire,England
Bridge Town,,Warwickshire,England
Brinklow,CV23,Warwickshire,England
Broadwell,CV23,Warwickshire,England
Brockhurst,,Warwickshire,England
Broom,B50,Warwickshire,England
Brownsover,CV23,Warwickshire,England
Bubbenhall,CV8,Warwickshire,England
Buckley Green,,Warwickshire,England
Budbrooke,CV35,Warwickshire,England
Bulkington,CV12,Warwickshire,England
Burton Dassett,,Warwickshire,England
Burton Hastings,CV11,Warwickshire,England
Butlers Marston,CV35,Warwickshire,England
Caldecote,CV10,Warwickshire,England
Camp Hill,CV10,Warwickshire,England
Campion Hills,,Warwickshire,England
Carroway Head,,Warwickshire,England
Cathiron,,Warwickshire,England
Cawston,,Warwickshire,England
Chadshunt,CV35,Warwickshire,England
Chadwick End,,Warwickshire,England
Chapel End,CV10,Warwickshire,England
Chapel Green,,Warwickshire,England
Charlecote,CV35,Warwickshire,England
Chattle Hill,,Warwickshire,England
Cherington,CV36,Warwickshire,England
Cherwell,OX15,Warwickshire,England
Chessetts Wood,,Warwickshire,England
Chesterton,,Warwickshire,England
Chesterton Green,CV33,Warwickshire,England
Chilvers Coton,CV10,Warwickshire,England
Church End,CV10,Warwickshire,England
Church Lawford,CV23,Warwickshire,England
