,,West Sussex,England
Abbotsford,,West Sussex,England
Abingworth,RH20,West Sussex,England
Adur,BN42,West Sussex,England
Adversane,RH14,West Sussex,England
Albourne,BN6,West Sussex,England
Albourne Green,,West Sussex,England
Aldingbourne,PO20,West Sussex,England
Aldwick,PO21,West Sussex,England
Alfold Bars,,West Sussex,England
Amberley,BN18,West Sussex,England
Ancton,PO22,West Sussex,England
Angmering,BN16,West Sussex,England
Ansty,RH17,West Sussex,England
Apuldram,PO20,West Sussex,England
Ardingly,RH17,West Sussex,England
Ardingly Reservoir,,West Sussex,England
Arun,BN16,West Sussex,England
Arundel,BN18,West Sussex,England
Ashfold Crossways,RH13,West Sussex,England
Ashington,RH20,West Sussex,England
Ashurst,BN44,West Sussex,England
Atherington,,West Sussex,England
Balcombe,RH17,West Sussex,England
Balcombe Lane,,West Sussex,England
Baldwins Hill,,West Sussex,England
Balls Cross,GU28,West Sussex,England
Balls Green,,West Sussex,England
Barlavington,GU28,West Sussex,England
Barnham,PO22,West Sussex,England
Barns Green,RH13,West Sussex,England
Bedham,,West Sussex,England
Bedlam Street,,West Sussex,England
Beggars Bush,,West Sussex,England
Bepton,GU29,West Sussex,England
Bewbush,RH11,West Sussex,England
Bexleyhill,,West Sussex,England
Bignor,RH20,West Sussex,England
Billingshurst,RH14,West Sussex,England
Bilsham,BN18,West Sussex,England
Bines Green,RH13,West Sussex,England
Binsted,BN18,West Sussex,England
Birchgrove,,West Sussex,England
Birdham,PO20,West Sussex,England
Black Corner,,West Sussex,England
Blackstone,BN5,West Sussex,England
Blackwell,,West Sussex,England
Bognor Regis,PO21,West Sussex,England
Bolney,RH17,West Sussex,England
Bolnore,,West Sussex,England
Borden,,West Sussex,England
Bosham,PO18,West Sussex,England
Bosham Hoe,,West Sussex,England
Botolphs,BN44,West Sussex,England
Boxgrove,PO18,West Sussex,England
Bracklesham,,West Sussex,England
Bramber,BN44,West Sussex,England
Breach,,West Sussex,England
Broadbridge,PO18,West Sussex,England
Broadbridge Heath,RH12,West Sussex,England
Broadfield,RH11,West Sussex,England
Broadford Bridge,RH14,West Sussex,England
Broadwater,BN14,West Sussex,England
Brook Street,RH17,West Sussex,England
Brookpits,,West Sussex,England
Brooks Green,RH13,West Sussex,England
Broomershill,,West Sussex,England
Buchan Hill,,West Sussex,England
