,,West Yorkshire,England
Aberford,LS25,West Yorkshire,England
Ackton,WF7,West Yorkshire,England
Ackworth Moor Top,WF7,West Yorkshire,England
Addingham,LS29,West Yorkshire,England
Addingham Moorside,,West Yorkshire,England
Adel,LS16,West Yorkshire,England
Adwalton,BD11,West Yorkshire,England
Agbrigg,,West Yorkshire,England
Ainley Top,,West Yorkshire,England
Aire and Calder Navigation,,West Yorkshire,England
Airedale,WF10,West Yorkshire,England
Allerton,BD15,West Yorkshire,England
Allerton Bywater,WF10,West Yorkshire,England
Almondbury,HD4,West Yorkshire,England
Altofts,WF6,West Yorkshire,England
Alverthorpe,WF1,West Yorkshire,England
Alwoodley,LS17,West Yorkshire,England
Alwoodley Gates,,West Yorkshire,England
Alwoodley Park,LS17,West Yorkshire,England
Ambler Thorn,,West Yorkshire,England
Apperley Bridge,,West Yorkshire,England
Armitage Bridge,,West Yorkshire,England
Armley,LS12,West Yorkshire,England
Arrunden,,West Yorkshire,England
Arthington,LS21,West Yorkshire,England
Arthursdale,,West Yorkshire,England
Austhorpe,LS15,West Yorkshire,England
Badsworth,WF9,West Yorkshire,England
Bagley,,West Yorkshire,England
Baildon,BD17,West Yorkshire,England
Baildon Green,,West Yorkshire,England
Balna Beck,,West Yorkshire,England
Bank Top,,West Yorkshire,England
Bantam Grove,,West Yorkshire,England
Barcroft,,West Yorkshire,England
Bardsey,LS17,West Yorkshire,England
Barnbow Carr,,West Yorkshire,England
Barnside,,West Yorkshire,England
Barwick in Elmet,LS15,West Yorkshire,England
Batley,WF17,West Yorkshire,England
Batley Carr,,West Yorkshire,England
Battyeford,,West Yorkshire,England
Beck Bottom,,West Yorkshire,England
Beck Foot,,West Yorkshire,England
Beechcliffe,,West Yorkshire,England
Beechwood,,West Yorkshire,England
Beeston,LS11,West Yorkshire,England
Beeston Hill,LS11,West Yorkshire,England
Beeston Park Side,,West Yorkshire,England
Beeston Royds,,West Yorkshire,England
Beggarington Hill,,West Yorkshire,England
Belle Isle,LS10,West Yorkshire,England
Belle Vue,,West Yorkshire,England
Ben Rhydding,LS29,West Yorkshire,England
Bents Head,,West Yorkshire,England
Berry Brow,HD4,West Yorkshire,England
Bierley,BD4,West Yorkshire,England
Bingley,BD16,West Yorkshire,England
Birchencliffe,,West Yorkshire,England
Birds Edge,,West Yorkshire,England
Birkby,,West Yorkshire,England
Birkenshaw,BD11,West Yorkshire,England
Birkenshaw Bottoms,,West Yorkshire,England
Birks,,West Yorkshire,England
Birstall,WF17,West Yorkshire,England
Birstall Smithies,WF17,West Yorkshire,England
Black Hill,,West Yorkshire,England
Black Moor,,West Yorkshire,England
Blackmoorfoot,,West Yorkshire,England
Bogthorn,,West Yorkshire,England
Bolton,,West Yorkshire,England
Bolton Woods,,West Yorkshire,England
Boosbeck,,West Yorkshire,England
Boothroyd,,West Yorkshire,England
Boston Spa,LS23,West Yorkshire,England
Bottom Boat,,West Yorkshire,England
Boulby,,West Yorkshire,England
Bowling,BD4,West Yorkshire,England
Bracken Bank,,West Yorkshire,England
Bracken Hill,,West Yorkshire,England
Bracken Park,,West Yorkshire,England
Brackenhall,,West Yorkshire,England
Bradford,BD1,West Yorkshire,England
Bradley,,West Yorkshire,England
Bradley Mills,,West Yorkshire,England
Bradshaw,,West Yorkshire,England
Braithwaite,,West Yorkshire,England
Brakenhill,,West Yorkshire,England
Bramham,LS23,West Yorkshire,England
Bramhope,LS16,West Yorkshire,England
Bramley,,West Yorkshire,England
Brandy Carr,,West Yorkshire,England
Briestfield,,West Yorkshire,England
Brockholes,HD7,West Yorkshire,England
Brooklands,,West Yorkshire,England
Brotherton,WF11,West Yorkshire,England
Brotton,,West Yorkshire,England
Brown Moor,,West Yorkshire,England
Bruntcliffe,,West Yorkshire,England
Brunthwaite,,West Yorkshire,England
Burley,,West Yorkshire,England
Burley in Wharfedale,LS29,West Yorkshire,England
Burley Woodhead,,West Yorkshire,England
Burmantofts,LS9,West Yorkshire,England
Burnlee,,West Yorkshire,England
Byram,WF11,West Yorkshire,England
Cackleshaw,,West Yorkshire,England
Calder,,West Yorkshire,England
Calder and Hebble Navigation,,West Yorkshire,England
Calder Grove,,West Yorkshire,England
Calverley,LS28,West Yorkshire,England
Cambridge,,West Yorkshire,England
Camp Hill,,West Yorkshire,England
Camp Town,,West Yorkshire,England
Carleton,WF8,West Yorkshire,England
Carlin How,,West Yorkshire,England
Carlinghow,,West Yorkshire,England
Carlton,WF3,West Yorkshire,England
Carr Gate,,West Yorkshire,England
Cartworth,,West Yorkshire,England
Castleford,WF10,West Yorkshire,England
Castley,,West Yorkshire,England
Causeway Foot,,West Yorkshire,England
Chapel Allerton,LS7,West Yorkshire,England
Chapelthorpe,,West Yorkshire,England
Charlestown,,West Yorkshire,England
Charlton,,West Yorkshire,England
Chat Hill,,West Yorkshire,England
Chequerfield,,West Yorkshire,England
Chevin End,,West Yorkshire,England
Chickenley,WF12,West Yorkshire,England
Chidswell,,West Yorkshire,England
Churwell,LS27,West Yorkshire,England
Clayton,BD14,West Yorkshire,England
Clayton Heights,,West Yorkshire,England
Clayton West,HD8,West Yorkshire,England
Cleckheaton,BD19,West Yorkshire,England
Clerk Green,,West Yorkshire,England
Cliff End,,West Yorkshire,England
Clifford,LS23,West Yorkshire,England
Clough,,West Yorkshire,England
Clough Head,,West Yorkshire,England
Coatham,,West Yorkshire,England
Cock Beck,,West Yorkshire,England
Cockersdale,,West Yorkshire,England
Cockley Hill,,West Yorkshire,England
Cold Hiendley,,West Yorkshire,England
Collingham,LS22,West Yorkshire,England
Colne,,West Yorkshire,England
Colne Bridge,,West Yorkshire,England
Colton,LS15,West Yorkshire,England
Combs,,West Yorkshire,England
Compton,,West Yorkshire,England
Cookridge,LS16,West Yorkshire,England
Copley Hill,,West Yorkshire,England
Cottingley,BD16,West Yorkshire,England
Cowcliffe,,West Yorkshire,England
Cowmes,HD8,West Yorkshire,England
Coxley,,West Yorkshire,England
Crackenedge,,West Yorkshire,England
Cradle Edge,,West Yorkshire,England
Cragg Hill,,West Yorkshire,England
Crawshaw,,West Yorkshire,England
Crigglestone,WF2,West Yorkshire,England
Cringles,,West Yorkshire,England
Crofton,WF4,West Yorkshire,England
