,,Wiltshire,England
Ablington,,Wiltshire,England
Aldbourne,SN8,Wiltshire,England
Alderbury,SP5,Wiltshire,England
Alderton,SN14,Wiltshire,England
All Cannings,SN10,Wiltshire,England
Allington,SN10,Wiltshire,England
Allington Bar,,Wiltshire,England
Alton,,Wiltshire,England
Alton Barnes,SN9,Wiltshire,England
Alton Priors,SN8,Wiltshire,England
Alvediston,SP5,Wiltshire,England
Amesbury,SP4,Wiltshire,England
Ansty,SP3,Wiltshire,England
Ansty Coombe,,Wiltshire,England
Ashley,GL8,Wiltshire,England
Ashton Common,BA14,Wiltshire,England
Ashton Keynes,SN6,Wiltshire,England
Atworth,SN12,Wiltshire,England
Aughton,,Wiltshire,England
Avebury,SN8,Wiltshire,England
Avebury Trusloe,,Wiltshire,England
Avon,,Wiltshire,England
Axford,SN8,Wiltshire,England
Badbury,SN4,Wiltshire,England
Badbury Wick,,Wiltshire,England
Bagshot,RG17,Wiltshire,England
Bapton,,Wiltshire,England
Barford St Martin,SP3,Wiltshire,England
Barkers Hill,,Wiltshire,England
Baverstock,SP3,Wiltshire,England
Baydon,SN8,Wiltshire,England
Beanacre,SN12,Wiltshire,England
Beckhampton,SN8,Wiltshire,England
Beechingstoke,SN9,Wiltshire,England
Bemerton,,Wiltshire,England
Bemerton Heath,,Wiltshire,England
Berryfield,,Wiltshire,England
Berwick Bassett,SN4,Wiltshire,England
Berwick St James,SP3,Wiltshire,England
Berwick St John,SP7,Wiltshire,England
Berwick St Leonard,SP3,Wiltshire,England
Bewley Common,SN15,Wiltshire,England
Biddestone,SN14,Wiltshire,England
Birdbush,,Wiltshire,England
Bishopdown,,Wiltshire,England
Bishops Cannings,SN10,Wiltshire,England
Bishopstone,SN6,Wiltshire,England
Bishopstrow,BA12,Wiltshire,England
Biss,,Wiltshire,England
Blackland,SN11,Wiltshire,England
Bleet,,Wiltshire,England
Blue Vein,,Wiltshire,England
Blunsdon St Andrew,,Wiltshire,England
Bodenham,SP5,Wiltshire,England
Boreham,BA12,Wiltshire,England
Boscombe,SP4,Wiltshire,England
Bottlesford,,Wiltshire,England
Bourne,,Wiltshire,England
Bourton,SN6,Wiltshire,England
Bowden Hill,SN15,Wiltshire,England
Bowerchalke,SP5,Wiltshire,England
Bowerhill,,Wiltshire,England
Bowldown,,Wiltshire,England
Box,SN13,Wiltshire,England
Box Hill,,Wiltshire,England
Boyton,BA12,Wiltshire,England
Bradenstoke,SN15,Wiltshire,England
Bradford Leigh,BA15,Wiltshire,England
Bradford-On-Avon,BA15,Wiltshire,England
Bratton,BA13,Wiltshire,England
Braydon Side,,Wiltshire,England
Bremhill,SN11,Wiltshire,England
Bremhill Wick,,Wiltshire,England
Brigmerston,,Wiltshire,England
Brinkworth,SN15,Wiltshire,England
Britford,SP5,Wiltshire,England
Brixton Deverill,BA12,Wiltshire,England
Broad Blunsdon,,Wiltshire,England
Broad Chalke,SP5,Wiltshire,England
Broad Hinton,SN4,Wiltshire,England
Broad Street,,Wiltshire,England
Broad Town,SN4,Wiltshire,England
Broadbush,,Wiltshire,England
Brokenborough,SN16,Wiltshire,England
Brokerswood,,Wiltshire,England
Bromham,SN15,Wiltshire,England
Brook End,,Wiltshire,England
Brook Waters,,Wiltshire,England
Broomfield,,Wiltshire,England
Broughton Gifford,SN12,Wiltshire,England
Brunton,,Wiltshire,England
Buck Hill,,Wiltshire,England
Bugley,,Wiltshire,England
Bulbridge,,Wiltshire,England
Bulford,SP4,Wiltshire,England
Bulford Camp,SP4,Wiltshire,England
Bulkington,SN10,Wiltshire,England
Bullenhill,,Wiltshire,England
Burbage,SN8,Wiltshire,England
Burcombe,SP2,Wiltshire,England
Burton,SN14,Wiltshire,England
Bushton,SN4,Wiltshire,England
Buttermere,SN8,Wiltshire,England
By Brook,,Wiltshire,England
Cadley,SN8,Wiltshire,England
Calcutt,,Wiltshire,England
Callow Hill,SN15,Wiltshire,England
Calne,SN11,Wiltshire,England
Calne Marsh,,Wiltshire,England
Calstone Wellington,SN10,Wiltshire,England
Castle Combe,SN14,Wiltshire,England
Castle Eaton,SN6,Wiltshire,England
Catcomb,,Wiltshire,England
Causeway End,,Wiltshire,England
Chalford,,Wiltshire,England
Chapel Knapp,,Wiltshire,England
Chapel Plaister,,Wiltshire,England
Chapmanslade,BA13,Wiltshire,England
Charlcutt,SN11,Wiltshire,England
Charlton,SN16,Wiltshire,England
Charlton-All-Saints,SP5,Wiltshire,England
Charnage,,Wiltshire,England
